snapshot-date	Marketplace	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal
2018-08-07	amazon.co.uk	EUTK-J02H-K0-3T	X000RCMIP9	B075TZQ3KD	Teenking Boy's Fleece Outdoor Jacket 3 Years	New	2	0	0	0	0	2	0	GBP	2	GBP 2.47	0	GBP 0.0	0	0	0	0	Low traffic	GBP 19.99	GBP 19.99	GBP 19.99	GBP 0.0	Create Sale	0	15.99	63	0	25.815541
2018-08-07	amazon.fr	TX-55554-BO-5XL	B078NC743L	B078NC743L	Mocotono T-shirt Uni en Coton à Manches Courtes et Col Rond pour Homme XL Bleu	New	10	0	5	0	5	0	0	EUR	5	EUR 2.5	0	EUR 0.0	0	0	0	0	Low traffic	EUR 12.99	EUR 12.99	EUR 12.99	EUR 0.0	Advertise listing	5	12.99	0	0	54.462281
2018-08-07	amazon.it	MY-LYPoint021-DG-XL	X000QYT0JF	B073XK66CZ	Mocotono Uomo Maglione Cotone Tinta Unita Casual Collo a V Maniche Lunghe Verde XL	New	6	0	2	3	1	0	0	EUR	1	EUR 1.04	0	EUR 0.0	0	0	0	2	Low traffic	EUR 24.99	EUR 24.99	EUR 24.99	EUR 0.0	Advertise listing	5	24.99	0	0	24.175161
2018-08-07	amazon.it	YZ-BS-BSLLITM	X000N68Y93	B01G8H8VAO	Summer Mae Donna Costume Da Bagno Di Un Pezzo Vintage Sailor Pin Up Strisce bianco IT 40	New	1	0	1	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	0	0	0	1	Low conversion	EUR 18.2	EUR 18.2	EUR 18.2	EUR 0.0	Update inventory settings for:	0	0.0	0	0	0.0
2018-08-07	amazon.co.uk	RE-YZ-BEWS32-K0-L	B07CM8X6DK	B07CM8X6DK	Summer Mae Women One Piece High Neck V-Neckline Mesh Ruched Monokini Swimwear Black L	New	2	0	2	0	0	0	0	GBP	0	GBP 0.0	0	GBP 0.0	0	1	1	1	Low traffic	GBP 36.99	GBP 36.99	GBP 36.99	GBP 0.0	Lower Price	2	18.99	0	0	0.0
2018-08-07	amazon.es	MY-SB019-DG-XL	B077XF2ZRG	B077XF2ZRG	Jersey de Punto Cuello V con Patrón Jacquard Manga Larga para Hombre, XL Gris oscuro	New	1	0	0	0	1	0	0	EUR	1	EUR 1.11	0	EUR 0.0	0	0	0	0	Low traffic	EUR 6.2	EUR 6.2	EUR 6.2	EUR 0.0	Advertise listing	0	6.2	0	1	13.636165
2018-08-07	amazon.co.uk	LYQ-WH1109-LG-S	X000QQ8WQ5	B074V6T6W7	Summer Mae Women's 3/4 Sleeve Basic Long Bodycon Dress with Solide Color	New	1	0	0	0	0	1	0	GBP	1	GBP 0.6	0	GBP 0.0	0	0	1	1	Low conversion	GBP 9.99	GBP 9.99	GBP 9.99	GBP 0.0	Edit listing	0	9.99	0	0	7.175985
2018-08-07	amazon.fr	MY-WH7622-R0-XL	X000R2XEY3	B075FMKF16	Summer Mae Femme Pull en Maille Chiné Asymétrique Col V Manches Longues	New	4	0	0	3	1	0	0	EUR	1	EUR 1.61	0	EUR 0.0	0	0	0	0	Low traffic	EUR 30.0	EUR 30.0	EUR 30.0	EUR 0.0	Edit listing	3	6.2	0	0	90.387739
2018-08-07	amazon.fr	CS-BESB032-YL-L	B07C3TJYQH	B07C3TJYQH	Mocotono Homme Chemise Casual Manches Courtes Avec Impressions Florals Jaune L	New	3	0	0	3	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	0	0	0	0	Low traffic	EUR 26.85	EUR 26.85	EUR 26.85	EUR 0.0	Advertise listing	3	26.85	0	0	0.0
2018-08-07	amazon.co.uk	YZ-BEC19P-W0-S	B07CN3Z81Y	B07CN3Z81Y	Summer Mae Women's Two Pieces Bikini Set Twist Halter Bandeau White S	New	4	0	4	0	0	0	0	GBP	0	GBP 0.0	0	GBP 0.0	0	0	0	0	Low conversion	GBP 18.99	GBP 18.99	GBP 18.99	GBP 0.0	Update inventory settings for:	5	18.99	0	0	0.0
