Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved: Customer Order	Reserved: FC Transfer	Reserved: FC Processing
BS-BN-1501-RO-4XL	X000PN3O21	B071XXJL4R	Summer Mae Polo Elégant à Col Mao avec Bordure Blanche pour Homme 2XL Rouge	1	0	0	1
BS-BN-1501-GR-2XL	X000PN3O7L	B071N9PNNJ	Summer Mae Polo Elégant à Col Mao avec Bordure Blanche pour Homme L Gris	1	0	0	1
BS-MY-1503-W0-3XL	X000PISR5P	B06WCZWPKW	Summer Mae Women's One Piece Push up Slim Swimsuit Bathing Swimwear	1	1	0	0
BS-MY-1503-W0-XL	X000PILF3L	B06WGM4MNC	Summer Mae Women's One Piece Push Up Slim Swimsuit Bathing Swimwear White UK 12	1	0	0	1
BS-HB3555-PI-S	X000OHISX3	B06XH65K15	Summer Mae Women's Triangle Push Up Bikini Set with a Shell Design	1	1	0	0
BS-MY-1503-K0-3XL	X000PJY3H5	B06VT64ZXD	Summer Mae Women's One Piece Push up Slim Swimsuit Bathing Swimwear	1	0	0	1
BS-MY-1503-W0-M	X000PISR3H	B06WLHGK71	Summer Mae Women's One Piece Push up Slim Swimsuit Bathing Swimwear	2	1	1	0
BS-WH0028-W0-S	X000OUNGCN	B06XRVXFVD	Summer Mae Women One Piece Off-shoulder Vintage Volants Front Swimwear Swimming Costume	1	0	0	1
BS-WH0028-W0-L	X000OUUW2Z	B06XRFZ12B	Summer Mae Women One Piece Off-shoulder Vintage Volants Front Swimwear Swimming Costume	2	0	0	2
BS-WH0028-W0-M	X000OUUW2P	B06XRNB58K	Summer Mae Women One Piece Off-shoulder Vintage Volants Front Swimwear Swimming Costume	1	0	0	1
BS-WH16032-K0-XL	X000Q3256V	B072JM75ND	Summer Mae Women's Tank Ruched Tummy Control One Piece Swimsuit	1	0	0	1
BS-WH17015-C0-XXL	X000Q1JYHB	B071GTJNGZ	Summer Mae Women's Ruched One Piece Bathing Suit Halterneck Swimming Costume	1	0	0	1
BS-WH17015-B0-L	X000Q1JYHV	B072R5SZPS	Summer Mae Women's Ruched One Piece Bathing Suit Halterneck Swimming Costume	1	0	1	0
BS-WH17015-K0-L	X000Q1JID1	B072R4R3XN	Summer Mae Women's Ruched One Piece Bathing Suit Halterneck Swimming Costume	1	0	0	1
BS-WH17015-SZ-XXL	X000Q1K2EP	B0721SQ1SP	Summer Mae Women's Ruched One Piece Bathing Suit Halterneck Swimming Costume	1	0	0	1
BS-WH1731-R0-XL	X000OUZBFD	B06XYN88Q8	Summer Mae Women's Falbala High Waited Swimming Costume Bikini Set	2	0	0	2
BS-WHBH1704-K0-XL	X000Q01PID	B0734VZ32T	Summer Mae Women's Maternity Pregnancy Halter Printed Padding Tankini Swimsuit	1	0	0	1
BS-WH17017-B0-XXXL	X000Q1NXPP	B071KBQNZ5	Summer Mae Women's Tummy Control One Piece Swimwear Deep V Backless Push up Swimming Costume	4	0	3	1
BS-WH81677-B0-M	X000Q6AD4T	B072KH1VV2	Summer Mae Women's Retro Printed Two Piece Padded Swimming Costume Tankini Set With Shorts	1	0	0	1
BS-WHBH1704-K0-3XL	X000Q0260J	B0734S5GHL	Summer Mae Women's Maternity Pregnancy Halter Printed Padding Tankini Swimsuit, XXX-Large	2	0	2	0
BS-WH17017-G0-L	X000Q9UY5J	B072KK8C49	Summer Mae Women's Tummy Control One Piece Swimwear Deep V Backless Push up Swimming Costume	2	0	0	2
BS-WH17017-B0-S	X000Q0YEBD	B0721PV6W2	Summer Mae Women's Tummy Control One Piece Swimwear Deep V Backless Push up Swimming Costume	1	0	0	1
BS-WH81677-Y0-M	X000Q5PWYV	B071GNGKZ9	Summer Mae Women's Retro Printed Two Piece Padded Swimming Costume Tankini Set with Shorts	1	0	0	1
