sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
BS-1704-K0-2XL	X000OBC7XB	B06XX16G2Q	Summer Mae Traje de una pieza Pin-up Lunares - Mujer	New	30.00	No		Yes	0	0	0	0	0	2668.96	0	0	0
BS-1704-K0-M	X000OC4ZU3	B06XXGM6BK	Summer Mae Traje de una pieza Pin-up Lunares - Mujer	New	30.00	No		Yes	0	0	0	0	0	2265.35	0	0	0
BS-1704-K0-S	X000O98T3Z	B06XXGLMV2	Summer Mae Traje de una pieza Pin-up Lunares - Mujer	New	30.00	No		Yes	0	0	0	0	0	914.73	0	0	0
BS-1704-K0-XS	X000O8LQ6N	B06XXC3JHJ	Summer Mae Traje de una pieza Pin-up Lunares - Mujer	New	30.00	No		Yes	0	0	0	0	0	2306.32	0	0	0
BS-BN-1501-BO-2XL	X000PNK1L3	B0711154W5	Summer Mae Polo Casual de Manga Corta Camisas Moda Para Hombre	New	29.00	No		Yes	0	0	0	0	0	1803.4	0	0	0
BS-BN-1501-BO-3XL	X000PNK1LN	B06ZY9HV1B	Summer Mae Polo Casual de Manga Corta Camisas Moda Para Hombre	New	29.00	No		Yes	7	6	0	1	7	1803.4	0	0	0
BS-BN-1501-BO-4XL	X000PNPNV1	B071N9PTC2	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	0	0	0	0	0	1803.4	0	0	0
BS-BN-1501-BO-L	X000PNK1LD	B071115242	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	7	7	0	0	7	1803.4	0	0	0
BS-BN-1501-BO-XL	X000PN3O2B	B071RGN23Z	Summer Mae Polo Casual de Manga Corta Camisas Moda Para Hombre	New	29.00	No		Yes	1	0	1	0	1	1803.4	0	0	0
BS-BN-1501-GR-2XL	X000PN3O7L	B071N9PNNJ	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	2	0	2	0	2	1803.4	0	0	0
BS-BN-1501-GR-3XL	X000PNPNJD	B071Y6DGRB	Summer Mae Polo Casual de Manga Corta Camisas Moda Para Hombre	New	29.00	No		Yes	2	0	1	1	2	1803.4	0	0	0
BS-BN-1501-GR-4XL	X000PNKRT9	B071N9PLPJ	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	6	6	0	0	6	1803.4	0	0	0
BS-BN-1501-GR-L	X000POR9B7	B071119HN4	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	3	3	0	0	3	1803.4	0	0	0
BS-BN-1501-GR-XL	X000PNK1M7	B071RGFBT6	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	0	0	0	0	0	1803.4	0	0	0
BS-BN-1501-KO-2XL	X000PNPNK7	B0711153ZT	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	0	0	0	0	0	1803.4	0	0	0
BS-BN-1501-KO-3XL	X000PNPNTX	B071N9PTC4	Summer Mae Polo Casual de Manga Corta Camisas Moda Para Hombre	New	29.00	No		Yes	1	0	1	0	1	1803.4	0	0	0
BS-BN-1501-KO-4XL	X000PNK1DB	B0711158DY	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	4	4	0	0	4	1803.4	0	0	0
BS-BN-1501-KO-L	X000PNK1PT	B06ZY9HRMD	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	4	4	0	0	4	1803.4	0	0	0
BS-BN-1501-KO-XL	X000PN3O53	B071XX591N	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	1	1	0	0	1	1803.4	0	0	0
BS-BN-1501-RO-2XL	X000PNK1PJ	B071DJKWRB	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	0	0	0	0	0	1803.4	0	0	0
BS-BN-1501-RO-3XL	X000PNPNJX	B06ZY9HTD9	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	0	0	0	0	0	1803.4	0	0	0
BS-BN-1501-RO-4XL	X000PN3O21	B071XXJL4R	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	1	0	0	1	1	1803.4	0	0	0
BS-BN-1501-RO-L	X000PN3O5N	B071V2B5SZ	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	3	3	0	0	3	1803.4	0	0	0
BS-BN-1501-RO-XL	X000PO9F7D	B071DJKQ1B	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	0	0	0	0	0	1803.4	0	0	0
BS-BN-1501-WO-2XL	X000PN3O7V	B071RGFBLT	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	0	0	0	0	0	1803.4	0	0	0
BS-BN-1501-WO-3XL	X000PNPNJN	B0711149ZH	Summer Mae Polo Casual de Manga Corta Camisas Moda para Hombre	New	29.00	No		Yes	3	3	0	0	3	1803.4	0	0	0
BS-BN-1501-WO-4XL	X000PN3O5D	B071Y6HHFS	Summer Mae Polo Casual de Manga Corta Camisas Moda Para Hombre	New	29.00	No		Yes	10	10	0	0	10	2795.47	0	0	0
