"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B01I46KPO2","B01EJ5VRJE","Summer Mae Damen Badekleid Plus Size, Schwarz, 3XL (44-46)","86","0.70%","114","0.71%","100%","13","1","15.12%","1.16%","€324.87","€24.99","13","1"
"B07CKKFBBM","B01G3JERSM","Summer Mae Damen Tankini Retro Streifen Badekleider Hellblau XXL","11","0.09%","12","0.08%","100%","5","1","45.45%","9.09%","€124.25","€24.85","5","1"
"B07C27SJ69","B06WGP1G7C","Summer Mae Damen Triangel-Neckholder-bikini Bikini-set Gehäkelt Bademode ,Schwarz ,M","168","1.37%","227","1.42%","94%","16","1","9.52%","0.60%","€271.84","€16.99","16","1"
"B07C27SJ69","B06X1881B7","Summer Mae Damen Triangel-Neckholder-bikini Bikini-set Gehäkelt Bademode ,Schwarz ,XL","64","0.52%","94","0.59%","100%","7","1","10.94%","1.56%","€118.93","€16.99","7","1"
"B06ZYS92SS","B06XYN88Q8","Summer Mae Damen Bikini-Set mit Volant Vintage Badeanzug","192","1.57%","273","1.71%","100%","46","1","23.96%","0.52%","€1,011.54","€21.99","46","1"
"B06ZYS92SS","B06XYZ3CBT","Summer Mae Damen Bikini-Set mit Volant Vintage Badeanzug","81","0.66%","119","0.74%","87%","30","1","37.04%","1.23%","€659.70","€21.99","30","1"
"B01I46KPO2","B07CLPQVXR","Sommer Mae Damen Badekleid Plus Size Badeanzug Einteile Bademode Drucken Monokini","7","0.06%","7","0.04%","100%","1","1","14.29%","14.29%","€22.99","€22.99","1","1"
"B01I46KPO2","B07CLWMKNT","Sommer Mae Damen Badekleid Plus Size Badeanzug Einteile Bademode Drucken Monokini","5","0.04%","5","0.03%","60%","2","1","40.00%","20.00%","€45.98","€22.99","2","1"
"B07CKKFBBM","B00YAIA008","Summer Mae Damen Tankini Retro Streifen Badekleider Marineblau XS","24","0.20%","29","0.18%","90%","1","0","4.17%","0.00%","€24.85","€0.00","1","0"
"B07CKKFBBM","B00YAIA20G","Summer Mae Damen Tankini Retro Streifen Badekleider Rosa XS","7","0.06%","9","0.06%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CKKFBBM","B013OSTD48","Summer Mae Damen Tankini Retro Streifen Badekleider Marineblau S","85","0.69%","107","0.67%","90%","3","0","3.53%","0.00%","€74.55","€0.00","3","0"
"B07CKKFBBM","B013OSTD70","Summer Mae Damen Tankini Retro Streifen Badekleider Rosa M","4","0.03%","4","0.03%","75%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CKKFBBM","B013OSTFTG","Summer Mae Damen Tankini Retro Streifen Badekleider Rosa L","39","0.32%","46","0.29%","100%","1","0","2.56%","0.00%","€24.85","€0.00","1","0"
"B07CKKFBBM","B013OSTFWS","Summer Mae Damen Tankini Retro Streifen Badekleider Marineblau M","29","0.24%","37","0.23%","49%","3","0","10.34%","0.00%","€74.55","€0.00","3","0"
"B07CKKFBBM","B013OSTKN2","Summer Mae Damen Tankini Retro Streifen Badekleider Marineblau L","113","0.92%","157","0.98%","100%","16","0","14.16%","0.00%","€397.60","€0.00","16","0"
"B07CKKFBBM","B0154PQ95K","Summer Mae Damen Tankini Retro Streifen Badekleider Marineblau XL","87","0.71%","122","0.76%","88%","10","0","11.49%","0.00%","€248.50","€0.00","10","0"
"B07CKKFBBM","B0154PQBZ8","Summer Mae Damen Tankini Retro Streifen Badekleider Rosa XL","9","0.07%","10","0.06%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
