"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B06X3S5CW2","B00YAIA008","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","4","0.08%","4","0.06%","25%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B00YAIA20G","Summer Mae Mujer Bañador A Rayas Trajes de Dos Pieza con Falda","3","0.06%","3","0.05%","0%","1","0","33.33%","0.00%","€14.99","€0.00","1","0"
"B06X3S5CW2","B013OSTD70","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B013OSTFWS","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","3","0.06%","4","0.06%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B013OSTKN2","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","8","0.16%","15","0.24%","100%","1","0","12.50%","0.00%","€21.99","€0.00","1","0"
"B06X3S5CW2","B0154PQ95K","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X6D8T68","B015QZNXXO","Summer Mae Mujer Traje De Baño Del Bowknot Impresión Falda Balneario","1","0.02%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X6D8T68","B015QZRNIU","Summer Mae Mujer Traje De Baño Del Bowknot Impresión Falda Balneario","1","0.02%","1","0.02%","100%","1","0","100.00%","0.00%","€19.99","€0.00","1","0"
"B06X6D8T68","B015QZROTS","Summer Mae Mujer Traje De Baño Del Bowknot Impresión Falda Balneario","1","0.02%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X6D8T68","B015QZRPHO","Summer Mae Mujer Traje De Baño Del Bowknot Impresión Falda Balneario","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X6D8T68","B015QZRUJM","Summer Mae Mujer Traje De Baño Del Bowknot Impresión Falda Balneario","0","0.00%","0","0.00%","0%","1","0","0.00%","0.00%","€19.99","€0.00","1","0"
"B06X3S5CW2","B017JO0OBE","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","6","0.12%","6","0.10%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B017X47TA4","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B017X47UK8","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B017X47VLQ","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B017X47WOW","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01BCZBKJ6","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B01C9TE2BW","Summer Mae Mujer Bañador A Rayas Trajes de Dos Pieza con Falda","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01EJ5VO38","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","18","0.37%","22","0.35%","41%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01EJ5VPSW","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","7","0.14%","10","0.16%","100%","3","0","42.86%","0.00%","€74.97","€0.00","3","0"
"B06XCB5NG5","B01EJ5VRJE","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","5","0.10%","6","0.10%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01EJ5VT60","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","7","0.14%","11","0.18%","100%","2","0","28.57%","0.00%","€49.98","€0.00","2","0"
"B06XCB5NG5","B01EJ5VUNW","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","16","0.33%","18","0.29%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LZ1TK4M","B01F3E3PYK","Traje de Baño 1 Pieza Tallas Grandes Cabestro Acolchado Push Up Tankini para Mujer","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01FXAQNIO","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","24","0.49%","35","0.56%","83%","3","0","12.50%","0.00%","€50.97","€0.00","3","0"
"B06XCB5NG5","B01FXAQPZK","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","9","0.18%","11","0.18%","91%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01FXAQRNK","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","2","0.04%","3","0.05%","33%","1","0","50.00%","0.00%","€22.99","€0.00","1","0"
"B06XCB5NG5","B01FXAQTLK","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","4","0.08%","8","0.13%","100%","1","0","25.00%","0.00%","€22.99","€0.00","1","0"
"B06XCB5NG5","B01FXAQVH2","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","9","0.18%","13","0.21%","92%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B01G3JENB8","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","2","0.04%","2","0.03%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B01G3JEPKM","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","3","0.06%","3","0.05%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B01G3JERSM","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B01G3MA2TC","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","2","0.04%","2","0.03%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LZ1TK4M","B01G8H8T42","Traje de Baño 1 Pieza Tallas Grandes Cabestro Acolchado Push Up Tankini para Mujer","9","0.18%","12","0.19%","100%","1","0","11.11%","0.00%","€18.99","€0.00","1","0"
"B01LZ1TK4M","B01G8H8VAO","Traje de Baño 1 Pieza Tallas Grandes Cabestro Acolchado Push Up Tankini para Mujer","3","0.06%","3","0.05%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01HFYMTRK","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","4","0.08%","5","0.08%","60%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01HFYMV14","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06XCB5NG5","B01HFYMW04","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","24","0.49%","30","0.48%","53%","2","0","8.33%","0.00%","€41.98","€0.00","2","0"
"B06XCB5NG5","B01HFYMXUI","Summer Mae Mujer Traje De Baño De Talla Grande Impresión Una Sola Pieza","16","0.33%","19","0.30%","100%","4","0","25.00%","0.00%","€83.96","€0.00","4","0"
"B06WLJB1C7","B01J71HR3U","Summer Mae Mujer Trajes De Baño Dos Pieza Del Tankini","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01KO0S9JO","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","4","0.08%","5","0.08%","40%","1","0","25.00%","0.00%","€9.90","€0.00","1","0"
"B07CQNWD45","B01KO0SAIE","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","2","0.03%","50%","1","0","50.00%","0.00%","€9.90","€0.00","1","0"
"B07CQNWD45","B01KO0SAKM","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","3","0.05%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01KO0SCAA","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","0","0.00%","0","0.00%","0%","1","0","0.00%","0.00%","€9.90","€0.00","1","0"
"B07CQNWD45","B01KO0SCQE","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01KO0SDZY","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01LAURHU4","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01LAURKNS","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","2","0.04%","2","0.03%","100%","2","0","100.00%","0.00%","€19.80","€0.00","2","0"
"B07446XJT4","B01LWT9E93","Summer Mae Mujer Bailarina de Tricot Super Suave con Patrón de Conejito","2","0.04%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01LX3HM92","Summer Mae Zapatillas de casa Invierno Suaves Peluche Caliente Mujer","2","0.04%","5","0.08%","100%","1","0","50.00%","0.00%","€12.99","€0.00","1","0"
"B07446XJT4","B01LXFC3LH","Summer Mae Zapatillas de casa Invierno Suaves Peluche Caliente Mujer","2","0.04%","2","0.03%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01LXGQRTF","Summer Mae Mujer Bailarina de Tricot Super Suave con Patrón de Conejito","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01LXQYMXU","Summer Mae Zapatillas de casa Invierno Suaves Peluche Caliente Mujer","1","0.02%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M10LV88","B01LY584YG","Summer Mae Zapatillas Casa Invierno Anti-Deslizante Zapatos Interior Cálido Para Mujeres/Hombres","2","0.04%","6","0.10%","100%","1","0","50.00%","0.00%","€6.80","€0.00","1","0"
"B01LZ1TK4M","B01LZ1TK4M","Summer Mae Traje de Baño 1 Pieza Tallas Grandes Cabestro Acolchado Push Up Tankini para Mujer","42","0.86%","46","0.74%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M10LV88","B01LZ1VBJE","Summer Mae Zapatillas Casa Invierno Peluche para Mujer/Hombre","4","0.08%","7","0.11%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01LZ4BQUZ","B01LZ4BQUZ","Summer Mae Zapatillas Casa Invierno Anti-Deslizante Zapatos Interior Cálido Para Mujeres/Hombres","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01LZPAU53","Zapatillas Interior Casa Invierno Caliente para Mujer","3","0.06%","3","0.05%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01M0131LI","Summer Mae Zapatillas de casa Invierno Suaves Peluche Caliente Mujer","1","0.02%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01M0CR4EK","Summer Mae Zapatillas de casa Invierno Suaves Peluche Caliente Mujer","1","0.02%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M0F8HR7","B01M0F8HR7","Summer Mae Zapatillas Casa Invierno Anti-Deslizante Zapatos Interior Cálido Para Mujeres/Hombres","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M10LV88","B01M0OETK1","Summer Mae Zapatillas Casa Invierno Peluche Para Mujer/Hombre","1","0.02%","2","0.03%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M0QZATI","B01M0QZATI","Summer Mae Zapatillas Casa Invierno Anti-Deslizante Zapatos Interior Cálido Para Mujeres/Hombres","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M10LV88","B01M10LV88","Summer Mae Zapatillas Casa Invierno Peluche para Mujer/Hombre","9","0.18%","13","0.21%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07446XJT4","B01M1BALWK","Zapatillas Interior Casa Invierno Caliente para Mujer","1","0.02%","1","0.02%","0%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B01M1DZELB","B01M1DZELB","Summer Mae Zapatillas Casa Invierno Anti-Deslizante Zapatos Interior Cálido Para Mujeres/Hombres","1","0.02%","1","0.02%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B01M22DUD3","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","1","0.02%","2","0.03%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
