"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B06WD218DW","B00YAIA008","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Marine XS","23","0.27%","34","0.31%","100%","2","0","8.70%","0.00%","€39.78","€0.00","2","0"
"B06WD218DW","B00YAIA20G","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Rose XS","8","0.09%","10","0.09%","80%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD218DW","B013OSTD48","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Marine S","114","1.32%","155","1.39%","100%","1","0","0.88%","0.00%","€19.89","€0.00","1","0"
"B06WD218DW","B013OSTD70","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Rose S","14","0.16%","17","0.15%","100%","1","0","7.14%","0.00%","€19.89","€0.00","1","0"
"B06WD218DW","B013OSTFTG","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Rose L","3","0.03%","3","0.03%","33%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WD218DW","B013OSTFWS","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Marine M","9","0.10%","14","0.13%","100%","8","0","88.89%","0.00%","€159.12","€0.00","8","0"
"B06WD218DW","B013OSTKN2","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Marine L","17","0.20%","25","0.22%","76%","6","0","35.29%","0.00%","€119.34","€0.00","6","0"
"B06WD218DW","B0154PQ95K","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Bleu Marine XL","15","0.17%","23","0.21%","100%","5","0","33.33%","0.00%","€99.45","€0.00","5","0"
"B06WD218DW","B0154PQBZ8","Summer Mae Tankinis Rayé Classique - Maillot de Bain Mignon Deux Pièces avec Jupette pour Femme Rose XL","4","0.05%","4","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WGMZYHJ","B015QZNXXO","Maillots de Bain 1 Pèice Piscine Grande Taille pour Femme","2","0.02%","2","0.02%","50%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
