"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B06X3S5CW2","B013OSTD48","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","3","0.14%","3","0.11%","67%","1","0","33.33%","0.00%","€21.99","€0.00","1","0"
"B06X3S5CW2","B013OSTD70","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B013OSTFWS","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B013OSTKN2","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B0154PQ95K","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","3","0.14%","6","0.21%","100%","1","0","33.33%","0.00%","€21.99","€0.00","1","0"
"B06X6D8T68","B015QZRV0U","Summer Mae Mujer Traje De Baño Del Bowknot Impresión Falda Balneario","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X6D8T68","B015QZRVFK","Summer Mae Mujer Traje De Baño Del Bowknot Impresión Falda Balneario","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06X3S5CW2","B017JO0OBE","Summer Mae Mujer Bañador A Rayas Trajes de dos pieza Con falda","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B07CQNWD45","B017X47VLQ","Summer Mae Mujer Vestido Ocasional De Ajuste Del Cordón","5","0.23%","5","0.18%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
"B06WLJB1C7","B01DLSN9BY","Summer Mae Mujer Trajes De Baño Dos Pieza Del Tankini","1","0.05%","1","0.04%","100%","0","0","0.00%","0.00%","€0.00","€0.00","0","0"
