amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-5478537-3777066	18062574H	2018-06-25T09:34:00+00:00	2018-06-26T16:56:45+00:00	Shipped	Amazon	Non-Amazon			Standard	Gratiae Organics Lifting Facial Mask, 1.7 Ounce	SM-LSLQ-C3QE	B004X9BSG4	Unshipped	1															false		
S01-2187047-1661006	xi6m2zh425	2018-06-22T02:35:19+00:00	2018-06-22T02:35:54+00:00	Shipping	Amazon	Non-Amazon			Standard	Gratiae Organics Facial Cleansing Lotion, 6.8 Ounce	KN-2B5X-YB0L	B003CEA88U	Unshipped	1															false		
S01-7688026-0595423	xi6f2zp363	2018-06-15T02:35:26+00:00	2018-06-20T20:16:15+00:00	Shipped	Amazon	Non-Amazon			Standard	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XXL	MY71107K0XXL	B0761NLN4R	Unshipped	1															false		
S01-4367805-3321061	xi682yg958	2018-06-08T02:34:18+00:00	2018-06-20T17:17:12+00:00	Shipped	Amazon	Non-Amazon			Standard	Gratiae Organics Facial Cleansing Lotion, 6.8 Ounce	KN-2B5X-YB0L	B003CEA88U	Unshipped	1															false		
114-9844880-1011462	114-9844880-1011462	2018-07-02T05:58:31+00:00	2018-07-02T21:05:04+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier by Dead Sea Premier Luxury Collection Milk Cleanser, 8.5 fl oz	HF-a1e-LCMC	B000VF5WVG	Shipped	1	USD	29.0								ENCINO	CA	91316-4323	US		false		
112-2722935-5910653	112-2722935-5910653	2018-07-02T05:42:36+00:00	2018-07-02T18:52:28+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Miracle Noir Mask, 2.04 Fluid Ounce	HF-a10e-MINM	B0010BBCFK	Shipped	1	USD	40.48								LOS ANGELES	CA	90028-9106	US		false		
111-0647623-4575455	111-0647623-4575455	2018-07-02T03:37:59+00:00	2018-07-02T22:26:45+00:00	Shipped	Amazon	Amazon.com			Standard	Premier Dead Sea Body Butter Herbal Scent	DW-MG8E-BMQG	B00157ZFC0	Shipped	3	USD	59.97		12.5				6.0		Toronto	Ontario	M3J 1K7	CA	è´­ä¹°æ??æ?£ 2018/06/28 10-10-58-472	false		
113-5090328-7008204	113-5090328-7008204	2018-07-02T03:18:04+00:00	2018-07-02T03:18:16+00:00	Pending	Amazon	Amazon.com			Standard	Premier Dead Sea Mineral Body Treatment - Salt Scrub - Lemon Aroma	HF-a6e-LASS	B002DYY35Y	Unshipped	1	USD	17.39								West Palm Beach	FL	33415-6314	US	US Core Free Shipping Promotion A3JU1FCINF5SD0,VPC-1-34345921 Coupon	false		
111-3832080-5624237	111-3832080-5624237	2018-07-02T02:54:09+00:00	2018-07-02T15:41:24+00:00	Shipped	Amazon	Amazon.com			Standard	Premier Dead Sea Body Butter Herbal Scent	0Z-KJNM-D56T	B00157ZFC0	Shipped	2	USD	39.98		6.57				4.0	6.57	SACKETS HARBOR	NY	13685	US	US Core Free Shipping Promotion A3JU1FCINF5SD0,è´­ä¹°æ??æ?£ 2018/06/28 10-10-58-472	false		
112-0786576-1061060		2018-07-02T02:35:20+00:00	2018-07-02T03:01:19+00:00	Pending	Merchant	Amazon.com			Standard	Exfoliating Body Scrub (Passion Fruit and Lime)	HF-f15b-EXBS-ZF	B004OEUPGM	Unshipped	1	USD	32.89		0.0		0.0				DANDRIDGE	TN	37725-4723	US		false		
