snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	HF-b3e-PWCC	X001Q09JSN	B003Y7D0HQ	Premier Dead Sea Pearl White Cream Complex, 2.04-Fluid Ounce	New	40	0	0	40	0	0	0	USD	0	0.0	0	0.0	3	7	7	7	Low traffic	42.5	42.5	42.5	0.0	Advertise listing	40	42.5	0	0	0.0	0.18848167539267016	0.82952	Standard
2018-08-24	3S-1QX9-6RRP	X001MU9L2B	B001DXOWA2	Premier Dead Sea Ageless Future Cell Renewal Cream	New	23	0	1	2	2	18	0	USD	21	1.83	0	0.0	2	12	20	35	Low traffic	43.0	43.0	43.0	0.0	Advertise listing	24	43.0	0	0	0.0	0.9533678756476683	0.5702160000000001	Standard
2018-08-24	PP-7C5M-OKFZ	X001K6E0FZ	B00GU2QXVC	Premier Dead Sea Refining Moisture Cream	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0				-1.0	-1.0	Edit listing	0	0.0	0	0	0.0	0.0	0.021976	Standard
2018-08-24	HF-a1e-LCMC	X001Q1E9CX	B000VF5WVG	Premier by Dead Sea Premier Luxury Collection Milk Cleanser, 8.5 fl oz	New	16	0	16	0	0	0	0	USD	0	0.0	0	0.0	15	70	97	122		16.3	16.3	16.3	0.0	Update inventory settings for:	19	16.3	0	0	0.0	1.8996138996138996	0.868976	Standard
2018-08-24	97-6SJH-1LTA	X001FB4RML	B001561M00	Premier Dead Sea Intensive Biox Thermal Beauty Mask**NEW IN BOX**SAME IN MALL**	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	2	Low traffic	53.49	53.49	49.99	0.0	Advertise listing	1	53.49	0	0	0.0	0.5714285714285714	0.02548	Standard
2018-08-24	MY71107MSS	B0761NM3SZ	B0761NM3SZ	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige S	New	1	0	0	1	0	0	0	USD	0	0.0	0	0.0	0	0	1	2	Low conversion	42.49	42.49	42.49	0.0	Create Sale	0	33.99	63	0	109.94316	0.42105263157894735	1.109255	Apparel
2018-08-24	MY16055K0M	B0761QBHM9	B0761QBHM9	ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black M	New	1	0	0	1	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low conversion	42.99	42.99	42.99	0.0	Create Sale	0	39.52	105	0	76.832964	0.0	0.562708	Apparel
2018-08-24	HF-l3e-TEYG	X001PZ8VNN	B00383XLTS	Premier Dead Sea Biox Intensive Age Treatment Eye Cream Gel	New	44	0	2	42	0	0	0	USD	0	0.0	0	0.0	7	27	36	38	Low traffic	49.0	49.0	49.0	0.0	Lower price	43	49.0	0	0	0.0	0.5487364620938628	0.527076	Standard
2018-08-24	MY71115K0L	B0761NMRB4	B0761NMRB4	ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Black M	New	2	0	0	2	0	0	0	USD	0	0.0	0	0.0	0	1	1	2		39.99	39.99	39.99	0.0	Update inventory settings for:	2	39.99	0	0	0.0	0.2222222222222222	1.562132	Oversize
2018-08-24	PJ-CPH7-5MXE	X001K0YGJ1	B01G3AIYJO	Gratiae Organic Beauty By Nature Exfoliating Body Scrub, Apple/Green Tea and Ginger by Gratiae Organic Beauty By Nature	New	99	0	4	1	3	91	0	USD	4	0.48	91	45.5	0	4	5	15	Low traffic	50.0	50.0	50.0	0.0	Advertise listing	8	37.65	84	84	664.10656	0.1360544217687075	3.4484670000000004	Standard
2018-08-24	HF-a85e-RFPM	X001PZ8VYR	B00G71LV3Q	Premier By Dead Sea Premier Refining Facial Peeling Mask 2.04oz, 60ml	New	5	0	0	5	0	0	0	USD	0	0.0	0	0.0	18	62	68	71		27.8	27.8	27.8	0.0	Update inventory settings for:	13	27.8	0	0	0.0	1.2085106382978723	0.10369	Standard
2018-08-24	MY16055K0XL	B0761N3HJ3	B0761N3HJ3	Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black XL	New	3	0	1	2	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low conversion	39.99	39.99	39.99	0.0	Create Sale	0	33.35	168	0	216.932113	0.0	1.688124	Apparel
2018-08-24	MY71107ZQM	B0761P4LK2	B0761P4LK2	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy M	New	1	0	0	0	1	0	0	USD	1	3.5	0	0.0	0	1	1	2		42.49	42.49	42.49	0.0	Update inventory settings for:	1	42.49	0	0	0.0	0.47058823529411764	1.013087	Oversize
2018-08-24	HF-a33e-LUHC	X001Q1F5U3	B004HTXUNE	Premier Dead Sea Luxury Hand Cream 125ml/4.25fl.oz	New	57	0	0	57	0	0	0	USD	0	0.0	0	0.0	0	0	0	0				-1.0	-1.0	Edit listing	0	0.0	0	0	0.0	0.0	0.8273550000000001	Standard
2018-08-24	R0-9P3N-MM7G	X001B57XHH	B0016VW618	Premier Usa Dead Sea shaving Cream for Men All Skin	New	114	0	1	0	113	0	0	USD	113	0.31	0	0.0	3	17	45	50	Low traffic	12.9	12.9	12.9	0.0	Lower price	116	12.9	0	0	0.0	0.5219084712755598	0.102258	Standard
2018-08-24	HF-c7e-LANC	X001S9JTKZ	B002DL9M2G	Premier Dead Sea Luxurious Anti-aging Neck Cream, 2.04 oz	New	46	0	1	45	0	0	0	USD	0	0.0	0	0.0	5	23	42	48	Low traffic	35.0	35.0	35.0	0.0	Advertise listing	48	35.0	0	0	0.0	0.8309859154929577	0.9131	Standard
2018-08-24	MY71107K0XL	B0761PVQYZ	B0761PVQYZ	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XL	New	6	0	0	6	0	0	0	USD	0	0.0	0	0.0	1	1	1	2		42.99	42.99	42.99	0.0	Create Sale	0	37.87	133	0	810.81203	0.25	6.655530000000001	Apparel
2018-08-24	MY71107MSXL	B0761NNM84	B0761NNM84	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige XL	New	1	0	0	1	0	0	0	USD	0	0.0	0	0.0	1	1	1	1		42.99	42.99	42.99	0.0	Create Sale	0	37.0	168	0	262.506278	0.3076923076923077	1.109255	Apparel
2018-08-24	JQ-N6LK-OQ03	X001B547J9	B01JSONMH6	Gratiae Organic Beauty Renewing Peeling Gel	New	15	0	1	1	13	0	0	USD	13	0.95	0	0.0	3	16	28	32	Low traffic	37.8	37.8	37.8	0.0	Advertise listing	17	37.8	0	0	0.0	0.927536231884058	0.31875000000000003	Standard
2018-08-24	MY16055ZQM	B0761Q4YF6	B0761Q4YF6	Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy M	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	5	Low conversion	42.99	42.99	42.99	0.0	Update inventory settings for:	1	42.99	0	0	0.0	2.0	0.563184	Apparel
2018-08-24	PV-OG2H-VHEI	X0017633GF	B004X9BTGI	Gratiae Organicss Hand and Nail Care Treatment, 4.08 Ounce	New	6	0	0	3	0	3	0	USD	5	0.05	0	0.0	0	0	0	0				-1.0	-1.0	Edit listing	0	0.0	0	0	0.0	0.0	0.016926	Standard
