sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
00-1VZ1-IH69	X001MR5RYF	B004H09KEQ		Unknown					0	0	0	0	0		0	0	0
06-LI7A-IZ44	X001HAG5XJ	B0052K03KA	Premier Dead Sea Essential Face Cleanser for Men	New	10.09	No		Yes	187	186	1	0	187	0.01	0	0	0
0Z-KJNM-D56T	X001HAAVTN	B00157ZFC0	Premier Dead Sea Body Butter Herbal Scent	New	19.99	No		Yes	111	111	0	0	111	0.09	0	0	0
1M-3M12-58YS	X001BK07GL	B002DYY35Y	Premier Dead Sea Mineral Body Treatment - Salt Scrub - Lemon Aroma	New	17.39	No		Yes	0	0	0	0	0	0.01	0	0	0
1N-I8OQ-5NL6	X001E28I03	B00D6L6NY2	Premier Dead Sea Para-pharmaceutical Exfoliating Facial Gel 125 ML/ 4.25 FL.OZ	New	25.99	No		Yes	0	0	0	0	0	0	0	0	0
2N-C2ZT-YSNI	X001CPXTFL	B0016VW618	Premier Usa Dead Sea shaving Cream for Men All Skin	New	15.61	No		Yes	36	35	0	1	36	0	0	0	0
3E-OBBY-DIEZ	X001BZ317N	B00157XFNQ	Premier Active Moisture Complex - Normal to Dry Skin	New	39.59	No		Yes	54	51	1	2	54	0.02	0	0	0
3S-1QX9-6RRP	X001MU9L2B	B001DXOWA2	Premier Dead Sea Ageless Future Cell Renewal Cream	New	75.07	No		Yes	40	39	1	0	40	0.02	0	0	0
40-G0ZX-HJNG	X001EVO9BV	B00022AUVA	Premier Dead Sea Age Defying/Anti Age Cream	New	55.99	No		Yes	0	0	0	0	0	0.02	0	0	0
54-2HQR-70OB	X001FPB0BN	B00115TXRE		Unknown					9	0	0	9	9		0	0	0
58-6A0P-DRT9	X001K6GUYT	B001278VEW	Premier Dead Sea Professional Peeling Mask	New	38.50	No		Yes	60	59	0	1	60	0.02	0	0	0
5D-ZS9Q-CYOL	X001A8Y035	B003Y7D0HQ	Premier Dead Sea Pearl White Cream Complex, 2.04-Fluid Ounce	New	61.53	No		Yes	2	2	0	0	2	0.02	0	0	0
