"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B07DPG3XWT","B002DL9M2G","Premier Dead Sea Luxurious Anti-aging Neck Cream, 2.04 oz","32","1.89%","39","1.84%","90%","5","1","15.63%","3.13%","US$196.05","US$39.21","5","1"
"B07DPF9KVS","B004H02GDI","Dead Sea Premier Beautifying Nail Kit Milk and Honey - Body Lotion,Cuticle Oil,Nail File,Buffing Block","79","4.66%","95","4.47%","92%","12","1","15.19%","1.27%","US$180.88","US$14.99","11","1"
"B07DZYZCFX","B000V7DONW","Dead Sea Premier Collagen, Beta-Carotene & Seaweed Mask","8","0.47%","11","0.52%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DPF2HWG","B000VF5WVG","Premier by Dead Sea Premier Luxury Collection Milk Cleanser, 8.5 fl oz","62","3.66%","85","4.00%","44%","5","0","8.06%","0.00%","US$144.95","US$0.00","5","0"
"B0010BBCFK","B0010BBCFK","Premier Dead Sea Miracle Noir Mask, 2.04 Fluid Ounce","92","5.43%","123","5.79%","70%","7","0","7.61%","0.00%","US$284.86","US$0.00","7","0"
"B0010OMN4G","B0010OMN4G","Premier Dead Sea Shaving Cream for Men, Tube, 4.2268-Fluid Ounce","13","0.77%","19","0.89%","32%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B00115TXRE","B00115TXRE","Dead Sea Premier Eye Serum.","129","7.62%","177","8.33%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DPF1KJW","B00117F5PG","Premier Dead Sea Vitamin Concentrated Facial Serum, Vitamin E and C, 1.7-Fluid Ounce","91","5.37%","106","4.99%","37%","2","0","2.20%","0.00%","US$129.18","US$0.00","2","0"
"B07DPGGY7T","B001278VEW","Premier Dead Sea Professional Peeling Mask","14","0.83%","16","0.75%","94%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DPF1NLN","B001561M00","Premier Dead Sea Intensive Biox Thermal Beauty Mask**NEW IN BOX**SAME IN MALL**","29","1.71%","33","1.55%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
