snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	ZYL-FLQ06-TZ-40	B075R4RWDL	B075R4RWDL	Waterproof Laundry Storage Basket for Bedroom Bathroom Kids Linen Cotton White and Rabbits 15.7"x15.7"x19.7"	New	13	0	2	11	0	0	0	USD	0	0.0	0	0.0	11	34	40	46		10.99	10.99	10.99	0.0	Update inventory settings for:	19	10.99	0	0	0.0	1.0887573964497042	2.459028	Standard
2018-08-24	ZQ-WF002-PI-M	B078H85Y7H	B078H85Y7H	European Table Runner Floral Cloth Fashion Luxury Upscale Neoclassical Table Runner Christams Wedding Decoration Pink(12x79inches)	New	3	0	0	0	3	0	0	USD	3	0.0	0	0.0	0	0	0	1	Low traffic	18.99	18.99	18.99	0.0	Update inventory settings for:	3	18.99	0	0	0.0	0.3076923076923077	3.0E-6	Standard
2018-08-24	GT-WFTFGT200-221	B076J2DG1R	B076J2DG1R	Tapestry Wall Hanging Mandala Hippie Psychedelic Bohemian Elephant Beach Towel Boho Bedspread Exotic Fantasy Queen Size 59 x 79inches	New	4	0	0	0	0	4	0	USD	4	0.0	0	0.0	0	0	0	0	Low conversion	10.0	10.0	10.0	0.0	Create Sale	0	8.93	322	0	18.434449	0.0	4.0E-6	Standard
2018-08-24	JS-LUHM100-KLT	X001TXCIWB	B07FCHZRK5	Whiskey Stones - Stainless Steel Chilling Rocks 6 Skull Heads	New	13	0	13	0	0	0	0	USD	0	0.0	0	0.0	2	7	11	11	Low traffic	19.99	20.0	20.0	0.0	Advertise listing	13	20.0	0	0	0.0	1.6923076923076923	0.258154	Standard
2018-08-24	WB-LUHM002-R0	X001TCQIM3	B07DVK765T	Lastia Lunch Bag Insulated and Water Resistant Lunch Box for Kids and Adults Red	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	4	4	4		25.99	11.0	11.0	0.0	Update inventory settings for:	1	11.0	0	0	0.0	2.0	0.046875	Standard
2018-08-24	BA-FLQ02-SI-6	B075N1KNHS	B075N1KNHS	Lastia 24 pcs Shatterproof Decorative Balls Ornaments for Holiday Party Home Silver 2.36"	New	2	0	0	0	2	0	0	USD	2	1.39	0	0.0	0	2	2	15	Low traffic	15.99	15.99	15.99	11.22	Advertise listing	2	15.99	0	0	0.0	0.19292604501607716	0.401488	Standard
2018-08-24	GT-WFTFGT200-209	B076J6K8RL	B076J6K8RL	Tapestry Wall Hanging Mandala Hippie Psychedelic Bohemian Elephant Beach Towel Boho Bedspread Elephant Queen Size 59 x 79inches	New	5	0	0	0	5	0	0	USD	5	0.0	0	0.0	0	0	1	3	Low conversion	10.0	10.0	10.0	0.0	Update inventory settings for:	5	10.0	0	0	0.0	0.5	4.9999999999999996E-6	Standard
2018-08-24	SDSZH-TS-2	B076P7DYB9	B076P7DYB9	92ct Christmas Tree Ornaments Assortment including Angles Letters Merry Christmas Pendant Butterflies Wish Cards Snowflakes Red	New	1	0	0	1	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	19.9	19.9	19.9	0.0	Advertise listing	0	15.92	63	0	60.560912	0.0	0.479672	Standard
2018-08-24	SQ-LUHM90A	X001SVTMKF	B07DKXGT8H	Lastia Summer Light Weight Water Gun Pool Beach Swimming Water Soaker for Kids and Adults 4 PCS (25.6In)	New	15	0	15	0	0	0	0	USD	0	0.0	0	0.0	0	2	11	15	Low conversion	17.99	17.99	17.99	0.0	Update inventory settings for:	15	17.99	0	0	0.0	1.1842105263157896	1.3412549999999999	Oversize
2018-08-24	XK-YIWUJS2-Y0-7IN	X001SAFA61	B07D4GT945	Lastia 5x7 Wood Photo Frame Fit For Stands Vertically on Desk Table Top Hinged Double Picture Frames	New	20	0	20	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	4	Low traffic	13.99	13.99	13.99	0.0	Advertise listing	17	11.19	21	0	1.876516	0.26229508196721313	3.1443	Standard
