Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
GT-WFTFGT200-220	B076J6VFSP	B076J6VFSP	Tapestry Wall Hanging Mandala Hippie Psychedelic Bohemian Elephant Beach Towel Boho Bedspread Dark Blue Gold Queen Size 59 x 79inches	2	0	0	2
BDB-WF212-CW-M	B0772JDLB6	B0772JDLB6	Printing Lunch Bags Oxford Cloth Aluminum Foil Insulated Zip Cooler Bag Portable Takeaway Film Pack Lunch Box Package Cartoon Hedgehog	2	0	2	0
BLT-WF125-COW	B0788KQVVG	B0788KQVVG	Monitor Memo Board Computer Monitors Notes Holder and Reminder Acrylic Message Boards Memo Pads Sticky Board for Paper Sticky Notes Cow	2	0	1	1
SG-LUHM050-K0	X001TQQPE5	B07F63TBYG	Garden Hose 50 Feet Expandable Lightweight Hose Solid Brass Connector 8 Patterns High Pressure Spray Nozzle, Woven Strength Fabric Cover Hose Home, Garden, Shower Pets Wash Car	3	0	3	0
JS-LUHM100-ZFX	X001TWGUGR	B07FCJN913	Stainless Steel Cold Stones Chilling Rocks for Whiskey Wine Beverage 8 Cooler Square	1	0	0	1
JS-LUHM100-KLT	X001TXCIWB	B07FCHZRK5	Whiskey Stones - Stainless Steel Chilling Rocks 6 Skull Heads	3	0	3	0
SDSZH-RG	B076PCPP68	B076PCPP68	Lastia Christmas Tree Ornaments Assortment 11 Kinds of Accessories Red and Gold	47	0	0	47
JS-LUHM100-JSZFX	X001TX65GV	B07FCH27G9	Whiskey Stones Chilling Rocks- Set of 8 Titanium Gold Plated Square	1	0	0	1
SQ-LUHM304	X001SVW7FH	B07DKWSJ1Z	Lastia Summer Light Weight Water Gun Pool Beach Swimming Water Soaker for Kids and Adults 8 PCS (11.8In)	1	1	0	0
SL-LULW818-PI-L	X001O4DJKF	B078RN1CC8	Baby Sleeping Bag Swaddling Blankets Autumn Winter Baby Stroller Baby Sleep Sack Zipper Design-100% Soft Cotton Ultra-Soft Absorbent - Warm for Baby 12-14 Months 37.4×17.7inch (Pink)	2	0	0	2
YQ-LUHM-F111	X001RLGE4X	B07CQJ8G3M	Bamboo Forks 3.5 Inch, Mini Food Picks for Party, Banquet, Buffet, Catering, and Daily Life. Two Prongs - Blunt End Toothpicks for Appetizer, Cocktail, Fruit, Pastry, Dessert. (One Pack of 110 PCS)	1	1	0	0
SG-LUHM100-K0	X001TQRV2Z	B07F634TZ1	Garden Hose 100feet Heavy Duty Expandable Water Hose 8 Pattern Sprayer Nozzle, 3/4 Solid Brass Connector Extra Hose Holder Car Cleaning, Watering Lawn Showering Dogs	1	0	1	0
XK-YIWUJS2-BR-6IN	X001SAE931	B07D4FWK6H	Lastia 4x6 Wood Photo Frame Fit For Stands Vertically on Desk Table Top Hinged Double Picture Frames	1	0	0	1
XK-YIWUJS2-BR-7IN	X001S9EXVP	B07D4GDZTQ	Lastia 5x7 Wood Photo Frame Fit For Stands Vertically on Desk Table Top Hinged Double Picture Frames	1	1	0	0
ZB-WF029-CF-L	B077SSC1TH	B077SSC1TH	Lastia Cotton White Hemp Machine Washable Dinner Picnic Rectangle tablecloth (Coffee,55.1x55.1In)	1	0	0	1
SQ-LUHM404	X001SV3NPZ	B07DKT41YL	Lastia Summer Light Weight Water Gun Pool Beach Swimming Water Soaker for Kids and Adults 8 PCS (15.7In)	1	0	1	0
ZYL-FLQ59-BF-32	B078JQ3KLW	B078JQ3KLW	Folding Storage Cube Basket for Bedroom Bathroom Kids Cotton Linen White and Batman 12.5"x12.5"x12.5"	1	0	1	0
ZYL-FLQ06-BG-40	B075RCQD9P	B075RCQD9P	Laundry Storage Basket Bin for Bedroom Bathroom Kids Linen Cotton White and Plaid 15.7"x15.7"x19.7"	2	0	0	2
ZB-WF029-WO-L	B0784WBNX9	B0784WBNX9	Lastia Cotton White Hemp Machine Washable Dinner Picnic Rectangle tablecloth (Beige,55.1x55.1In)	2	0	0	2
