Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
BA-FLQ02-BO-6	B075N3N55V	B075N3N55V	Lastia 24 pcs Shatterproof Decorative Balls Ornaments for Holiday Party Home Blue 2.36"	New	16.99	No		Yes	3	0	3	0	3	0.21	0	0	0
BA-FLQ02-GD-4	B075N2WFMS	B075N2WFMS	Lastia 24 pcs Shatterproof Christmas Balls Ornaments for Christmas Trees Holiday Party Decoration Gold 1.57"	New	11.99	No		Yes	0	0	0	0	0	0.06	0	0	0
BA-FLQ02-GD-6	B075N3K3P1	B075N3K3P1	Lastia 24 pcs Shatterproof Christmas Balls Ornaments for Christmas Trees Holiday Party Decoration Gold 2.36"	New	23.99	No		Yes	0	0	0	0	0	0.21	0	0	0
BA-FLQ02-R2-4	B075N7VCYM	B075N7VCYM	Lastia 24 pcs Shatterproof Balls Ornaments for Holiday Party Decoration Rose Red 1.57"	New	8.99	No		Yes	0	0	0	0	0	0.08	0	0	0
BA-FLQ02-R2-6	B075N2WNCP	B075N2WNCP	Lastia 24 pcs Shatterproof Balls Ornaments for Holiday Party Decoration Rose Red 2.36"	New	23.99	No		Yes	0	0	0	0	0	0.21	0	0	0
BA-FLQ02-SI-4	B075N4YGPD	B075N4YGPD	Lastia 24 pcs Shatterproof Decorative Balls Ornaments for Holiday Party Home Silver 1.57"	New	8.99	No		Yes	0	0	0	0	0	0.06	0	0	0
BA-FLQ02-SI-6	B075N1KNHS	B075N1KNHS	Lastia 24 pcs Shatterproof Decorative Balls Ornaments for Holiday Party Home Silver 2.36"	New	20.99	No		Yes	2	2	0	0	2	0.2	0	0	0
BD-LUHM001-X0	X001RTNJUH	B07CVDNT4J	Non Slip Coasters for Drinks Cute Coasters Silicone Coasters Car Cup Holder Coaster, 5 Pack Fruit Coasters	New	21.99	No		Yes	0	0	0	0	0	0.01	0	0	0
BDB-LUHM001-B0	X001T674Y5	B07DQS5YP2	Lastia Large Capacity Soft Cooler Insulated Outdoor Picnic Lunch Bag/Makeup bag for Grocery, Camping, Car, Travel(Blue Flower,7.5x6.3x5.9In)	New	20.99	No		Yes	2	2	0	0	2	0.04	0	0	0
BDB-LUHM001-G0	X001T674YP	B07DQLVNSH	Lastia Large Capacity Soft Cooler Insulated Outdoor Picnic Lunch Bag/Makeup Bag Grocery, Camping, Car, Travel(Green,7.5x6.3x5.9In)	New	20.99	No		Yes	2	2	0	0	2	0.06	0	0	0
