amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
702-1641246-1029056	702-1641246-1029056	2018-08-23T21:40:10+00:00	2018-08-24T04:23:12+00:00	Shipped	Amazon	Amazon.ca			Expedited	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Paw Small	TZ-CAHM240-PAW-S	B07G2J4CCG	Shipped	1	CAD	23.99		5.11					5.11	toronto	ontario	M3N 1L8	CA		false		
702-7521866-8925009	702-7521866-8925009	2018-08-23T11:26:09+00:00	2018-08-24T08:26:07+00:00	Shipped	Amazon	Amazon.ca			Expedited	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Love Large	TZ-CAHM240-LOVE-L	B07G2QCTTK	Shipped	1	CAD	37.99		6.99					6.99	Montreal	Quebec	H1L 6S8	CA		false		
701-1120117-3779442	701-1120117-3779442	2018-08-22T20:20:07+00:00	2018-08-23T01:29:21+00:00	Shipped	Amazon	Amazon.ca			SecondDay	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Cat Dot2 Large	TZ-CAHM240-DOT2-L	B07G2CQMRB	Shipped	1	CAD	37.99								Cantley	Quebec	J8V 3B2	CA		false		
702-0354359-4225832	702-0354359-4225832	2018-08-20T22:40:59+00:00	2018-08-23T03:05:34+00:00	Shipped	Amazon	Amazon.ca			SecondDay	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Dot Medium	TZ-CAHM240-DOT-M	B07G2DBC11	Shipped	1	CAD	24.99								Guelph	Ontario	N1E 7K6	CA		false		
702-4544928-1296236	702-4544928-1296236	2018-08-19T21:37:59+00:00	2018-08-21T22:07:13+00:00	Shipped	Amazon	Amazon.ca			SecondDay	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw Dog Puppy Cat Dot2 Small	TZ-CAHM240-DOT2-S	B07G2JKPHB	Shipped	1	CAD	18.99								Kingston	Ontario	K7L 4V1	CA		false		
S01-0306218-9173877	1808177YJ	2018-08-17T09:52:03+00:00	2018-08-17T09:52:21+00:00	Shipping	Amazon	Non-Amazon			Standard	luciphia Cute PU Leather Dog Collar with Adorable Flowers	XQ-IUYL260-BK-M	B079GQ697Z	Unshipped	1															false		
S01-8845063-9941041	010-W0-2L	2018-08-14T14:45:40+00:00	2018-08-18T05:28:57+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's Tops Long Sleeve A-line Lace Stitching Trim Casual Tunic Dress 2XL White	LYQ-WF7125-WO-2L	B077XQDLK1	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-3777670-2703447	010-P0-XL	2018-08-14T14:45:06+00:00	2018-08-17T00:47:36+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's Tops Long Sleeve A-line Lace Stitching Trim Casual Tunic Dress XL Purple	LYQ-WF7125-PO-XL	B0785L1RRG	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-1713487-4612235	010-P0-S	2018-08-14T14:45:01+00:00	2018-08-19T21:35:05+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's Tops Long Sleeve A-line Lace Stitching Trim Casual Tunic Dress S Purple	LYQ-WF7125-PO-S	B0785K545N	Unshipped	4										Baton Rouge	LA	70808	US		false		
S01-8595372-2005035	010-P0-L	2018-08-14T14:43:39+00:00	2018-08-20T21:08:57+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's Tops Long Sleeve A-line Lace Stitching Trim Casual Tunic Dress L Purple	LYQ-WF7125-PO-L	B077XQBVHJ	Unshipped	5										Baton Rouge	LA	70808	US		false		
