snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	SCF-C01-008	B075WNZJSF	B075WNZJSF	Women's Large Print Silk Scarf Floral Square Pashmina Shawl	New	4	0	0	0	0	4	0	USD	4	0.91	0	0.0	0	0	0	0	Low conversion	20.0	20.0	20.0	0.0	Create Sale	0	17.3	259	0	62.119961	0.0	0.26248	Apparel
2018-08-24	KZ-LY021-BL-40	B077Z1SBLC	B077Z1SBLC	Luciphia Men's Fit Straight Leg Casual Pants	New	2	0	0	0	2	0	0	USD	2	0.0	0	0.0	0	0	0	0	Low conversion	12.0	10.0	10.0	0.0	Update inventory settings for:	0	10.0	63	0	1.93809	0.0	0.0	Standard
2018-08-24	XQ-IUYL320-BL-L	B07BLR3VDW	B07BLR3VDW	luciphia Cute Leather Dog Collar Blue Large	New	4	0	0	4	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	10.0	10.0	10.0	0.0	Advertise listing	0	9.99	63	0	3.503741	0.0	0.002316	Standard
2018-08-24	CWDZ-IULHY-ELPH-YL-L	X001UL7THV	B07G23JJBY	luciphia Super Soft Fluffy Premium Fleece Pet Mat Flannel Throw for Dog Puppy Cat Bed Mats	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	12.99	12.99	12.99	0.0	Advertise listing	0	10.39	63	0	5.273496	0.0	0.96898	Standard
2018-08-24	AQD-IUYL330-RD	B07C8GM14Z	B07C8GM14Z	luciphia Dog Seat Belt, 3 Packs Adjustable Vehicle Car Seatbelt Leash Safety Leads Harness for Pets Cats Animals Red	New	4	0	0	4	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	10.0	10.0	10.0	0.0	Advertise listing	0	9.99	63	0	13.079429	0.0	0.083332	Standard
2018-08-24	SCF-C01-005	B075WR57PJ	B075WR57PJ	Women's Large Print Silk Scarf Floral Square Pashmina Shawl	New	1	0	0	0	0	1	0	USD	1	0.23	0	0.0	0	1	1	1		7.0	7.0	7.0	0.0	Update inventory settings for:	1	7.0	0	0	0.0	0.5714285714285714	0.06562	Apparel
2018-08-24	TZ-IUYL240-RABBIT-L	X001SNZ5FT	B07DFBM9N3	luciphia 1 Pack 3 Blankets Super Soft Fluffy Premium Fleece Pet Blanket Flannel Throw for Dog Puppy Rabbit Large	New	9	0	9	0	0	0	0	USD	0	0.0	0	0.0	1	16	24	24		25.99	25.99	25.99	0.0	Update inventory settings for:	9	25.99	0	0	0.0	1.411764705882353	2.853846	Standard
2018-08-24	CWDZ-IULHY-DOT2-PK-XL	X001UL6T4Z	B07G2158W8	luciphia Super Soft Fluffy Premium Fleece Pet Mat Flannel Throw for Dog Puppy Cat Bed Mats	New	4	0	4	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	16.99	16.99	16.99	0.0	Advertise listing	0	13.59	63	0	1.377714	0.0	1.5131	Standard
2018-08-24	CWDZ-IULHY-DOT2-CF-L	X001UL8SKX	B07G2PMSTY	luciphia Super Soft Fluffy Premium Fleece Pet Mat Flannel Throw for Dog Puppy Cat Bed Mats	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	12.99	12.99	12.99	0.0	Advertise listing	0	10.39	63	0	71.319365	0.0	0.8506950000000001	Standard
2018-08-24	AQD-IUYL330-DB	B07BLR41F3	B07BLR41F3	luciphia Dog Seat Belt, 3 Packs Adjustable Vehicle Car Seatbelt Leash Safety Leads Harness for Pets Cats Animals Dark Blue	New	2	0	0	2	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	9.5	9.5	9.5	0.0	Advertise listing	2	9.5	0	0	0.0	0.0	0.041666	Standard
