Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
BD-LUHM010	X001STCLYL	B07DJ8MH2Q	Baby Carrier Bag and Diaper Travel Backpack Stroller Straps USB Heating Multi-Function Designer Large Capacity Diaper Bags Grey	1	0	1	0
AQD-IUYL330-BK	B07BLQFM2G	B07BLQFM2G	luciphia Dog Seat Belt, 3 Packs Adjustable Vehicle Car Seatbelt Leash Safety Leads Harness Pets Cats Animals Black	1	0	1	0
AQD-IUYL330-PP	B07BM3PGBP	B07BM3PGBP	luciphia Dog Seat Belt, 3 Packs Adjustable Vehicle Car Seatbelt Leash Safety Leads Harness for Pets Cats Animals Purple	1	0	1	0
GW-IUHM-BONE-PK-L	X001U4KWTF	B07FM8ZD2W	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing Bone-Pink,L(31.4x25.5In)	4	0	4	0
GW-IUHM-PAW-CF-M	X001U4L5F5	B07FM6XPBL	luciphia Rectangle Pet Dog Sofa Bed - Comfortable Two-Sided Cushion, Paw and Bone Patterned Linen Fabric Cover, Square Bed for Dog and Cat, Water-Resistant Bottom PAW-Coffee,M(27.5x21.6In)	19	0	19	0
GW-IUHM-BONE-PK-XL	X001U4L5EV	B07FM7ZB3H	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing Bone-Pink,XL(35.4x29.5In)	5	0	5	0
GW-IUHM-BONE-GR-L	X001U4XTXL	B07FM5RQDQ	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing Bone-Grey,L(31.4x25.5In)	20	0	20	0
GW-IUHM-BONE-BK-XL	X001U3BFGZ	B07FM6X6DD	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing Bone-Black,XL(35.4x29.5In)	6	0	6	0
GW-IUHM-BONE-LB-S	X001U3BFH9	B07FM5RNMG	luciphia Textiles Reversible Rectangle Pet Bed with Dog Paw and Bone Printing Bone-Sky Blue,S(23.6x17.7In)	12	0	12	0
LGQ-IUYL100-PK	B0798PX336	B0798PX336	luciphia Retractable Dog Walking Leash 16 ft Small Medium Large Dogs - Up To 88 lb Dog - Ergonomic Grip - Waste Bag Dispenser Collapsible Water Bowl included	4	0	4	0
