Merchant SKU	Fulfilment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
CA-HM1789-B2-S	X001LOMFVR	B06XXDYCFP	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	1	0	0	1
CA-HM1789-B0-M	X001UHXQ4F	B07FYHT6KY	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	3	1	0	2
CA-HM1789-Dot-2XL	X001SO3DXT	B07DFG942Y	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	1	0	0	1
CA-HM1789-Dot-M	X001SO3DXJ	B07DFB3XMF	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	1	0	0	1
CA-HM1789-B2-XL	X001LO2CSN	B06XX6QYT9	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	1	0	0	1
CA-HM1789-PI-S	X001LO24OP	B06XWZPCD4	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	1	0	0	1
CA-HM1789-K0-2XL	X001DOWWBD	B06XXFGJ5Z	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	2	1	1	0
CA-HM1789-K0-L	X001DNQBG1	B06XWZDQBF	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	6	3	0	3
CA-HM1789-W0-M	X001F9Q5NH	B06XWVQKJC	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	2	1	0	1
CA-HM1789-ZL-M	X001DNU84H	B06XWZJ94M	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	2	0	0	2
CA-HM1789-ZL-L	X001DTI9NX	B06XXCZS9G	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	1	0	0	1
CA-HM1789-K0-S	X001DO6J4T	B06XXD5D68	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	3	0	0	3
CA-HM1789-K0-XL	X001DO1K75	B06XXC71R7	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	2	1	0	1
CA-HM1789-ZL-S	X001DO6949	B06XXF89VM	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	1	0	0	1
LYQ-MCXZ1058-Z0-L	X001TT4UCV	B07CXNKJSY	MiYang Women's Casual Tunic Top Short Sleeve Blouse T-Shirt Button Decor	2	1	0	1
LYQ-NA1010-K0-XL	X001DNNJWF	B01KO0SDBI	MiYang Women's Purple Long Sleeve A-line Lace Stitching Trim Casual Dress XL Black	1	0	0	1
PA-MC0717-GR-XXL	X001UMWOLV	B07G2ZRH2C	MiYang Women's Yoga Palazzo Pants Wide Leg Loose Floral Print Drawstring	1	0	0	1
PA-MC0717-GR-XXXL	X001UMUI4B	B07G322QXJ	MiYang Women's Yoga Palazzo Pants Wide Leg Loose Floral Print Drawstring	1	0	0	1
PA-MC0717-B0-L	X001UMWEON	B07G3171DS	MiYang Women's Yoga Palazzo Pants Wide Leg Loose Floral Print Drawstring	1	0	0	1
RC-MC001-Y0-L	X001TT40HV	B07F7SQZBG	MiYang Raincoat for Kids Rain Jacket Dinosaur Shaped Lightweight Age 2-10 Unisex	2	0	0	2
SJ-MCHM550-Y0	X001PI1BU5	B07B2TN7SZ	MiYang Women's Bohemian Kimono Beach Bikini Cover Up Bohemian Floral Cardigan	1	0	0	1
SJ-NA204-K0-S	X001FWTAE5	B0136OUD6C	MiYang Women's Floral Lace Beach Bikini Swimwear Cover-up, Black, Small(US Size 4-6)	2	0	0	2
XZ-MC0801-C0-3637	X001UMXAAP	B07G34SY7L	MiYang Women Cute Animal Slippers Cozy Fleece Warm House Indoor	1	0	0	1
XZ-MC488-G0-3637	X001UO6JN3	B07G3Z1VMM	MiYang Fish Animal Beach Slippers Summer Pool Sandals Funny Women Men	1	1	0	0
XZ-MC0801-PI-4041	X001UMYXXN	B07G36DVGD	MiYang Women Cute Animal Slippers Cozy Fleece Warm House Indoor	1	0	0	1
YZ-CA30CH-K0-S	X001OCKAE5	B06XXD8FT8	MiYang Women's Sexy Crewneck One Piece Beachwear Bikini Monokini Swimsuit Black S	1	1	0	0
YZ-CA30CH-L	X001F205AD	B06XWW493Q	MiYang Women's Sexy Crewneck One Piece Beachwear Bikini Monokini Swimsuit Tag L(US L:10-12)	1	0	0	1
YZ-CA30CH-S	X001GDDYLN	B06XXCT3RF	MiYang Women's Sexy Crewneck One Piece Beachwear Bikini Monokini Swimsuit Tag S(US S:2-4)	1	1	0	0
YZ-MC180-B0-XL	X001R2LPKF	B07C5TQHMT	MiYang Padded Push up Brazilian Thong Bikini Sets Two Piece Swimsuit for Women Blue US 14-16	1	0	0	1
YZ-MC181-OR-XL	X001R1GT25	B07BDD8DG4	MiYang Padded Push up Brazilian Thong Bikini Sets 2018 Swimsuits for Women Orange XL	2	0	0	2
YZ-MC181-W0-S	X001R2AHYP	B07BDJM2W3	MiYang Padded Push up Brazilian Thong Bikini Sets 2018 Swimsuits for Women White S	1	0	0	1
YZ-MC5119ZL-4XL	X001Q49X0X	B07BHMDF7S	MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Navy Blue 4XL	1	0	0	1
YZ-MC5119-ZLSY-L	X001Q4SXM7	B07BHJMB51	MiYang Women's Plus-Size Shaping Body One Piece Swim Dresses Swimsuit Leaves Print L	1	0	0	1
YZ-MC5119-ZLBD-2XL	X001Q5QXOB	B07BHJMT22	MiYang Women's Plus-Size Polka Dot Shaping Body One Piece Swim Dresses Swimsuit Navy Polka Dot 2XL	1	0	0	1
YZ-MC5119K0-4XL	X001Q5QXOL	B07BHM9Y4H	MiYang Women's Plus-Size Shaping One Piece Swim Dresses Swimsuit Black 4XL	1	0	0	1
YZ-MC181-K0-2XL	X001R1PA57	B07BDCZJK4	MiYang Padded Push up Brazilian Thong Bikini Sets 2018 Swimsuits for Women Black XXL	1	1	0	0
YZ-MC5119-K0BD-3XL	X001Q5R0ON	B07BHMP7JD	MiYang Women's Plus-Size Polka Dot Shaping Body One Piece Swim Dresses Swimsuit Black Polka Dot 3XL	2	0	0	2
