Merchant SKU	Fulfilment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
BKN-666HBL	X000ZHLPOT	B01D42EBLO		Unknown					0	0	0	0	0		0	0	0
Bottom-5505LB-2XL	X001BEBD6F	B01MRNMCWN		Unknown					0	0	0	0	0		0	0	0
Bottom-5505LB-XL	X001BIC4TV	B01NCAA5LV		Unknown					0	0	0	0	0		0	0	0
Bottom-5505PI-2XL	X001BDDOZJ	B01MXOG1M7		Unknown					0	0	0	0	0		0	0	0
Bottom-5505PI-L	X001BEQBSF	B01NA9CZ8H		Unknown					0	0	0	0	0		0	0	0
Bottom-5505PI-XL	X001BDDOWH	B01N443WS0		Unknown					0	0	0	0	0		0	0	0
Bottom-5505ZL-S	X001BDDOZT	B01N55K6WR		Unknown					0	0	0	0	0		0	0	0
Bottom-HM7702-GZK0-3XL	X001GA9S6B	B071YVBVW5		Unknown					0	0	0	0	0		0	0	0
Bottom-HM7702-GZK0-M	X001GA9RZX	B071HGQG62		Unknown					0	0	0	0	0		0	0	0
Bottom-HM7702-GZK0-XL	X001GA9SCF	B071HGQ8L5		Unknown					0	0	0	0	0		0	0	0
Bottom-HM7702-K0-3XL	X001F4PGK5	B071VDZBCB		Unknown					0	0	0	0	0		0	0	0
CA-BKN16024-Y0-L	X001GDDYLD	B07285NKX8	MiYang Women's Pineapple Printing Halter Padding Bikini Set	New	59.99	No		Yes	3	3	0	0	3	4406.48	0	0	0
CA-BKN16024-Y0-M	X001GD4X5T	B071471D72	MiYang Women's Pineapple Printing Halter Padding Bikini Set	New	59.99	No		Yes	0	0	0	0	0	2221.59	0	0	0
CA-BKN16024-Y0-S	X001GDCSLF	B0719DGF4Q	MiYang Women's Pineapple Printing Halter Padding Bikini Set	New	59.99	No		Yes	0	0	0	0	0	4406.48	0	0	0
CA-HM1727-Pi-2XL	X001O8VLC9	B06ZYBNGZP	MiYang Womens Deep V-neck Cross-Back One Piece Swimsuit	New	59.99	No		Yes	1	0	1	0	1	2948.03	0	0	0
CA-HM1727-Pi-3XL	X001O7NZAV	B06ZZRLK8R	MiYang Womens Deep V-Neck Cross-Back One Piece Swimsuit	New	9.99	No		Yes	6	6	0	0	6	2948.03	0	0	0
CA-HM1727-Pi-4XL	X001O7NZB5	B071XY3V7Z	MiYang Womens Deep V-neck Cross-Back One Piece Swimsuit	New	959.99	No		Yes	1	0	1	0	1	2948.03	0	0	0
CA-HM1727-Pi-5XL	X001O7WP9N	B071XNXCJT	MiYang Womens Deep V-neck Cross-Back One Piece Swimsuit	New	59.99	No		Yes	0	0	0	0	0	2948.03	0	0	0
CA-HM1727-Pi-L	X001O7WTQR	B06ZY2BYPX	MiYang Womens Deep V-Neck Cross-Back One Piece Swimsuit	New	9.99	No		Yes	0	0	0	0	0	2948.03	0	0	0
CA-HM1727-Pi-M	X001GDCIP1	B06ZZRTC23	MiYang Womens Deep V-Neck Cross-Back One Piece Swimsuit	New	9.99	No		Yes	0	0	0	0	0	2949.34	0	0	0
CA-HM1727-Pi-S	X001GD4X59	B06ZYMFCVP	MiYang Womens Deep V-Neck Cross-Back One Piece Swimsuit	New	9.99	No		Yes	0	0	0	0	0	2948.03	0	0	0
CA-HM1727-Pi-XL	X001O7WTQH	B071XP6PNQ	MiYang Womens Deep V-Neck Cross-Back One Piece Swimsuit	New	9.99	No		Yes	1	1	0	0	1	2948.03	0	0	0
CA-HM1789-1-L	X001U668JB	B07FMRGKVF	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	16.39	0	0	0
CA-HM1789-1-M	X001U60CTX	B07FMQ77FQ	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	16.39	0	0	0
CA-HM1789-1-S	X001U6693L	B07FMN8MK5	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	16.39	0	0	0
CA-HM1789-1-XL	X001U6693V	B07FMT34PK	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	16.39	0	0	0
CA-HM1789-1-XXL	X001U60GP3	B07FN5P2HD	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	16.39	0	0	0
CA-HM1789-B0-L	X001UHXQ4P	B07FYHN37L	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	0	0	0	0	0	42.93	0	0	0
CA-HM1789-B0-M	X001UHXQ4F	B07FYHT6KY	MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short	New	15.99	No		Yes	6	3	0	3	16	1793.4	0	10	0
