"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B06XX186BB","B06XXD5D68","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","125","1.46%","191","1.78%","71%","36","28.80%","CAD539.64","34"
"B06XX186BB","B06XWZDQBF","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","87","1.02%","121","1.13%","98%","32","36.78%","CAD479.68","30"
"B06XX186BB","B06XXC71R7","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","54","0.63%","79","0.74%","94%","19","35.19%","CAD284.81","19"
"B06XX186BB","B06XXBMK3H","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","41","0.48%","61","0.57%","92%","17","41.46%","CAD254.83","17"
"B06XX186BB","B06XXFGJ5Z","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","53","0.62%","67","0.63%","100%","16","30.19%","CAD239.84","16"
"B06XX186BB","B06XWZJ94M","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","48","0.56%","66","0.62%","100%","11","22.92%","CAD164.89","11"
"B06XX186BB","B06XXF89VM","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","80","0.94%","99","0.92%","90%","10","12.50%","CAD149.90","10"
"B079NTDB1K","B079NWXNZ7","Women's Flounced Striped High Waited Swimsuit Two Piece Bikini Set Red L","77","0.90%","97","0.91%","100%","9","11.69%","CAD233.91","9"
"B078X7DQS2","B078X8HY72","MiYang Womens One Piece Floral Lace Swimwear Printed Multi-rope Harness Bathing Suit","18","0.21%","28","0.26%","100%","8","44.44%","CAD175.92","8"
"B078X7DQS2","B078X77CMG","MiYang Womens One Piece Floral Lace Swimwear Printed Multi-rope Harness Bathing Suit","12","0.14%","17","0.16%","100%","7","58.33%","CAD153.93","7"
"B06XX186BB","B06XXDYCFP","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","18","0.21%","22","0.21%","77%","6","33.33%","CAD89.94","6"
"B06XX186BB","B06XXF7D82","MiYang Women's Beach Pant Bikini Bottom Adjustable Tie Boy Short","26","0.30%","28","0.26%","100%","6","23.08%","CAD89.94","6"
"B078X7DQS2","B078X7FL96","MiYang Womens One Piece Floral Lace Swimwear Printed Multi-rope Harness Bathing Suit","23","0.27%","35","0.33%","100%","6","26.09%","CAD131.94","6"
"B01M4NM99X","B01EJ5VO38","MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit Black 1XL","16","0.19%","19","0.18%","100%","5","31.25%","CAD179.95","5"
"B01M4NM99X","B01EJ5VT60","MiYang Women's Plus-Size Flower Printing Shaping Body One Piece Swim Dresses Swimsuit Black 4XL","31","0.36%","41","0.38%","85%","5","16.13%","CAD179.95","5"
"B078Z64ZP4","B078Z5C7DK","MiYang Women's Sexy Bandage Bikini Set Push-up Padded 2 Piece Swimsuit Swimwear","18","0.21%","22","0.21%","55%","5","27.78%","CAD99.95","5"
"B079NTDB1K","B079NSKLJX","Women's Flounced Striped High Waited Swimsuit Two Piece Bikini Set Black XL","11","0.13%","11","0.10%","100%","5","45.45%","CAD129.95","5"
"B079NTDB1K","B079NSVLXQ","Women's Flounced Striped High Waited Swimsuit Two Piece Bikini Set Black L","29","0.34%","41","0.38%","83%","5","17.24%","CAD129.95","5"
"B01M4NM99X","B07BHJMT22","Women's Plus-Size Polka Dot Shaping Body One Piece Swim Dresses Swimsuit Navy Polka Dot 2XL","24","0.28%","25","0.23%","100%","5","20.83%","CAD179.95","5"
