snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	XZ-ZQCB3056-kQ-27	X0019R2O8F	B01M2BN88E	Women Cute Cat Warm House Slippers Booties Khaki 9-10 B(M) US Adult	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low conversion	19.99	19.99	19.99	0.0	Update inventory settings for:	2	19.99	0	0	0.0	0.0	0.475866	Footwear
2018-08-24	YZ-MU5129-G0-L	X001RG3SZ1	B07CLLW7XW	MiYang Plus Size Floral Swimwear One Piece Swimdress for Women Skirted Swimsuit Green Large(US 12-14)	New	7	0	7	0	0	0	0	USD	0	0.0	0	0.0	0	2	7	8		28.99	28.99	28.99	0.0	Update inventory settings for:	7	28.99	0	0	0.0	0.7272727272727273	1.003982	Apparel
2018-08-24	YZ-BSA160301R0M	X001GAO3G1	B0716S4V2W	MiYang Retro Vintage Striped One Piece Monokini Chevron Lines Swimsuit M PinkWhite	New	8	0	0	3	2	0	3	USD	2	0.42	3	1.5	0	0	0	0	Low traffic	20.99	20.99	20.99	0.0	Create Sale	0	16.79	63	0	75.708954	0.0	0.487424	Apparel
2018-08-24	MNQ-N7188-K0-S	X001CJKEYV	B01MQXZFP6	MiYang Women's Long Sleeve A-Line Lace Stitching Trim Mini Dress	New	4	0	0	0	2	2	0	USD	3	0.52	1	0.5	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Create Sale	0	17.04	308	0	59.65288	0.0	0.200012	Apparel
2018-08-24	YZ-JG2631ZL1L	X000Y310B7	B0196ETM7M	MiYang Women's One Piece Striped Slim Swim Dress Bathing Swimwear Size tag XL/US size M, royal blue	New	15	0	15	0	0	0	0	USD	0	0.0	0	0.0	3	37	159	205		38.0	19.58	19.58	0.0	Update inventory settings for:	2	19.58	0	0	0.0	9.010989010989011	2.0805599999999997	Apparel
2018-08-24	YZ-MUBK187-K0-M	X001QESEFD	B07C8LWXVZ	High Waisted Bikini Set Sporty High Cut Cheeky Bottom Two Piece Swimsuit Black	New	16	0	16	0	0	0	0	USD	0	0.0	0	0.0	2	9	24	46		21.99	21.99	21.99	0.0	Update inventory settings for:	15	21.99	0	0	0.0	3.1186440677966103	1.065088	Apparel
2018-08-24	XZ-MU0066-KQ-36/37	X001V0J21H	B07GDNW35K	Faux Fur Fluffy Plush House Slippers Slip-on Suede Warmth Comfy Winter for Women and Men Khaki 5.5-6.5 B(M) US	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Advertise listing	0	15.99	63	0	35.462154	0.0	0.328612	Footwear
2018-08-24	TK-J02H-SH-4	X001GBL5NJ	B07219Y437	Teenking Boy's Fleece Outdoor Jacket with Hood Little Boy(Size 4)	New	1	0	0	1	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low conversion	27.99	27.99	27.99	0.0	Create Sale	0	25.84	63	0	63.875147	0.0	0.43397	Apparel
2018-08-24	YZ-HE9008Sa7L	X0019AA8E9	B01N0EHETF	MiYang Women's Plus Size High Waist Printing Swimsuit Bathing Swimwear Sapphire Blue(Two Piece) 2XL(US Size16W-18W)	New	23	0	23	0	0	0	0	USD	0	0.0	0	0.0	2	3	10	23		28.58	28.58	28.58	0.0	Create Sale	0	25.0	343	0	501.803569	1.3529411764705883	1.7106249999999998	Apparel
2018-08-24	TK-J01H-SH-5/6	X001GBQL4R	B0721B4FRH	Teenking Boy's Fleece Outdoor Jacket Little Boy(Size 5/6)	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	1	5	8	10		27.99	27.99	27.99	0.0	Create Sale	0	15.62	14	0	76.861387	1.2903225806451613	1.612055	Apparel
2018-08-24	YZ-HE9007Se6L	X0019PSFM1	B01MQJP47N	MiYang Women's Plus Size High Waist Printing Swimsuit Bathing Swimwear Navy(one Piece) 1X(US Size14W-16W)	New	15	0	15	0	0	0	0	USD	0	0.0	0	0.0	1	7	12	31		38.0	28.58	28.58	0.0	Update inventory settings for:	14	28.58	0	0	0.0	2.4313725490196076	1.1156249999999999	Apparel
2018-08-24	YZ-MUYF184-ZLBD-2XL	X001SULJYN	B07DKGQ2G5	Halter Neck Maternity Tankini Tie-dye Striped Swimsuit Set Navy Polka Dot 2XL	New	25	0	25	0	0	0	0	USD	0	0.0	0	0.0	0	9	27	27		22.99	22.99	22.99	0.0	Update inventory settings for:	25	22.99	0	0	0.0	1.5576923076923077	3.19345	Apparel
2018-08-24	XZ-MU9666-KQ-290	X001V06QU7	B07GDHSS3H	GaraTia Winter House Slipper Waterproof Antiskid Lovers Slippers Cotton Shoes Camel XXX-Large	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Advertise listing	0	15.99	63	0	47.427321	0.0	0.442092	Footwear
2018-08-24	YZ5505JRS	X000UZHCGV	B06XYZS6NS	MiYang Women's Tankini Striped Vintage Swim Dress (Pink Small)	New	7	0	7	0	0	0	0	USD	0	0.0	0	0.0	4	25	60	82		40.0	29.99	29.99	0.0	Update inventory settings for:	8	29.99	0	0	0.0	5.125	0.433125	Apparel
2018-08-24	YZ-BSA160301K0M	X0013ZD5QD	B01EN7V1LW	MiYang Retro Vintage Striped One Piece Monokini Chevron Lines Swimsuit M BlackWhite	New	14	0	1	0	3	0	10	USD	3	0.78	10	5.18	0	0	3	6	Low traffic	20.99	20.99	20.99	0.0	Advertise listing	0	15.8	364	0	208.376553	0.36923076923076925	1.05	Apparel
2018-08-24	YZ5505K0-S	X001F24SER	B071F8K78X	MiYang Women's Tankini Striped Vintage Swim Dress (Black Small)	New	120	0	120	0	0	0	0	USD	0	0.0	0	0.0	12	54	137	256		40.0	29.99	29.99	0.0	Update inventory settings for:	116	29.99	0	0	0.0	2.790190735694823	9.22212	Apparel
2018-08-24	YZ-MUBK187-OR-2XL	X001QCLK1F	B07C8H4JLX	High Waisted Bikini Set Sporty High Cut Cheeky Bottom Two Piece Swimsuit Orange	New	16	0	1	15	0	0	0	USD	0	0.0	0	0.0	0	0	1	2	Low conversion	21.99	21.99	21.99	0.0	Create Sale	2	19.69	189	0	257.293899	0.12307692307692308	1.065088	Apparel
