Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
DK-HM1789-B2-L	X001B14T87	B01N975EFB	MiYang Women's Solid Blue Beach Pant Bikini Bottom Adjustable Tie Boy Short L (Waist 30.5"-33.5")	3	0	3	0
DK-HM1789-PI-S	X001B14T8H	B01N2JEKXQ	MiYang Women's Pink Beach Pant Bikini Bottom Adjustable Tie Boy Short S (Waist 26"-28.5")	2	0	2	0
DK-HM1789-Dot-M	X001R737MJ	B07CG6JT46	MiYang Women's Polka Dot Pant Bikini Bottom Adjustable Tie Boy Short M (Waist 28.5"-30.5")	1	1	0	0
DK-HM1789-Dot-XL	X001R71BGD	B07CGBKNK2	MiYang Women's Polka Dot Pant Bikini Bottom Adjustable Tie Boy Short XL (Waist 33.5"-35.5")	1	0	0	1
DK-HM1789-B2-S	X001B3N4R7	B01NBA0N1E	MiYang Women's Solid Blue Beach Pant Bikini Bottom Adjustable Tie Boy Short S (Waist 26"-28.5")	3	0	3	0
DK-HM1789-K0-L	X0017B7EAB	B01LAVARFU	MiYang Women's Solid Black Beach Pant Bikini Bottom Adjustable Tie Boy Short L (Waist 30.5"-33.5")	14	0	14	0
DK-HM1789-R2-S	X001B3N4QX	B01MSOO12U	MiYang Women's Red Beach Pant Bikini Bottom Adjustable Tie Boy Short S (Waist 26"-28.5")	2	0	0	2
DK-HM1789-K0-M	X0017AT7ST	B01LAVAPF2	MiYang Women's Solid Black Beach Pant Bikini Bottom Adjustable Tie Boy Short M (Waist 28.5"-30.5")	4	2	1	1
DK-HM1789-W0-M	X001B33373	B01NBA32V6	MiYang Women's White Beach Pant Bikini Bottom Adjustable Tie Boy Short M (Waist 28.5"-30.5")	2	0	1	1
DK-HM1789-Dot-S	X001R7U62N	B07CJ1RHBK	MiYang Women's Polka Dot Pant Bikini Bottom Adjustable Tie Boy Short S (Waist 26"-28.5")	1	0	1	0
DK-HM1789-K0-XL	X0017CCASL	B01LAVATJY	MiYang Women's Solid Black Beach Pant Bikini Bottom Adjustable Tie Boy Short XL (Waist 33.5"-35.5")	7	0	7	0
DK-HM1789-PiTW-L	X001E6IX45	B06XDM5H9Y	MiYang Women's Pink Stripe Beach Pant Bikini Bottom Adjustable Tie Boy Short M (Waist 28.5"-30.5")	2	1	1	0
DK-HM1789-ZL-M	X001ATSM5B	B01NB9NV4H	MiYang Women's Navy Blue Beach Pant Bikini Bottom Adjustable Tie Boy Short M (Waist 28.5"-30.5")	2	0	2	0
DK-HM1789-K0-S	X0017CEXU9	B01LAVAN5Y	MiYang Women's Solid Black Beach Pant Bikini Bottom Adjustable Tie Boy Short S (Waist 26"-28.5")	1	1	0	0
FBA-YZ5505DaS	X00101MX3L	B013OSTD48	MiYang Women's Tankini Striped Vintage Swim Dress (Deep Blue Small)	1	0	0	1
LYQ--MY-MX02-P0-XL	X001L5OECJ	B0761RBFJS	MiYang Bell Sleeve Shirt Dress Women Loose Flare Swing Blouse Casual Dress Purple XL	1	1	0	0
LYQ-1010W0S	X0016QUQ2P	B01KO0S9JO	MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress XS White	1	0	1	0
LYQ-LB01-K0-XL	X001L50T2X	B0761PC3W7	MiYang Long Sleeve Turtleneck Loose Tunic Top Casual Swing High Waist Dress for Women with Bell Sleeves	13	0	0	13
LYQ-LB01-K0-M	X001L5138R	B0761N2RGM	MiYang Long Sleeve Turtleneck Loose Tunic Top Casual Swing High Waist Dress for Women with Bell Sleeves	13	0	0	13
LYQ-LB01-K0-L	X001L5128X	B0761LBWMN	MiYang Long Sleeve Turtleneck Loose Tunic Top Casual Swing High Waist Dress for Women with Bell Sleeves	13	0	0	13
LYQ-K1010-R0-S	X001APKZ4B	B06XZ4THHH	MiYang Women's Long Sleeve A-line Lace Stitching Trim Casual Dress S Red	1	0	1	0
LYQ-MU1059-B7-XL	X001RYBLLB	B07CYKH4G4	MiYang Short Sleeve V Neck Casual Flare Tunic Top Loose Blouse for Women	1	1	0	0
