sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
BKN-666B0L	X0010C11ND	B01DXWQKZA	MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit Blue US 12-14	New	19.99	No		Yes	0	0	0	0	0	0.12	0	0	0
BKN-666HBL	X000ZHLPOT	B01D42EBLO	MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit White US 12-14	New	19.99	No		Yes	0	0	0	0	0	0.1	0	0	0
BKN-666HBS	X000ZHLPPD	B01D42ECC2	MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit White US 4-6	New	19.99	No		Yes	0	0	0	0	0	0.06	0	0	0
BKN-666P0M	X00140TH7D	B01DXWQ3WA	MiYang Womens Cross Double Colored Padded Push Up Halter Bikini Swimsuit Purple US 8-10	New	19.99	No		Yes	0	0	0	0	0	0.12	0	0	0
Bottom-5505LB-2XL	X001BEBD6F	B01MRNMCWN	MiYang Women's Tankini Striped Vintage Swim Dress (Light Blue XX-Large)Bottom	New	39.90	No		Yes	1	1	0	0	1	0.07	0	0	0
Bottom-5505LB-XL	X001BIC4TV	B01NCAA5LV	MiYang Women's Tankini Striped Vintage Swim Dress (Light Blue X-Large)Bottom	New	39.90	No		Yes	7	5	2	0	7	0.07	0	0	0
Bottom-5505PI-2XL	X001BDDOZJ	B01MXOG1M7	MiYang Women's Tankini Striped Vintage Swim Dress (Pink XX-Large)Bottom	New	39.90	No		Yes	3	3	0	0	3	0.07	0	0	0
Bottom-5505PI-L	X001BEQBSF	B01NA9CZ8H	MiYang Women's Tankini Striped Vintage Swim Dress (Pink Large)Bottom	New	39.90	No		Yes	0	0	0	0	0	0.07	0	0	0
Bottom-5505PI-XL	X001BDDOWH	B01N443WS0	MiYang Women's Tankini Striped Vintage Swim Dress (Pink X-Large)Bottom	New	39.90	No		Yes	0	0	0	0	0	0.07	0	0	0
Bottom-5505ZL-L	X001BIC83X	B01NBARH9L	MiYang Women's Tankini Striped Vintage Swim Dress (Deep Blue Large)Bottom	New	39.90	No		Yes	0	0	0	0	0	0.07	0	0	0
Bottom-5505ZL-S	X001BDDOZT	B01N55K6WR	MiYang Women's Tankini Striped Vintage Swim Dress (Deep Blue Small)Bottom	New	39.90	No		Yes	0	0	0	0	0	0.07	0	0	0
Bottom-HM7702-GZK0-2XL	X001GAJFVJ	B0713YJKMX	MiYang Women's Vintage 50s Plaid Pattern Halter Bikini Bottom	New	28.88	No		Yes	0	0	0	0	0	0.06	0	0	0
Bottom-HM7702-GZK0-3XL	X001GA9S6B	B071YVBVW5	MiYang Women's Vintage 50s Plaid Pattern Halter Bikini Bottom	New	28.88	No		Yes	2	2	0	0	2	0.06	0	0	0
Bottom-HM7702-GZK0-L	X001GAHRQ9	B071DW3XN2	MiYang Women's Vintage 50s Plaid Pattern Halter Bikini Bottom	New	28.88	No		Yes	0	0	0	0	0	0.06	0	0	0
Bottom-HM7702-GZK0-M	X001GA9RZX	B071HGQG62	MiYang Women's Vintage 50s Plaid Pattern Halter Bikini Bottom	New	28.88	No		Yes	2	2	0	0	2	0.06	0	0	0
Bottom-HM7702-GZK0-XL	X001GA9SCF	B071HGQ8L5	MiYang Women's Vintage 50s Plaid Pattern Halter Bikini Bottom	New	28.88	No		Yes	1	0	1	0	1	0.06	0	0	0
Bottom-HM7702-K0-3XL	X001F4PGK5	B071VDZBCB	MiYang Women's Vintage 50s Plaid Pattern Halter Bikini Bottom	New	28.88	No		Yes	1	1	0	0	1	0.06	0	0	0
Bottom-HM7702-K0-L	X001GACUAR	B0722QNQRV		Unknown					0	0	0	0	0		0	0	0
Bottom-HM7702-K0-XL	X001GAJG7H	B0716KJ665	MiYang Women's Vintage 50s Plaid Pattern Halter Bikini Bottom	New	28.88	No		Yes	0	0	0	0	0	0.06	0	0	0
CA-BKN16024-Y0-L	X001GDDYLD	B07285NKX8		Unknown					0	0	0	0	0		0	0	0
CA-BKN16024-Y0-M	X001GD4X5T	B071471D72		Unknown					0	0	0	0	0		0	0	0
CA-BKN16024-Y0-S	X001GDCSLF	B0719DGF4Q		Unknown					0	0	0	0	0		0	0	0
CA-HM1727-Pi-2XL	X001O8VLC9	B06ZYBNGZP		Unknown					0	0	0	0	0		0	0	0
CA-HM1727-Pi-3XL	X001O7NZAV	B06ZZRLK8R		Unknown					0	0	0	0	0		0	0	0
CA-HM1727-Pi-4XL	X001O7NZB5	B071XY3V7Z		Unknown					0	0	0	0	0		0	0	0
CA-HM1727-Pi-5XL	X001O7WP9N	B071XNXCJT		Unknown					0	0	0	0	0		0	0	0
CA-HM1727-Pi-L	X001O7WTQR	B06ZY2BYPX		Unknown					0	0	0	0	0		0	0	0
CA-HM1727-Pi-M	X001GDCIP1	B06ZZRTC23		Unknown					0	0	0	0	0		0	0	0
CA-HM1727-Pi-S	X001GD4X59	B06ZYMFCVP		Unknown					0	0	0	0	0		0	0	0
CA-HM1727-Pi-XL	X001O7WTQH	B071XP6PNQ		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B0TW-2XL	X001LV9D29	B06XXF5DLN		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B0TW-L	X001LW8C11	B06XXBTJRZ		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B0TW-M	X001LV9QK3	B06XWWTXPN		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B0TW-S	X001LV9D1F	B06XWWLKNP		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B0TW-XL	X001FATWBD	B06XXBP2ZY		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B2-2XL	X001G4QYIH	B06XXDMBLP		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B2-L	X001HG6B19	B06XWVLPRH		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B2-M	X001HGHI43	B06XWZLBXL		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B2-S	X001LOMFVR	B06XXDYCFP		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-B2-XL	X001LO2CSN	B06XX6QYT9		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-Dot-2XL	X001SO3DXT	B07DFG942Y		Unknown					0	0	0	0	0		0	0	0
CA-HM1789-Dot-L	X001SNGIO1	B07DFFCKTM		Unknown					0	0	0	0	0		0	0	0
