Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
CA171-G912-XL	B073PQ12R6	B073PQ12R6	Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Green,X-Large	1	0	0	1
CA084-H10-XXL	B06XPQSTPS	B06XPQSTPS	MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts White and Red XX-Large	2	1	1	0
CA084-H15-M	B06XPBRHK4	B06XPBRHK4	MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid Medium	1	0	0	1
CA084-H15-L	B06XPBMYD7	B06XPBMYD7	MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid Large	1	0	0	1
CA171-ZL918-S	B073PP7W37	B073PP7W37	Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Navy Blue,Small	1	1	0	0
CA171-G912-S	B073PP2Q5W	B073PP2Q5W	Men's Oxford Long Sleeve Button Down Dress Shirt With Pocket,Green,Small	1	1	0	0
CS-BBS003-BK-L	B078JD6XLB	B078JD6XLB	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Black Large	1	0	0	1
CS-BBS003-BK-XL	B078JNMVTJ	B078JNMVTJ	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Black X-Large	1	0	0	1
CS-BS003-NB-XXL	B078JSKYT9	B078JSKYT9	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Navy Blue XX-Large	1	1	0	0
CS-BBS030-BL-XXL	X001SSPMOX	B078VZB69X	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, XX-Large	1	1	0	0
CS-BBS030-BL-M	X001SSNEIJ	B078VZKK67	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, Medium	2	1	1	0
CS-BBS030-GR-XL	X001SSMWOL	B078W1C6NX	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Gray, X-Large	3	1	0	2
CS-BS003-BK-XL	B078JNMVTJ	B078JNMVTJ	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Black X-Large	1	0	0	1
CS-BBS030-BL-L	X001SSO285	B078W1C8KL	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, Large	5	1	1	3
CS-BBS030-BK-XL	X001STI74T	B078W1K5YJ	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Black, X-Large	1	0	1	0
CS-BBS030-BL-XL	X001SSMHLJ	B078W1MBSF	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Sky Blue, X-Large	2	1	1	0
CS-BBS030-GR-L	X001SSNYK7	B078W1JJNK	Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Gray, Large	2	1	0	1
CS-BS003-BK-L	B078JD6XLB	B078JD6XLB	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Black Large	1	0	0	1
CS-BBS030-BK-L	X001THOR03	B071W24T1L	Men's Short Sleeve Oxford Button Down Casual Shirt Black Large	1	1	0	0
CS-BUSB031-RD2-XL	B078VZHKR7	B078VZHKR7	MOCOTONO Men's Long Sleeve Flannel Plaid Checkered Button Down Casual Dress Shirts Red2 X-Large	1	0	0	1
CS-BUSB031LHY-YL1-XL	X001SUEZ35	B078VYLWMR	MOCOTONO Men's Long Sleeve Flannel Plaid Checkered Button Down Casual Dress Shirts Yellow1 X-Large	1	1	0	0
CS-BUSB031LHY-GN2-S	X001SUEZ3P	B078VZRGFC	MOCOTONO Men's Long Sleeve Flannel Plaid Checkered Button Down Casual Dress Shirts Green2 Small	3	0	3	0
CS-BUSB031LHY-YL1-S	X001SLXGBV	B07DDFF3SS	MOCOTONO Men's Long Sleeve Flannel Plaid Checkered Button Down Casual Dress Shirts Yellow1 Small	6	0	5	1
CS-BUSB031LHY-YL1-M	X001SUADOP	B078W2HYY3	MOCOTONO Men's Long Sleeve Flannel Plaid Checkered Button Down Casual Dress Shirts Yellow1 Medium	8	0	8	0
CS-LHY002-BK-XL	X001UCH0ZL	B074DTRY1X	MOCOTONO Men's Long Sleeve Regular Fit Plaid Button Down Casual Shirts Black X-Large	6	0	5	1
CS-LHY002-CF-XL	X001UCIJ97	B074DTNB3C	MOCOTONO Men's Long Sleeve Regular Fit Plaid Button Down Casual Shirts Coffee X-Large	6	0	5	1
CS-LHY002-BL-XL	X001UCIKC3	B074DT8ZS1	MOCOTONO Men's Long Sleeve Regular Fit Plaid Button Down Casual Shirts Blue X-Large	8	0	8	0
CS-LHY002-BK-2XL	X001UCIPPF	B074DTG73Y	MOCOTONO Men's Long Sleeve Regular Fit Plaid Button Down Casual Shirts Black XX-Large	5	0	5	0
CS-LHY003-LB-L	X001THN9UH	B078JFBBFF	MOCOTONO Men's Long Sleeve Denim Double-Pocket Shirt Light Blue Large	8	0	7	1
CS-LHY003-LB-XL	X001THN9U7	B078JBLCB7	MOCOTONO Men's Long Sleeve Denim Solid Double-Pocket Shirt Light Blue X-Large	2	1	0	1
CS-LHY003-LB-S	X001THCG01	B07511R3CB	MOCOTONO Men's Long Sleeve Denim Solid Double-Pocket Shirt Light Blue Small	5	0	5	0
CS-LHY002-BL-L	X001UBZN8D	B074DTNJCS	MOCOTONO Men's Long Sleeve Regular Fit Plaid Button Down Casual Shirts Blue Large	5	0	5	0
CS-LHY009-BK-XXL	X001T33AJ1	B07518CGWW	MOCOTONO Men's Short Sleeve Plaid Checkered Button Down Casual Shirts Black XX-Large	1	1	0	0
CS-LHY006-GN-L	X001U7Y04F	B07CGLZ9CD	MOCOTONO Men's Long Sleeve Standard Fit Plaid Checked Button Up Casual Shirts Green Medium	4	1	3	0
CS-LHY007-PP-XXL	X001UDQHA9	B07519P3CD	Mens Oxford Long Sleeve Button Down Casual Dress Shirts Light Pink XX-Large	4	0	4	0
CS-LHY007-LB-XXL	X001UE6LBX	B07519Q1DZ	Mens Oxford Long Sleeve Button Down Casual Dress Shirts Light Pink Medium	3	0	3	0
CS-LHY007-LP-M	X001UE6Z73	B07512LRVL	Mens Oxford Long Sleeve Button Down Casual Dress Shirts Light Pink XX-Large	5	0	5	0
CS-LHY007-PP-XL	X001UE66HR	B0751385MS	Mens Oxford Long Sleeve Button Down Casual Dress Shirts Light Pink XX-Large	8	0	8	0
