Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
B07515LVGV	X001T2RY4T	B07515LVGV		Unknown					0	0	0	0	0		0	0	0
CA084-H1-L	B07216G9G4	B07216G9G4		Unknown					0	0	0	0	0		0	0	0
CA084-H1-M	B072K1SLX8	B072K1SLX8		Unknown					5	5	0	0	5		0	0	0
CA084-H1-S	B071WRDPXY	B071WRDPXY		Unknown					0	0	0	0	0		0	0	0
CA084-H1-XL	B072MM1513	B072MM1513		Unknown					1	1	0	0	1		0	0	0
CA084-H1-XXL	B072MML4VB	B072MML4VB		Unknown					4	4	0	0	4		0	0	0
CA084-H10-L	B06XPD9Q3H	B06XPD9Q3H		Unknown					11	11	0	0	11		0	0	0
CA084-H10-M	B06XPVW75N	B06XPVW75N		Unknown					0	0	0	0	0		0	0	0
CA084-H10-S	B06XPV79C5	B06XPV79C5		Unknown					0	0	0	0	0		0	0	0
CA084-H10-XL	B06XPY2C9Q	B06XPY2C9Q		Unknown					10	10	0	0	10		0	0	0
CA084-H10-XXL	B06XPQSTPS	B06XPQSTPS		Unknown					3	1	0	2	3		0	0	0
CA084-H12-L	B06XPF63MF	B06XPF63MF		Unknown					0	0	0	0	0		0	0	0
CA084-H12-M	B06XPXR992	B06XPXR992		Unknown					0	0	0	0	0		0	0	0
CA084-H12-XL	B06XPTRM9L	B06XPTRM9L		Unknown					0	0	0	0	0		0	0	0
CA084-H12-XXL	B06XPDYHH7	B06XPDYHH7		Unknown					2	2	0	0	2		0	0	0
CA084-H15-L	B06XPBMYD7	B06XPBMYD7		Unknown					5	4	0	1	5		0	0	0
CA084-H15-M	B06XPBRHK4	B06XPBRHK4		Unknown					17	16	0	1	17		0	0	0
CA084-H15-S	B06XPWLNQP	B06XPWLNQP		Unknown					5	5	0	0	5		0	0	0
CA084-H15-XL	B06XPVWPJV	B06XPVWPJV		Unknown					14	14	0	0	14		0	0	0
CA084-H15-XXL	B06XPWWWTB	B06XPWWWTB		Unknown					0	0	0	0	0		0	0	0
CA084-H16-L	B06XYK4HHR	B06XYK4HHR		Unknown					34	34	0	0	34		0	0	0
CA084-H16-M	B06XYHWH3G	B06XYHWH3G		Unknown					13	13	0	0	13		0	0	0
CA084-H16-S	B06XYLG2DN	B06XYLG2DN		Unknown					6	6	0	0	6		0	0	0
CA084-H16-XL	B06XYHPM34	B06XYHPM34		Unknown					39	39	0	0	39		0	0	0
CA084-H16-XXL	B0793MK73F	B0793MK73F		Unknown					46	46	0	0	46		0	0	0
CA084-H2-L	B06XPW817S	B06XPW817S		Unknown					3	3	0	0	3		0	0	0
CA084-H2-M	B06XPCX29X	B06XPCX29X		Unknown					1	1	0	0	1		0	0	0
CA084-H2-S	B06XPTR7CR	B06XPTR7CR		Unknown					5	5	0	0	5		0	0	0
CA084-H2-XL	B06XPX3S3M	B06XPX3S3M		Unknown					15	15	0	0	15		0	0	0
CA084-H2-XXL	B06XPMVT3R	B06XPMVT3R		Unknown					17	17	0	0	17		0	0	0
CA084-H3-L	B06XQW58X4	B06XQW58X4		Unknown					29	29	0	0	29		0	0	0
CA084-H3-M	B06XQWZJBB	B06XQWZJBB		Unknown					7	7	0	0	7		0	0	0
CA084-H3-S	B06XQG6LKS	B06XQG6LKS		Unknown					2	2	0	0	2		0	0	0
CA084-H3-XL	B06XQXLNQL	B06XQXLNQL		Unknown					2	2	0	0	2		0	0	0
CA084-H3-XXL	B06XQVY2DZ	B06XQVY2DZ		Unknown					2	2	0	0	2		0	0	0
CA084-H4-L	B06XQX3XLN	B06XQX3XLN		Unknown					14	14	0	0	14		0	0	0
CA084-H4-M	B06XQVX7D9	B06XQVX7D9		Unknown					0	0	0	0	0		0	0	0
CA084-H4-S	B06XQG3WN3	B06XQG3WN3		Unknown					0	0	0	0	0		0	0	0
CA084-H4-XL	B06XQT1QRW	B06XQT1QRW		Unknown					3	3	0	0	3		0	0	0
CA084-H4-XXL	B06XQG8ZCG	B06XQG8ZCG		Unknown					13	13	0	0	13		0	0	0
CA084-H6-L	B06XQG7RR2	B06XQG7RR2		Unknown					0	0	0	0	0		0	0	0
CA084-H6-M	B06XQVCJ44	B06XQVCJ44		Unknown					0	0	0	0	0		0	0	0
CA084-H6-S	B06XQPLY5J	B06XQPLY5J		Unknown					1	1	0	0	1		0	0	0
CA084-H6-XXL	B06XQG8ZCL	B06XQG8ZCL		Unknown					1	1	0	0	1		0	0	0
CA171-G912-L	B073PQDCYM	B073PQDCYM		Unknown					17	17	0	0	17		0	0	0
CA171-G912-M	B073PPMXD1	B073PPMXD1		Unknown					3	3	0	0	3		0	0	0
CA171-G912-S	B073PP2Q5W	B073PP2Q5W		Unknown					2	1	0	1	2		0	0	0
CA171-G912-XL	B073PQ12R6	B073PQ12R6		Unknown					8	7	0	1	8		0	0	0
CA171-G912-XXL	B073PQ77BX	B073PQ77BX		Unknown					0	0	0	0	0		0	0	0
CA171-LB916-L	B073PQ7JKT	B073PQ7JKT		Unknown					4	4	0	0	4		0	0	0
CA171-LB916-M	B073PPWDT7	B073PPWDT7		Unknown					0	0	0	0	0		0	0	0
CA171-LB916-S	B073PQ6BZ4	B073PQ6BZ4		Unknown					0	0	0	0	0		0	0	0
CA171-LB916-XL	B073PPTRYB	B073PPTRYB		Unknown					0	0	0	0	0		0	0	0
CA171-LB916-XXL	B073PPFLNM	B073PPFLNM		Unknown					0	0	0	0	0		0	0	0
CA171-LG907-L	B073PPT6XM	B073PPT6XM		Unknown					1	0	1	0	1		0	0	0
CA171-LG907-M	B073PQ8R7W	B073PQ8R7W		Unknown					0	0	0	0	0		0	0	0
CA171-LG907-S	B073PPT3Z6	B073PPT3Z6		Unknown					0	0	0	0	0		0	0	0
CA171-LG907-XL	B073PQ8R84	B073PQ8R84		Unknown					1	1	0	0	1		0	0	0
CA171-LG907-XXL	B073PQ29HF	B073PQ29HF		Unknown					0	0	0	0	0		0	0	0
CA171-PI908-L	B073PPNNFC	B073PPNNFC		Unknown					0	0	0	0	0		0	0	0
CA171-PI908-M	B073PPNMZS	B073PPNMZS		Unknown					0	0	0	0	0		0	0	0
CA171-PI908-S	B073PQ7M22	B073PQ7M22		Unknown					0	0	0	0	0		0	0	0
CA171-PI908-XL	B073PPHK1P	B073PPHK1P		Unknown					1	1	0	0	1		0	0	0
CA171-PI908-XXL	B073PPLZTG	B073PPLZTG		Unknown					4	4	0	0	4		0	0	0
CA171-Sa911-L	B073PQLFVZ	B073PQLFVZ		Unknown					0	0	0	0	0		0	0	0
CA171-Sa911-M	B073PQD5PP	B073PQD5PP		Unknown					1	1	0	0	1		0	0	0
CA171-Sa911-S	B073PQXDQX	B073PQXDQX		Unknown					0	0	0	0	0		0	0	0
