"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B07BXDRZR3","B071W24T1L","Men's Short Sleeve Oxford Button Down Casual Shirt Black Large","34","0.30%","41","0.31%","100%","9","1","26.47%","2.94%","US$206.82","US$22.98","9","1"
"B07BXDRZR3","B073PPP5ZG","Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Maroon, X-Large","69","0.61%","83","0.62%","100%","22","1","31.88%","1.45%","US$549.56","US$24.98","22","1"
"B07CLHF5NY","B07519TQN3","MOCOTONO Men's Short Sleeve Plaid Checkered Button Down Casual Shirts Coffee X-Large","9","0.08%","13","0.10%","100%","4","2","44.44%","22.22%","US$91.92","US$45.96","3","1"
"B07BXDRZR3","B0788JN51X","Men's Short Sleeve Oxford Button Down Casual Shirt White Small","30","0.27%","36","0.27%","81%","9","1","30.00%","3.33%","US$179.82","US$19.98","8","1"
"B07BXDRZR3","B0788K7BBT","Men's Short Sleeve Oxford Button Down Casual Shirt Green X-Large","37","0.33%","45","0.34%","100%","8","1","21.62%","2.70%","US$183.84","US$22.98","8","1"
"B07C5SXQ14","B0789C7SK6","MOCOTONO Men's Oxford Long Sleeve Button Down Casual Dress Shirt,Light Gray,X-Large","6","0.05%","6","0.04%","83%","5","1","83.33%","16.67%","US$119.90","US$23.98","5","1"
"B07BXDRZR3","B078W1K5YJ","Mocotono Men's Short Sleeve Oxford Button Down Casual Shirt, Black, X-Large","39","0.34%","49","0.37%","100%","5","1","12.82%","2.56%","US$114.90","US$22.98","5","1"
"B07CCKX5Z7","B06XPBMYD7","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid Large","9","0.08%","10","0.07%","100%","3","0","33.33%","0.00%","US$68.94","US$0.00","3","0"
"B07CCKX5Z7","B06XPBRHK4","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid Medium","10","0.09%","17","0.13%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XPCX29X","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee and Grass Green Medium","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C78FKDZ","B06XPCX59X","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Navy Blue Small","2","0.02%","2","0.01%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B06XPCX59X","B06XPCX59X","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Navy Blue Small","3","0.03%","3","0.02%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XPD9Q3H","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts White and Red Large","5","0.04%","5","0.04%","60%","1","0","20.00%","0.00%","US$22.98","US$0.00","1","0"
"B07CCKX5Z7","B06XPDYHH7","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts White and Black XX-Large","14","0.12%","35","0.26%","97%","2","0","14.29%","0.00%","US$45.96","US$0.00","2","0"
"B07C2DRX3R","B06XPMVRFF","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Denim Blue Tag Asian XL/US L","2","0.02%","2","0.01%","100%","2","0","100.00%","0.00%","US$37.96","US$0.00","2","0"
"B07CCKX5Z7","B06XPMVT3R","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee and Grass Green XX-Large","2","0.02%","2","0.01%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XPQSTPS","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts White and Red XX-Large","3","0.03%","4","0.03%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C78FKDZ","B06XPQSWSR","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Navy Blue X-Large","6","0.05%","6","0.04%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C2DRX3R","B06XPSH74T","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Denim Blue Tag Asian L/US M","1","0.01%","1","0.01%","100%","1","0","100.00%","0.00%","US$18.98","US$0.00","1","0"
"B07CCKX5Z7","B06XPTR7CR","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee and Grass Green Small","11","0.10%","11","0.08%","82%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XPV79C5","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts White and Red Small","2","0.02%","2","0.01%","50%","1","0","50.00%","0.00%","US$14.43","US$0.00","1","0"
"B07CCKX5Z7","B06XPVW75N","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts White and Red Medium","6","0.05%","6","0.04%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XPVWPJV","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid X-Large","5","0.04%","7","0.05%","100%","2","0","40.00%","0.00%","US$45.96","US$0.00","2","0"
"B07CCKX5Z7","B06XPW817S","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee and Grass Green Large","6","0.05%","6","0.04%","100%","1","0","16.67%","0.00%","US$22.98","US$0.00","1","0"
"B06XPWGJCB","B06XPWGJCB","Men's Denim Long Sleeve Pocket Casual Dress Shirt Denim Blue Medium (Slim Fit)","1","0.01%","1","0.01%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XPWLNQP","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid Small","4","0.04%","6","0.04%","83%","1","0","25.00%","0.00%","US$18.98","US$0.00","1","0"
"B06XPWS8YL","B06XPWS8YL","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Navy Blue Medium","4","0.04%","5","0.04%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C2DRX3R","B06XPWS8YL","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Navy Blue Medium","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XPX3S3M","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Coffee and Grass Green X-Large","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XPXR992","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts White and Black Medium","9","0.08%","13","0.10%","92%","2","0","22.22%","0.00%","US$45.96","US$0.00","2","0"
"B07CCKX5Z7","B06XPY2C9Q","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts White and Red X-Large","2","0.02%","2","0.01%","0%","1","0","50.00%","0.00%","US$22.98","US$0.00","1","0"
"B07CCKX5Z7","B06XQG6LKS","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Navy and Coffee Small","5","0.04%","5","0.04%","60%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XQG8ZCG","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Red and White XX-Large","5","0.04%","5","0.04%","60%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XQG8ZCL","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Black and White XX-Large","7","0.06%","8","0.06%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XQPLY5J","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Black and White Small","4","0.04%","4","0.03%","50%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XQT1QRW","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Red and White X-Large","2","0.02%","2","0.01%","50%","1","0","50.00%","0.00%","US$22.98","US$0.00","1","0"
"B07CCKX5Z7","B06XQVCJ44","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Black and White Medium","6","0.05%","7","0.05%","100%","1","0","16.67%","0.00%","US$22.98","US$0.00","1","0"
"B07CCKX5Z7","B06XQVX7D9","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Red and White Medium","8","0.07%","8","0.06%","75%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XQVY2DZ","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Navy and Coffee XX-Large","6","0.05%","7","0.05%","100%","1","0","16.67%","0.00%","US$22.98","US$0.00","1","0"
"B07CCKX5Z7","B06XQW58X4","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Navy and Coffee Large","9","0.08%","14","0.10%","93%","1","0","11.11%","0.00%","US$22.98","US$0.00","1","0"
"B06XQW95T6","B06XQW95T6","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Navy Blue XX-Large","1","0.01%","1","0.01%","0%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C78FKDZ","B06XQW95T6","MOCOTONO Men's Denim Long Sleeve Pocket Casual Dress Shirt Navy Blue XX-Large","2","0.02%","2","0.01%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XQWZJBB","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Navy and Coffee Medium","7","0.06%","8","0.06%","88%","2","0","28.57%","0.00%","US$45.96","US$0.00","2","0"
"B07CCKX5Z7","B06XQX3XLN","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Red and White Large","1","0.01%","1","0.01%","0%","2","0","200.00%","0.00%","US$45.96","US$0.00","2","0"
"B07CCKX5Z7","B06XQXLNQL","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Navy and Coffee X-Large","4","0.04%","4","0.03%","50%","1","0","25.00%","0.00%","US$22.98","US$0.00","1","0"
"B07CCKX5Z7","B06XYHPM34","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid 16 X-Large","3","0.03%","3","0.02%","67%","1","0","33.33%","0.00%","US$22.98","US$0.00","1","0"
"B07CCKX5Z7","B06XYHWH3G","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid 16 Medium","5","0.04%","6","0.04%","83%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07CCKX5Z7","B06XYK4HHR","MOCOTONO Men's Long Sleeve Plaid Button Down Cotton Casual Shirts Muti Plaid 16 Large","6","0.05%","6","0.04%","100%","2","0","33.33%","0.00%","US$45.96","US$0.00","2","0"
"B07C75PL9W","B06XYL56KD","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt White Small","11","0.10%","12","0.09%","75%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07C75PL9W","B06XYL584W","Men's Solid Color Oxford Long Sleeve Button Down Casual Shirt Light Gray XX-Large","5","0.04%","6","0.04%","83%","1","0","20.00%","0.00%","US$22.98","US$0.00","1","0"
