snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	MTX-IULHY-DBW8022-PK-25	X001UVRPVV	B07G9V4ZJK	Rabbit Fur House Slippers Warm Winter Cartoon Casual Shoes for Women/Men	New	6	0	6	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Advertise listing	0	15.99	63	0	6.942678	0.0	0.7355039999999999	Footwear
2018-08-24	YMQYQDZMZM140*160CM	X0016BPL4D	B01C8QGY08	LINENLUX Ablecloth Square Cotton Feel Tablecloth (Letter,55.1x63In)	New	7	0	0	7	0	0	0	USD	0	0.0	0	0.0	0	1	2	3		28.9	28.9	28.9	0.0	Update inventory settings for:	7	28.9	0	0	0.0	0.35294117647058826	0.382767	Standard
2018-08-24	FSFZB006J0RO220CM	X001B3TGA1	B01F5LQLW4	LINENLUX Luxurious Round Tablecloths for Wedding,Meeting,Hotel,Restaurant,Party	New	3	0	3	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low conversion	32.9	32.9	32.9	0.0	Update inventory settings for:	3	32.9	0	0	0.0	0.0	0.509625	Standard
2018-08-24	YMQYQXDHY0140*140CM	X001P08FQL	B076DYFG4G	LINENLUX Cotton Linen Tablecloth Macrame Lace Table Cloths Linen Rectangle Table Covers Table Top for Dinner parties Christmas Holidays or Everyday Use (55.1x55.1In, Yellow)	New	22	0	20	2	0	0	0	USD	0	0.0	0	0.0	0	2	5	5		20.99	20.99	20.99	0.0	Update inventory settings for:	22	20.99	0	0	0.0	0.5	2.93689	Standard
2018-08-24	BYZBFS90*90CM	X001JGP0KZ	B0746JYN2R	LINENLUX Cotton and Hemp, Machine Washable, Dinner, Summer & Picnic Tablecloth, (Pink,35.4x35.4In) …	New	11	0	0	0	1	10	0	USD	2	0.32	9	4.5	1	1	1	1		13.99	13.99	13.99	0.0	Create Sale	0	11.68	364	0	129.019402	0.0851063829787234	0.516868	Standard
2018-08-24	YMQYQZBXHGSS140*180CM	X0014OBMA9	B01C8QKGNY	LINENLUX Luxurious Heavy Weight Macrame Trim Fabric Tablecloth Assorted Sizes & Colors (Shads,55.1x70.9In)	New	5	0	0	0	5	0	0	USD	5	0.86	0	0.0	0	0	0	0	Low conversion	29.9	29.9	29.9	0.0	Update inventory settings for:	5	29.9	0	0	0.0	0.0	0.24861500000000003	Standard
2018-08-24	YX-IUCY-518-N5-L	X001SE78DP	B07D741QQ7	LINENLUX Waterproof Shoes Cover Non-slip Rain Snow Overshoes for Outdoors	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	1	1	3	3		9.0	9.0	9.0	0.0	Update inventory settings for:	3	9.0	0	0	0.0	0.8999999999999999	0.055108	Footwear
2018-08-24	HUAPET-1PPS-2XL	X001ODFW9H	B077GTQ56H	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple 2XL	New	2	0	0	0	2	0	0	USD	2	0.14	0	0.0	0	0	0	0	Low traffic	11.99	11.99	11.99	0.0	Update inventory settings for:	2	11.99	0	0	0.0	0.0	0.041666	Standard
2018-08-24	YMQYQJISZMZM140*180CM	X001JTI03V	B0747N1T3J	LINENLUX Cloth Cotton Linen Tablecloth Living Room Table Cover (55x70.9In)	New	10	0	5	2	1	2	0	USD	4	1.52	0	0.0	0	2	5	6		21.9	21.9	21.9	0.0	Create Sale	1	17.52	70	0	22.741605	0.631578947368421	1.09455	Standard
2018-08-24	ZAKKA0040B035*50CM	X001OYCE8D	B01H1X9MTS	Over the Door Organizer Wall Closet Hanging Storage Bag Multilayer Linen Fabric Pouch Debris (Blue,13.7x19.6In)	New	9	0	9	0	0	0	0	USD	0	0.0	0	0.0	1	4	6	8		24.49	24.49	24.49	0.0	Update inventory settings for:	9	24.49	0	0	0.0	0.7804878048780488	0.999999	Standard
2018-08-24	XQ-IUYL320-RD-S	X001Q3E9Y9	B07BFPT6FV	SiYang Winner Basic Classic Handmade Genuine Leather Dog Collar, Durable and Comfortable Adjustable Small Medium Large Puppy	New	4	0	0	4	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	9.98	9.98	9.98	0.0	Advertise listing	0	7.98	63	0	2.339591	0.0	2.32E-4	Standard
2018-08-24	YMQYQXDHPO60*60CM	X001I6LC71	B0745BHBNH	LINENLUX Cotton and Hemp, Machine Washable, Dinner, Summer & Picnic Tablecloth, (23.5x23.5In, Pink)	New	20	0	2	0	0	18	0	USD	0	0.0	18	9.0	1	1	3	3		9.99	9.99	9.99	0.0	Create Sale	1	6.71	364	0	21.109393	0.14814814814814814	0.00116	Standard
2018-08-24	MTX-IULHY-WT836-GN-26	X001UVFIM9	B07G9X4T2V	LINENLUX Women Home Slippers Thicken Winter Casual Shoes with Bow Indoors/Outdoors	New	6	0	6	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Advertise listing	0	15.99	63	0	6.942678	0.0	0.86739	Footwear
2018-08-24	YY-IULCY-KS377-BIRD-L	X001RYYBZJ	B07CZ2TXXQ	LINENLUX Waterproof Hooded Rain Poncho Jacket Transparent Patterned Print Coat for Kids Bird Large	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	1	4	12	13				-1.0	-1.0	Edit listing	1	10.99	0	0	0.0	2.6	0.037889	Apparel
2018-08-24	YY-IULCY-KS377-ANCHOR-L	X001RYCIJF	B07CYZ9KY7	Waterproof Hooded Rain Poncho Jacket Transparent Patterned Print Coat for Kids Anchor Large	New	4	0	4	0	0	0	0	USD	0	0.0	0	0.0	0	1	1	5	Low conversion	10.0	10.0	10.0	0.0	Update inventory settings for:	4	10.0	0	0	0.0	1.1764705882352942	0.151556	Apparel
2018-08-24	HUAPET-1PPS-XL	X001NCXL4R	B077GV5S1X	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple XL	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0				-1.0	-1.0	Edit listing	0	10.36	35	0	14.314862	0.0	0.093516	Standard
2018-08-24	YI-IUYLTBY-N5	X001OWYYO7	B079JBWM3Q	LINENLUX Rain Poncho Jacket Coat for Adults Hooded Waterproof with Zipper Outdoor (Point Coffee)	New	337	0	337	0	0	0	0	USD	0	0.0	0	0.0	25	138	391	523		22.99	22.99	22.99	0.0	Update inventory settings for:	244	22.99	0	0	0.0	4.007662835249042	10.580115	Apparel
2018-08-24	YY5100XB0L	X0015ZPVMH	B01AXMO99M	LINENLUX Double Breasted Rain Coat Jacket for Women Plus Size (Rose Red)	New	20	0	0	1	19	0	0	USD	20	2.97	0	0.0	2	6	9	11	Low conversion	16.99	16.99	16.99	0.0	Update inventory settings for:	22	16.99	0	0	0.0	0.4	0.85938	Apparel
2018-08-24	YMQYGZZBGZ90*90CM	X0015FTW3V	B01C8QHWKO	LINENLUX DII 100% Cotton, Machine Washable, Dinner, Summer & Picnic Tablecloth Country Plaid, Seats 8 to 10 People (Lattice,35.4x35.4In)	New	1	0	0	0	1	0	0	USD	1	0.26	0	0.0	0	1	1	4	Low conversion	16.9	16.9	16.9	0.0	Update inventory settings for:	1	16.9	0	0	0.0	1.6	0.076641	Standard
2018-08-24	MTX-IULHY-GBWS90-PK-25	X001UXJ3Y1	B07GBXTLGS	Rabbit Fur Home Slippers with Bow-Knot Winter House Shoes for Women	New	6	0	6	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	22.99	22.99	22.99	0.0	Advertise listing	0	0.0	0	0	0.0	0.0	6.0E-6	Footwear
2018-08-24	YI-IUYLTBH-Y0	X001Q82Q6R	B07BK4DF3D	LINENLUX Stylish Unisex Hooded Waterproof Raincoat with Zipper Outdoor Windbreak Rain Jacket Bike Poncho Point Cloak (Yellow)	New	57	0	57	0	0	0	0	USD	0	0.0	0	0.0	38	134	272	477		22.99	22.99	22.99	0.0	Update inventory settings for:	58	22.99	0	0	0.0	10.258064516129032	4.196625	Apparel
2018-08-24	MTX-IULHY-WA86-GR-39	X001UVR895	B07G9X61BC	LINENLUX Women Home Slippers Slip-On Memory Foam Winter Casual Shoes(Star)	New	6	0	6	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	17.99	17.99	17.99	0.0	Advertise listing	0	14.39	63	0	6.248103	0.0	0.50823	Footwear
2018-08-24	BYZBFS140*220CM	X001JH2MB9	B0746JHCMC	LINENLUX Cotton and Hemp, Machine Washable, Dinner, Summer & Picnic Tablecloth, (Pink,55.1x86.6In) …	New	18	0	0	0	0	11	7	USD	1	0.41	17	13.82	0	0	0	0	Low conversion	22.61	22.61	22.61	0.0	Create Sale	0	19.51	294	0	443.006204	0.0	2.12238	Standard
2018-08-24	P6XB6X-03Y0L	X001G61CCN	B01CFH91NW	LINENLUX Light Weight Easy Carry Wind Raincoat and Outdoor Rain Jacket Poncho (L, Khaki)	New	2	0	0	2	0	0	0	USD	0	0.0	0	0.0	0	0	0	0				-1.0	-1.0	Edit listing	0	0.0	0	0	0.0	0.0	0.011848	Standard
2018-08-24	YY2127GRYL	X0016AGDX7	B01JTZC25C	Rain Jacket Clothes For Women Columbia Jacket Women Charles River Rain Womens Spring (L)	New	7	0	4	2	1	0	0	USD	2	0.25	0	0.0	0	2	6	6	Low traffic	19.99	19.99	19.99	0.0	Advertise listing	7	19.99	0	0	0.0	0.7058823529411765	0.25034799999999996	Apparel
2018-08-24	YY-IULCY-XZM100-RDNWT	X001TCN68R	B07DTZB3NP	LINENLUX Waterproof Rain Poncho Jacket Coat Hooded Colorblock(Rose Red and Creamy-White)	New	17	0	17	0	0	0	0	USD	0	0.0	0	0.0	2	5	25	25	Low conversion	22.99	22.99	22.99	0.0	Update inventory settings for:	18	22.99	0	0	0.0	4.411764705882352	1.572415	Apparel
2018-08-24	YY-IULCY-KS372-BL-M	X001RYGQ3J	B07CYZHFYJ	LINENLUX Waterproof Rain Poncho Coat with Bag Cover Blue Medium	New	23	0	23	0	0	0	0	USD	0	0.0	0	0.0	1	4	5	9	Low conversion	13.99	13.99	13.99	0.0	Update inventory settings for:	24	13.99	0	0	0.0	0.5142857142857142	1.7696889999999998	Apparel
2018-08-24	6958140000000-36	X0019PYB0L	B019V6P53K	luciphia Stainless Steel Pet Dog Bowl For Small Middle Large Cats Dogs Calibre-8.9In	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	2	2	5	Low traffic	9.99	9.99	9.99	0.0	Advertise listing	1	9.99	0	0	0.0	1.6666666666666667	0.198875	Standard
2018-08-24	SQ-XLEJ-496F	X001AGYUOB	B01NGTHW1H	Decorbox Cotton Linen Decorative Throw Pillow Case Cushion Cover (18" x 18", Big Elephant)	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	2	2	2		4.9	4.9	4.9	0.0	Update inventory settings for:	1	4.9	0	0	0.0	8.0	0.036125	Standard
2018-08-24	FSFZB001W0RO220CM	X001TNJUM7	B01F5LQ0MA	LINENLUX Luxurious Round Tablecloths for Wedding,Meeting,Hotel,Restaurant,Party	New	3	0	3	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low conversion	31.9	31.9	31.9	0.0	Update inventory settings for:	3	31.9	0	0	0.0	0.0	0.634155	Standard
2018-08-24	MTX-IULHY-W188-GN-35/37	X001U3Z8V3	B07FMM2HXQ	Rabbit Fur Home Slippers with Bow-Knot Winter House Shoes for Women	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	15.99	15.99	15.99	0.0	Lower price	5	15.99	0	0	0.0	0.0	0.625405	Footwear
2018-08-24	MTX-IULHY-W1758-PK-27	X001U4JSUT	B07FM42JD2	LINENLUX Natural Cotton-Blend Thicken Stripe Slipper Indoor	New	4	0	4	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	16.99	16.99	16.99	0.0	Advertise listing	4	16.99	0	0	0.0	0.0	0.613592	Footwear
2018-08-24	MTX-IULHY-WT836-GN-27	X001UVRIIL	B07G9W47RL	LINENLUX Women Home Slippers Thicken Winter Casual Shoes with Bow Indoors/Outdoors	New	6	0	6	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Advertise listing	0	15.99	63	0	6.942678	0.0	1.01622	Footwear
2018-08-24	YX-IUCY-518-WO-L	X001SF0F43	B07D74JGP3	LINENLUX Waterproof Shoes Cover Non-slip Rain Snow Overshoes for Outdoors	New	8	0	8	0	0	0	0	USD	0	0.0	0	0.0	0	0	5	7	Low conversion	9.0	9.0	9.0	0.0	Update inventory settings for:	8	9.0	0	0	0.0	1.3125	0.220888	Footwear
2018-08-24	YMQYQXDHY0100*140CM	X001OY6LK5	B076DPGDHH	LINENLUX Cotton Linen Tablecloth Macrame Lace Table Cloths Linen Rectangle Table Covers Table Top for Dinner Parties Christmas Holidays or Everyday Use (39.4x55.1In, Yellow)	New	10	0	10	0	0	0	0	USD	0	0.0	0	0.0	0	1	5	5		16.99	16.99	16.99	0.0	Update inventory settings for:	10	16.99	0	0	0.0	0.8333333333333334	0.8245800000000001	Standard
2018-08-24	HUAPET-1LVS-5XL	X001ODE7NJ	B077GVPYG5	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Green 5XL	New	2	0	0	0	2	0	0	USD	2	0.14	0	0.0	0	0	0	0	Low traffic	13.99	13.99	13.99	0.0	Create Sale	0	11.19	63	0	6.834431	0.0	0.041666	Standard
2018-08-24	YMQYZBCSMS100*140CM	X000ZDSNED	B01C8QI90Q	LINENLUX Everyday Kitchen Rectangular Tablecloth with Lace 6 Piece Table mat(White,39.4x55.1In) …	New	10	0	10	0	0	0	0	USD	0	0.0	0	0.0	0	1	8	11		39.9	19.99	19.99	0.0	Update inventory settings for:	0	0.0	0	0	0.0	1.5172413793103448	0.6951400000000001	Standard
2018-08-24	FSFZB006J0RO180CM	X00169D5DJ	B01F5LQBSI	LINENLUX Luxurious Round Tablecloths for Wedding,Meeting,Hotel,Restaurant,Party	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	1	1	1		23.9	23.9	23.9	0.0	Update inventory settings for:	1	23.9	0	0	0.0	1.3333333333333333	0.098489	Standard
2018-08-24	YMQYZBJTE0140*180CM	X001E10QXV	B01JIXIBZU	LINENLUX Art Small Fresh Geometric Cotton Linen Tablecloth Cloth Rectangular Tea Table Desk Cover	New	14	0	0	0	14	0	0	USD	14	3.74	0	0.0	1	3	4	6		24.5	24.5	24.5	0.0	Create Sale	0	19.6	294	0	136.391584	0.34782608695652173	1.082592	Standard
2018-08-24	XQ-IUYL320-CF-M	X001Q1QFYN	B07BFPCZ6K	SiYang Winner Basic Classic Handmade Genuine Leather Dog Collar, Durable and Comfortable Adjustable Small Medium Large Puppy	New	4	0	0	4	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	9.98	9.98	9.98	0.0	Advertise listing	0	7.98	63	0	2.339591	0.0	2.32E-4	Standard
2018-08-24	GMZYL-FLQ06-TZ-40	X001U0LHOD	B075R4RWDL	Waterproof Laundry Storage Basket for Bedroom Bathroom Kids Linen Cotton White and Rabbits 15.7"x15.7"x19.7"	New	3	0	3	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low conversion	14.99	14.99	10.99	0.0	Create Sale	0	10.99	63	0	73.478213	0.0	0.567468	Standard
2018-08-24	MIDUQF46W0L	X001E47VFT	B01MY2YM1G	SiYang YoGa Butterfly 3D Printing Yoga Pants Women Running Fitness Sportswear Dance Pants(Pants,L)	New	4	0	0	0	4	0	0	USD	4	0.63	0	0.0	0	0	0	0	Low traffic	21.4	21.4	21.4	0.0	Advertise listing	0	18.58	322	0	56.858656	0.0	0.182092	Apparel
2018-08-24	FSFZB001JHRO160CM	X00169DPDT	B01F5LQH4Q	LINENLUX Luxurious Round Tablecloths for Wedding,Meeting,Hotel,Restaurant,Party	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	0	1	1	2		17.9	17.9	17.9	0.0	Update inventory settings for:	2	17.9	0	0	0.0	1.3333333333333333	0.135768	Standard
2018-08-24	YDWJQWHQWH60*60CM	X0019WZN5V	B01HHQ4PSM	Vintage Lace Design Tablecloth Rectangle Flower Color (Rapala Rhoda,23.623.6In)	New	1	0	0	1	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	15.9	15.9	15.9	0.0	Advertise listing	0	12.72	63	0	0.927555	0.0	5.8E-5	Standard
2018-08-24	YMQYZBCSMS140*140CM	X000ZW0CVL	B01C8QIA0U	LINENLUX Everyday Kitchen Rectangular Tablecloth with Lace 6 Piece Table mat(White,55.1x55.1In) …	New	12	0	1	0	9	2	0	USD	11	2.96	0	0.0	0	1	3	4		22.99	22.99	22.99	0.0	Update inventory settings for:	12	22.99	0	0	0.0	0.3018867924528302	0.933468	Standard
2018-08-24	YY-IULCY-KS371-PP-L	X001S0UXWR	B07CYQ24CD	LINENLUX Waterproof Button Rain Poncho Jacket with Pockets Purple Large	New	21	0	21	0	0	0	0	USD	0	0.0	0	0.0	1	15	24	27		13.99	13.99	13.99	0.0	Update inventory settings for:	23	13.99	0	0	0.0	1.9636363636363636	1.459794	Apparel
2018-08-24	MTX-IULHY-DBWS90-KK-27	X001UXG6JL	B07GBXLQPJ	Rabbit Fur Home Slippers with Bow-Knot Winter House Shoes for Women	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	19.99	19.99	19.99	0.0	Advertise listing	0	0.0	0	0	0.0	0.0	4.9999999999999996E-6	Footwear
2018-08-24	HUAPET-1JS-4XL	X001OXDR9J	B077GTT4DB	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Orange 4XL	New	3	0	0	0	3	0	0	USD	3	0.22	0	0.0	0	0	0	0	Low traffic	13.59	13.59	13.59	0.0	Create Sale	0	10.87	63	0	10.182189	0.0	0.062499	Standard
