Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
AWFSNANKU-HBWYB5822BS-36	X001G5VXQ9	B07193G3ZX	Men's Relaxed Fit Solid Long Cargo Shorts Capri Pants (no belt)(White, 36)	1	0	0	1
CWGQYS-BDR0XL	X001O1U807	B07844VFWQ	luciphia The Original Control Dog Harness No Pull & No Choke Design, Luxurious Padded Vest, Eco-Friendly, For Puppies and Dogs	1	0	0	1
ETYIMC-L-3	X001UJ16BN	B07FZY7P2X	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	1	1	0	0
ETYIBLUE-M-2	X001TURG4T	B07F9RX9DD	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	6	3	3	0
ETYIBLUE-L	X001JEUCFZ	B073QPMMCK	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	1	0	0	1
ETYIYELLOW-M	X001JFALN7	B073QPBC2V	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	2	1	1	0
ETYIYELLOW-L	X001JFALMN	B073QP8N2J	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	3	1	2	0
ETYIYUANDIAN-M	X001NHNTAX	B0771L2H52	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	3	1	2	0
ETYIYUANDIAN-S-2	X001TV1C8T	B07FJMCFZM	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	2	1	0	1
ETYIMC-M-2	X001TUX4G3	B07F9S6B2N	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	1	0	1	0
ETYIYELLOW-XL	X001JF9BV5	B073QPRGCH	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	3	1	1	1
GMSNH-LUHM001-W0	X001U0DJ21	B07DQLKY6N	Small Foldable Storage Basket waterproof Oxford Storage Bins for Toy Storage(White,7.9x5.5x6.3In)	2	0	0	2
ETYIMC-XL	X001JF9BVF	B073QP2NR8	LINENLUX Kids Lightweight Jacket Waterproof Outwear Raincoat	1	1	0	0
HUAPET-1PPS-XL	X001NCXL4R	B077GV5S1X	luciphia Winter Dog Pet Vest Coat Waterproof Jacket With Zipper Purple XL	1	0	1	0
GMZYL-FLQ06-BF-40	X001U0ZH2V	B076P8S1LC	Dirty Clothes Laundry Storage Basket for Bedroom Bathroom Kids Linen Cotton White and Batman 15.7"x15.7"x19.7"	10	2	6	2
LQXFLS85*85CM	X0016P398T	B01FS78IA8	LINENLUX Embroidery Hollow Square Tablecloths Cover Towel Refrigerator Dust Cover Tv (33.4 X 33.4In)	1	0	0	1
MTX-IULHY-M1759-GR-27	X001U8L9EN	B07FPDVC3D	LINENLUX Open-Toe Home Slippers, Memory Foam Winter Casual Shoes Women/Men	1	1	0	0
MZYSMZ01140*210cm	X0012TO46Z	B01BHQVSLK	LINENLUX Map Printed Lace Table Cloth for Round&Rectangular&Oval Table (55.1x82In, White)	1	0	0	1
MZYSZHUOBUDTLEIS140*140CM	X001JSFNRX	B074PM11B6	LINENLUX Map Printed Lace Table Cloth for Round&Rectangular&Oval Table(55x55In)	1	0	1	0
MZYSZHUOBUDTMAP140*250CM	X001EGMBE3	B0727P48K4	LINENLUX Linens Tablecloths Picnic Burlap Tablecloth for Round&Rectangular&Oval Table Cover with Map Printed(Map,55.1x98.4In)	4	1	3	0
MZYSZHUOBUDTLEIS60*60CM	X001JSIC1R	B074PLDC18	LINENLUX Map Printed Lace Table Cloth for Round&Rectangular&Oval Table(23x23In)	2	0	1	1
