Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
0A-OLK7-ZS6V	X001AJ8247	B01N5F80GD	SiYang Man Cable Knitted Hat With Visor Bill Winter Warm Hat For Women Man Blue	New	19.90	No		Yes	1	1	0	0	1	0.06	0	0	0
6958140000000-21	X001O41YEX	B019V6RKPQ		Unknown					0	0	0	0	0		0	0	0
6958140000000-36	X0019PYB0L	B019V6P53K	luciphia Stainless Steel Pet Dog Bowl For Small Middle Large Cats Dogs Calibre-8.9In	New	9.99	No		Yes	2	1	1	0	2	0.2	0	0	0
8Y-T6OF-YUJY	X001EQIC1T	B06XY2ZCJ6	LINENLUX Women's Raincoat Jacket Trench Ponchos for Adults (Pink)	New	20.99	No		Yes	0	0	0	0	0	0.03	0	0	0
9CUE9N-00TLXXXL	X0018VSDBJ	B01CFH87G4	LINENLUX Waterproof Poncho Rain Jacket Hooded for Cycling Bicycle	New	11.99	No		Yes	4	4	0	0	4	0.07	0	0	0
9CUE9N-01SLXXXL	X0018HZM53	B01CFH8836	LINENLUX Waterproof Poncho Rain Jacket Hooded for Cycling Bicycle	New	11.99	No		Yes	0	0	0	0	0	0.07	0	0	0
9CUE9N-03R0XXXL	X0019IKQSJ	B01CFH89QM		Unknown					0	0	0	0	0		0	0	0
9CUE9N-04Y0XXXL	X0019M6ZT9	B01CFH8ALQ	LINENLUX Waterproof Poncho Rain Jacket Hooded for Cycling Bicycle	New	11.99	No		Yes	0	0	0	0	0	0.07	0	0	0
AQD-IUCY330-BK	X001R6XPP9	B07C7Y23N5	SiYang Winner Pet Seat Belt 3 Packs Adjustable Pet Dog Vehicle Seatbelt Durable Nylon Pet Safety Leads Harness Seat-belt Strap For Cats Animals Black	New	9.99	No		Yes	6	6	0	0	6	0.02	0	0	0
AQD-IUCY330-CF	X001R72H93	B07C89F6X2	SiYang Winner Pet Seat Belt 3 Packs Adjustable Pet Dog Vehicle Seatbelt Durable Nylon Pet Safety Leads Harness Seat-Belt Strap for Cats Animals Gray	New	9.99	No		Yes	6	6	0	0	6	0.03	0	0	0
AQD-IUCY330-DB	X001R72I8X	B07C8D82T6	SiYang Winner Pet Seat Belt 3 Packs Adjustable Pet Dog Vehicle Seatbelt Durable Nylon Pet Safety Leads Harness Seat-Belt Strap for Cats Animals Dark Blue	New	9.99	No		Yes	6	6	0	0	6	0.04	0	0	0
