snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	YZ-HM111-K0-L	X001DZX0A9	B06XWQQ8BD	Summer Mae Women's Off The Shoulder Frill Geometric Striped One Piece Bathing Suit Bikini	New	38	0	34	4	0	0	0	USD	0	0.0	0	0.0	0	0	14	54				-1.0	-1.0	Edit listing	0	0.0	0	0	0.0	1.4210526315789473	2.975932	Apparel
2018-08-24	YZ-ZQ789K0L	X00163MJH3	B01H7074XQ	Summer Mae Womens Plus Size Back Polka Dot Classic 2 Pc Plus Size Tankini M	New	3	0	1	2	0	0	0	USD	0	0.0	0	0.0	0	0	0	3	Low traffic	15.99	15.99	15.99	0.0	Advertise listing	0	14.53	168	0	43.748718	0.9230769230769231	0.173907	Apparel
2018-08-24	LYQ-ZQPC01-BD-XXL	X001LT8GRT	B075QG9WBY	OUTDOOR WEAR Summer Mae Women's Heart Pattern Patchwork Knitted Sweater Round Neck Loose Pullover	New	10	0	0	2	8	0	0	USD	8	4.84	0	0.0	0	0	0	0	Low traffic	15.99	15.99	15.99	0.0	Advertise listing	10	15.99	0	0	0.0	0.0	1.7540900000000001	Apparel
2018-08-24	LYQ-ZQD390-K0-S	X001LES8IV	B075MB62X5	Summer Mae Women's Oversized Knitted Sweater Long Sleeve V-neck Loose Pullover Tunic	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	1	Low traffic	16.99	16.99	16.99	0.0	Advertise listing	1	16.99	0	0	0.0	2.0	0.118949	Apparel
2018-08-24	YZ-CLD072-W0-M	X001H775W7	B073CX5K4P	Summer Mae Women's Halter Scalloped One Piece Swimsuit Solid Color Backless Bathing Suit White	New	3	0	0	0	0	0	3	USD	0	0.0	3	1.5	0	0	0	0	Low traffic	17.88	17.88	17.88	0.0	Create Sale	0	14.3	63	0	20.98728	0.0	0.145317	Apparel
2018-08-24	YZ-ZQ15827BSS	X001BQYEFF	B01N4M5SU1	Summer Mae Women's Plus Size Swim Dress Printed-Hem Ruffled Swimwear	New	13	0	0	5	0	0	8	USD	0	0.0	8	4.0	0	0	0	0	Low conversion	20.99	20.99	20.99	0.0	Create Sale	0	14.57	364	0	121.122705	0.0	0.45869200000000004	Apparel
2018-08-24	YZ-CFAM005-LABUGR-M	X001CWGM67	B01MZ72B1Y	FlYang Women's Long Sleeve Casual Loose Dress,Lake Blue Green,M	New	1	0	0	0	0	0	1	USD	0	0.0	1	0.5	0	0	0	0	Low traffic	18.9	18.9	18.9	0.0	Create Sale	0	15.12	63	0	0.578827	0.0	0.001042	Apparel
2018-08-24	YZ-ZQXZ345-G0-S	X001J777OV	B0743CBQYG	WOMEN'S BOUTIQUE Summer Mae Women's Deep V-Neck High Cut Cute Floral Green Leaves One Piece Halter Cross Back Swimsuit	New	1	0	0	0	0	1	0	USD	1	0.0	0	0.0	0	0	0	0	Low traffic	19.9	19.9	19.9	0.0	Update inventory settings for:	1	19.9	0	0	0.0	0.0	5.8E-5	Apparel
2018-08-24	YZ-ZQ17985-P0-5X	X001GXAWSV	B06ZYX6MBT	WOMEN'S BOUTIQUE Summer Mae Women's Purple Pattern Swimwear Two Piece Tankini Top & Bottom	New	3	0	0	3	0	0	0	USD	0	0.0	0	0.0	0	0	0	1	Low traffic	16.99	16.99	16.99	0.0	Advertise listing	2	16.99	0	0	0.0	0.2857142857142857	0.168864	Apparel
2018-08-24	YZ-HM1727-Pi-XL	X001CDPKIR	B06WRXM3GY	Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink XL	New	152	0	152	0	0	0	0	USD	0	0.0	0	0.0	4	48	176	318		18.99	18.99	18.99	0.0	Update inventory settings for:	136	18.99	0	0	0.0	2.2513274336283184	15.029304000000002	Apparel
