Merchant SKU	Fulfillment Network SKU	ASIN	Title	Reserved Quantity	Reserved - Customer Order	Reserved - FC Transfer	Reserved - FC Processing
LYQ-ZQ2973-W1-2XL	X001L3VLKJ	B01N58NBSP	Womens Knitted Long Sweater Dress Tunic Beige XXL	1	0	0	1
LYQ-ZQ3550-PI-3X	X001LAAVM1	B071JLRTDQ	Summer Mae Women Plus Size Ethnic Printed Splicing Casual Pocket Dress	1	1	0	0
LYQ-ZQ3550-E0-S	X001KSUQ6Z	B071ZYZ988	Summer Mae Women Plus Size Ethnic Printed Splicing Casual Pocket Dress	2	1	1	0
WT-ZQ921-G7-4XL	X001LEPQ31	B01M0D9R8F	Summer Mae Women Plus Size Hooded Zip Up Military Anorak Jacket Coat Outwear	1	1	0	0
YZ-HM111-K0-XL	X001E7AJTV	B06XWQSHYX	Summer Mae Women's Off The Shoulder Frill Geometric Striped One Piece Bathing Suit Bikini	1	0	0	1
YZ-HM1728-ZL-M	X001FVWNB3	B071DV9D1Q	Summer Mae Womens One Piece Floral Lace Swimwear Printed Multi-Rope Harness Bathing Suit	3	2	1	0
YZ-HM1727-Pi-2XL	X001DGZV3R	B06XRGKYBC	Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink 2XL	3	0	1	2
YZ-HM1727-Pi-L	X001CDPKJ1	B06WGVW1TW	Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink L	3	1	1	1
YZ-HM1727-Pi-XL	X001CDPKIR	B06WRXM3GY	Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink XL	5	0	2	3
YZ-HM1727-Pi-S	X001CDN20Z	B06VYFC3HZ	Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink S	5	0	0	5
YZ-HM2508-R0-M	X001GU23SB	B071KKDKCC	Summer Bay Women's Halter Swimsuit One Piece Swimwear Sexy Summer Swimsuit	1	1	0	0
YZ-HMVS-W0-S	X001D1PFJ7	B06WPBGWT1	Summer Bay Women Backless Two Piece Letter VS Printed Bikini Padded Swimwear Set	2	0	0	2
YZ-SUBL03-B0-XL	X001T37WDL	B07DNZRXKL	One Piece Mesh Swimsuit Classic Strappy V Neck Monokini Swimwear	2	1	0	1
YZ-SUBL03-K0-M	X001T37WDB	B07DNXW5SB	One Piece Mesh Swimsuit Classic Strappy V Neck Monokini Swimwear	7	1	0	6
YZ-SUBL03-K0-S	X001T37QD7	B07DNWTWYZ	One Piece Mesh Swimsuit Classic Strappy V Neck Monokini Swimwear	1	0	1	0
YZ-SUZQ388-W0-XL	X001S6K7MR	B07D32N4L4	Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Vintage Swimwear White	2	1	1	0
YZ-SUZQ388-K0-L	X001QIBP37	B07CCMGJKF	Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Mesh Vintage Swimwear Black	1	0	0	1
YZ-SUZQ388-K0-M	X001QGSM5D	B07BPWRCZZ	Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Mesh Vintage Swimwear Black	5	3	1	1
YZ-SUZQ388-K0-S	X001QGSM53	B07C97VM95	Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Mesh Vintage Swimwear Black	1	0	0	1
YZ-ZQ1521KF5XL	X00160QMIN	B01I2I95SO	Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit XL	1	0	1	0
YZ-ZQ1521GW5XL	X001AVQ2GF	B01GJPBG4I	Summer Mae Women's One Piece Bathing Suit Tankini Swimdress Cover up Swimsuit 5XL	1	0	0	1
YZ-ZQ16598R0L	X0016AJVM7	B01IMZ2QGK	Summer Mae Women's American Open-BackRed White Blue Patriotic Tankini M	3	0	0	3
YZ-ZQFT1816-Y0-L	X001HZ2J2F	B073XH8KDN	Summer Mae Women's Yellow/Orange Lace Mesh Swimwear Two Piece Halter Tankini Top & Bottom	1	0	0	1
YZ-ZQFT1816-Y0-XL	X001HYKX79	B073XJK24D	Summer Mae Women's Yellow/Orange Lace Mesh Swimwear Two Piece Halter Tankini Top & Bottom	1	0	0	1
