"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B06VVT45TS","B07DNXW5SB","One Piece Mesh Swimsuit Classic Strappy V Neck Monokini Swimwear","56","1.13%","77","1.29%","100%","16","28.57%","US$319.84","16"
"B077RWG5LY","B06W5JMC3G","Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink M","86","1.74%","108","1.81%","100%","13","15.12%","US$246.87","13"
"B07BPX61PN","B07BPWRCZZ","Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Mesh Vintage Swimwear Black","72","1.46%","108","1.81%","99%","14","19.44%","US$181.86","13"
"B077RWG5LY","B06WRXM3GY","Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink XL","57","1.15%","72","1.21%","100%","12","21.05%","US$227.88","12"
"B07BPX61PN","B07D35DJ26","Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Vintage Swimwear White","58","1.18%","89","1.49%","100%","12","20.69%","US$155.88","12"
"B077RWG5LY","B06WGVW1TW","Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink L","74","1.50%","91","1.53%","100%","8","10.81%","US$151.92","8"
"B07BPX61PN","B07BPW5ZSV","Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Mesh Vintage Swimwear Black","69","1.40%","90","1.51%","100%","8","11.59%","US$103.92","8"
"B077RWG5LY","B06VYFC3HZ","Women One Piece Swimsuit Deep V-Neck Pattern Swimwear Cross-Back High Cut Monokini Bathing Suits Pink S","53","1.07%","64","1.07%","100%","7","13.21%","US$132.93","7"
"B07BPX61PN","B07BPSHDV6","Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Mesh Vintage Swimwear Black","82","1.66%","104","1.74%","88%","7","8.54%","US$90.93","7"
"B07BPX61PN","B07CCMGJKF","Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Mesh Vintage Swimwear Black","83","1.68%","111","1.86%","100%","7","8.43%","US$90.93","7"
"B07BPX61PN","B07D32N4L4","Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Vintage Swimwear White","161","3.26%","194","3.25%","100%","6","3.73%","US$77.94","6"
"B07BPX61PN","B07D33PXF9","Women One Piece High Cut Deep V-Neck Halter Swimsuit Lace Vintage Swimwear White","44","0.89%","60","1.01%","100%","5","11.36%","US$64.95","5"
"B06VVT45TS","B07DNWTWYZ","One Piece Mesh Swimsuit Classic Strappy V Neck Monokini Swimwear","23","0.47%","28","0.47%","100%","5","21.74%","US$99.95","5"
