amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-1383968-4313842	vi737nw904	2018-07-03T07:23:33+00:00	2018-07-06T09:31:50+00:00	Shipped	Amazon	Non-Amazon			Standard	ZAIAI Women's Bra Panty Set Bras Bright Green 46	N31459YLL48	B074CXBB31	Unshipped	1															false		
S01-6275862-7831418	vi6mjDw433	2018-06-22T19:39:33+00:00	2018-06-28T12:26:56+00:00	Shipped	Amazon	Non-Amazon			Standard	Women's White Linen Pants Casual Loose Linen Cropped Wide Leg Pants(White,L)	KTKXKW0L	B073XMFYWX	Unshipped	1															false		
S01-5491105-3577014	vi6fjB2774	2018-06-15T19:37:03+00:00	2018-06-22T12:46:50+00:00	Shipped	Amazon	Non-Amazon			Standard	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Pink,L)	JBL-QFFMR5L	B073F29B28	Unshipped	1															false		
114-1067961-4856257	114-1067961-4856257	2018-07-08T17:27:37+00:00	2018-07-09T06:40:23+00:00	Shipped	Amazon	Amazon.com			SecondDay	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Rose Red,XL)	JBL-QFFMMHXL	B073F2M56J	Shipped	1	USD	20.9								SPARTA	TN	38583-5561	US		false		
113-9690513-5909018	113-9690513-5909018	2018-07-08T12:14:28+00:00	2018-07-08T12:14:33+00:00	Pending	Amazon	Amazon.com			SecondDay	ZAIAI Nursing Bras For Women Sports Bra Red 36	N2716YR036	B074QGLLQN	Unshipped	1	USD	9.99								Edmond	OK	73034	US		false		
111-8487795-2292223	111-8487795-2292223	2018-07-08T12:14:06+00:00	2018-07-08T12:18:16+00:00	Pending	Amazon	Amazon.com			Standard	ZAIAI Women's Comfort Revolution Shaping Wire-Free Bra with Smart Sizes Purple Melange L	NY-XUHM331-B0-L	B07BKS4NK1	Unshipped	1	USD	9.99								SPRINGFIELD	MA	01108-1777	US		false		
112-8660904-0470638	112-8660904-0470638	2018-07-08T03:32:58+00:00	2018-07-09T09:47:51+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Sports Bras For Women Plus Size Rose Red 36	N2716YMH36	B074QFDH8R	Shipped	1	USD	5.41								PITTSBURGH	PA	15201-2727	US		false		
111-3450648-8027430	111-3450648-8027430	2018-07-07T23:58:28+00:00	2018-07-09T00:04:11+00:00	Shipped	Amazon	Amazon.com			Standard	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9								LOS ALTOS	CA	94024-6838	US		false		
114-2242652-2358628	114-2242652-2358628	2018-07-07T21:07:10+00:00	2018-07-07T21:09:13+00:00	Cancelled	Amazon	Amazon.com			Expedited	ZAIAI Nursing Bras For Women Sports Bra Red 36	N2716YR036	B074QGLLQN	Cancelled	0										San Diego	CA	92126-6211	US		false		
114-7388001-0533830	114-7388001-0533830	2018-07-07T13:22:26+00:00	2018-07-08T19:50:45+00:00	Shipped	Amazon	Amazon.com			SecondDay	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Rose Red,L)	JBL-QFFMMHL	B073F2HG9P	Shipped	1	USD	20.9								HUDSON	OH	44236-3018	US		false		
112-0477995-7804266	112-0477995-7804266	2018-07-07T12:48:06+00:00	2018-07-08T02:28:08+00:00	Shipped	Amazon	Amazon.com			SecondDay	Women's Pushup Bra Panty Set Orange 44	N31459YJS46	B074CXNWMZ	Shipped	1	USD	13.9								flower mound	TX	75028	US		false		
113-0519004-3397835	113-0519004-3397835	2018-07-07T12:10:50+00:00	2018-07-08T03:26:48+00:00	Shipped	Amazon	Amazon.com			SecondDay	MOCOTONO Women's Plus Size Elastic Waist Wide Leg Linen Cropped Pants Red Medium	KTKXKR0	B071NP2X5N	Shipped	1	USD	22.9								OMAHA	NE	68164-3461	US		false		
