snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	N888YK038	X001IJTEGJ	B074FRC3TW	ZAIAI Women's Perfectly Fit Lightly Lined Memory Touch T-Shirt Bra Black 38	New	1	0	0	1	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	12.9	12.9	12.9	0.0	Advertise listing	1	12.9	0	0	0.0	0.0	0.158866	Apparel
2018-08-24	N87318KW0M	X001IJQ4BR	B074FSV4LS	ZAIAI Women Sexy Cotton Thongs Intimates Briefs Tangas Ladies Panties(6 Pack) White M	New	1	0	0	0	0	0	1	USD	0	0.0	1	0.5	0	0	0	0	Low conversion	4.99	4.99	4.99	0.0	Create Sale	0	3.99	63	0	5.339051	0.0	0.039396	Apparel
2018-08-24	N9383YXGH48	X001IBK7P9	B074CX4VVP	ZAIAI Women's Laced & Lace Trimmed Bras Watermelon Red 48	New	2	0	0	0	0	0	2	USD	0	0.0	2	1.0	0	0	0	0	Low conversion	13.9	13.9	13.9	0.0	Update inventory settings for:	2	13.9	0	0	0.0	0.0	1.16E-4	Apparel
2018-08-24	N2716YYGL36	X001JBF0O1	B074QDSYXY	Zaiai Womens Yoga Strappy Sports Bra Green 36	New	13	0	0	10	2	0	1	USD	2	0.81	1	0.81	0	4	8	11		35.9	8.53	8.53	0.0	Create Sale	0	6.82	126	0	166.909125	0.38596491228070173	1.524692	Apparel
2018-08-24	NY-XUHM333-HS-M	X001PMBHWN	B07B3V3BV5	ZAIAI Women's Comfort Revolution Shaping Wire-Free Bra Pack of 3 White/Rose/Purple Melange M	New	18	0	0	18	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	15.99	15.99	15.99	0.0	Advertise listing	13	15.16	35	0	170.585344	0.0	0.001044	Apparel
2018-08-24	XTHQXSC	X001K9U2J5	B074NNZXDV	Zaiai Qeauty Adhesive Bra,Push up Drawstring Strapless Bra with Qualities for Sexy Backless Dress Apricot2 C Cup	New	24	0	24	0	0	0	0	USD	0	0.0	0	0.0	0	0	1	1	Low traffic	32.99	32.99	32.99	0.0	Advertise listing	0	19.35	364	0	335.282686	0.032	1.437984	Apparel
2018-08-24	NK-XUHM001-K0-M	X001O5ZFHT	B078WQY3NM	Zaiai Boyshort Panties Women Sexy Lace Fun Underwear Briefs Ladies Knickers Womens Triangle Thong Black M	New	13	0	13	0	0	0	0	USD	0	0.0	0	0.0	0	1	1	2	Low traffic	6.99	6.99	6.99	0.0	Advertise listing	1	6.99	0	0	0.0	0.043010752688172046	2.317926	Apparel
2018-08-24	XYBXBAF008W0XL	X001JA591B	B0722LHQ3T	HuXang Cloth Shirt Ladies Winosaur Funny Wine Lover Shirt (White,XL)	New	2	0	0	0	1	1	0	USD	2	0.99	0	0.0	1	1	1	1	Low traffic	8.0	8.0	8.0	0.0	Update inventory settings for:	2	8.0	0	0	0.0	0.36363636363636365	0.286046	Apparel
2018-08-24	NY-XUHM005-GA-M	X001QDXAHV	B07BKTCPPS	Zaiai Women's Lace Bralette Wireless Band Lace Bra Dark Green M	New	9	0	0	9	0	0	0	USD	0	0.0	0	0.0	0	2	3	4	Low conversion	15.99	15.99	15.99	0.0	Create Sale	0	10.29	98	0	64.145095	0.35555555555555557	0.367218	Apparel
2018-08-24	NY-B15021-K0-M	X001NYRMO5	B078NNWT42	Zaiai Women Super Soft Lace Bra Top Seamless Bralette Cup Wireless Bra Black M	New	9	0	0	1	8	0	0	USD	8	0.19	0	0.0	0	1	1	2		30.9	15.99	15.99	0.0	Create Sale	0	15.16	182	0	90.649917	0.20512820512820512	0.062703	Apparel
