Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
DD-BNY-W0	X001V4A7HB	B074FPYB9N	Zaiai Women's Florence Halter Dress with Garter and Stockings White	New	10.00	No		Yes	0	0	0	0	32	0.05	32	0	0
DD-HNY-K0	X001V4AH8Z	B074FP8NZF	Zaiai Women Sexy Lingerie for Women for Sex, Lace Bodysuit Mesh Babydoll Halter Chemise Strapped Outfits Black1	New	10.00	No		Yes	0	0	0	0	4	0.08	4	0	0
DDBNYW0	X001IJSTY7	B074FPYB9N	Zaiai Women's Florence Halter Dress with Garter and Stockings White	New	95.70	No		Yes	2	2	0	0	2	0.05	0	0	0
DDHNYK0	X001IJSJ3X	B074FP8NZF	Zaiai Women Sexy Lingerie for Women for Sex, Lace Bodysuit Mesh Babydoll Halter Chemise Strapped Outfits Black1	New	104.70	No		Yes	2	2	0	0	2	0.08	0	0	0
GJHNYK0	X001IJSPZF	B074FQSTJL	Zaiai Women Sexy Lace Dress G-String Lingerie Sheer Babydoll Sleepwear Nightdress Robe Black2	New	92.70	No		Yes	30	30	0	0	30	0.05	0	0	0
HLYHMYSG	X001MNOG87	B0761NFQMT	ZAIAI Women's Anorak Parka Coat Silver Gray	New	35.00	No		Yes	45	45	0	0	45	0	0	0	0
JBL-QFFMMHL	X001KB9FIH	B073F2HG9P	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Rose Red,L)	New	10.00	No		Yes	1	1	0	0	1	0.15	0	0	0
JBL-QFFMMHM	X001KBA58V	B073F2WTJX	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Rose Red,M)	New	10.00	No		Yes	3	3	0	0	3	0.15	0	0	0
JBL-QFFMMHS	X001KB85Y7	B073F35WHV	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Rose Red,S)	New	10.00	No		Yes	1	1	0	0	1	0.15	0	0	0
JBL-QFFMMHXL	X001KB9HDP	B073F2M56J	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Rose Red,XL)	New	61.90	No		Yes	0	0	0	0	0	0.15	0	0	0
JBL-QFFMR5L	X001KB8619	B073F29B28	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Pink,L)	New	10.00	No		Yes	0	0	0	0	0	0.13	0	0	0
JBL-QFFMR5M	X001KB9KPP	B073F2QMQK	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Pink,M)	New	10.00	No		Yes	2	2	0	0	2	0.12	0	0	0
JBL-QFFMR5S	X001KBA595	B073F1L1DN	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Pink,S)	New	10.00	No		Yes	5	5	0	0	5	0.14	0	0	0
JBL-QFFMR5XL	X001KB83ET	B073F1HX4C	HuXang Cloth Womens Fold Over Waist Solid Ruffled Flare Palazzo Pants Capris(Pink,XL)	New	10.00	No		Yes	2	2	0	0	2	0.13	0	0	0
