snapshot-date	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal	sell-through	cubic-feet	storage-type
2018-08-24	DO-YULQ192-G0-22	X001UO5NDZ	B07G41G2GB	Realistic Reborn Baby Doll Girl Toddler Real Life Lovely Silicone Vinyl Green Outfit 24 inches	New	3	0	3	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	256.0	108.99	108.99	0.0	Lower price	3	108.99	0	0	0.0	0.0	3.0396149999999995	Oversize
2018-08-24	DO-YULQ121-PI-22	X001RH0IXF	B07CM347WF	22 inches Real Looking Reborn Baby Dolls Girl Realistic Toddler Silicone Vinyl Pink European Retro Nightdress	New	6	0	6	0	0	0	0	USD	0	0.0	0	0.0	0	3	4	6	Low traffic	156.0	89.99	89.99	0.0	Create Sale	1	71.73	105	0	70.436865	1.0909090909090908	0.75	Standard
2018-08-24	YF-YULQ602-PI-20	X001P30S4Z	B079P55XYW	Reborn Baby Doll Outfits Boy Accessories for 20"- 22" Pink Outfit	New	4	0	4	0	0	0	0	USD	0	0.0	0	0.0	0	5	20	27		49.9	21.99	21.99	0.0	Update inventory settings for:	4	21.99	0	0	0.0	5.684210526315789	0.173612	Standard
2018-08-24	DO-YULQ073-LGR-22	X001Q1D1M7	B0792VRZ89	Yesteria Reborn Baby Dolls Boy Look Real Silicone Grey Outfit 22 Inches	New	4	0	4	0	0	0	0	USD	0	0.0	0	0.0	0	3	9	11	Low conversion	175.0	89.99	89.99	0.0	Update inventory settings for:	4	89.99	0	0	0.0	2.0	2.557872	Standard
2018-08-24	DO-YULQ004-B7-11	X001QXUCB3	B078Y5BTZC	Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Light Blue Outfit Small 10 inches	New	64	0	62	2	0	0	0	USD	0	0.0	0	0.0	0	2	5	7	Low traffic	125.0	32.99	32.99	19.4	Lower price	64	32.99	0	0	0.0	0.24489795918367346	8.912064	Standard
2018-08-24	DO-YULQ638-PI-20	X001OZK76N	B07929YDZM	Yesteria Full Silicone Body Reborn Baby Dolls Girl Look Real Pink Knitted Outfit 18 inches	New	32	0	32	0	0	0	0	USD	0	0.0	0	0.0	0	5	9	15	Low conversion	99.6	99.6	99.6	0.0	Update inventory settings for:	32	99.6	0	0	0.0	0.7142857142857143	8.434336	Standard
2018-08-24	DO-YULQ708-W0-24	X001SACFF5	B07D4DC72D	24 inches Reborn Baby Doll Silicone Vinyl Realistic Toddler Panda Coat Black Pants with Shoes	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	0	6	12	13	Low traffic	178.0	108.99	108.99	0.0	Lower price	0	0.0	0	0	0.0	4.0	3.99409	Oversize
2018-08-24	DO-YULQ604-PI-22	X001PQ4HKN	B078XB1WC9	Silicone Reborn Baby Dolls Girl Look Real Eye Closed Pink Outfit 22 inches	New	21	0	1	20	0	0	0	USD	0	0.0	0	0.0	0	0	5	6	Low traffic	256.0	89.99	89.99	0.0	Create Sale	1	78.88	273	0	1790.037235	0.2553191489361702	7.476945	Standard
2018-08-24	DO-YULQ165-B7-16	X001QBINPH	B07BLVB7FH	Soft Silicone Reborn Baby Dolls Boy Look Real Light Blue Outfit 16 inches	New	3	0	3	0	0	0	0	USD	0	0.0	0	0.0	0	1	2	2	Low traffic	178.0	79.99	79.99	0.0	Lower price	3	79.99	0	0	0.0	0.5454545454545455	0.130209	Standard
2018-08-24	DO-YULQ638-LGR-20	X001PSQOZR	B07B7G22RT	Yesteria Full Silicone Body Reborn Baby Dolls Boy Look Real Light Blue Outfit 18 inches	New	39	0	30	9	0	0	0	USD	0	0.0	0	0.0	0	2	4	6	Low conversion	99.6	99.6	99.6	0.0	Create Sale	30	91.84	105	0	7.865437	0.2222222222222222	18.593172	Standard
2018-08-24	DO-YULQ006-PI-11	X001R6S0A9	B078XZR24D	African American Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Pink Outfit Small 10 inches	New	10	0	0	10	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	32.99	32.99	23.99	0.0	Create Sale	0	23.99	63	0	90.707908	0.08	0.54167	Standard
2018-08-24	DO-YULQ200-W0-10	X001PVQ96D	B07B94LQJR	Cheap Silicone Reborn Baby Dolls Look Real Boy White Outfit with Bee 10 Inches	New	10	0	10	0	0	0	0	USD	0	0.0	0	0.0	0	1	3	4	Low traffic	125.0	32.99	32.99	0.0	Create Sale	0	15.21	70	0	218.360573	0.5714285714285714	1.9925799999999998	Standard
2018-08-24	DO-YULQ507-PI-24	X001TYQ88P	B07FD9B9Q1	Full Silicone Body Realistic Reborn Baby Doll Girl Pink Outfit with Toy Rabbit 24 Inches	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	1	1	1	1	Low traffic	178.0	99.9	99.9	0.0	Lower price	3	99.9	0	0	0.0	1.0	1.958056	Oversize
2018-08-24	DO-YULQ504-PI-22	X001TRO4L5	B07F71667Y	Yesteria Realistic Reborn Baby Doll Girl Newborn Toddler Pink Princess Dress 24 inches	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	1	1	1	1	Low traffic	256.0	118.99	118.99	0.0	Lower price	2	118.99	0	0	0.0	0.4	2.02904	Oversize
2018-08-24	DO-YULQ639-R2-22	X001Q1UGOD	B07BFVXKTL	Full Silicone Reborn Baby Dolls Twins Girl Realistic Toddler Pink Outfit 20 inches	New	5	0	5	0	0	0	0	USD	0	0.0	0	0.0	0	1	3	4	Low traffic	199.0	99.99	99.99	0.0	Lower price	5	99.99	0	0	0.0	0.9411764705882353	2.16927	Standard
2018-08-24	DO-YULQ058-BR-10	X001OZK81H	B0793PS7QX	African American Reborn Baby Doll Boy Look Real Full Silicone Body Romper Vintage Style 10 Inches	New	16	0	11	5	0	0	0	USD	3	1.29	0	0.0	0	3	7	13	Low traffic	106.0	32.99	32.99	0.0	Create Sale	2	26.39	126	0	204.123503	0.9629629629629629	2.0	Standard
2018-08-24	DO-YULQ105-R2-22	X001PORZDV	B0794Z23LW	Reborn Baby Dolls Girl Lifelike Toddler Silicone Vinyl Pink Outfit 22 Inches	New	2	0	0	2	0	0	0	USD	0	0.0	0	0.0	1	3	5	6	Low traffic	69.99	69.99	69.99	0.0	Advertise listing	3	69.99	0	0	0.0	1.0909090909090908	1.2525	Standard
2018-08-24	DO-YULQ706-R0-24	X001SACEQZ	B07D4D6Q9C	Yesteria 24 inches Realistic Reborn Baby Doll Silicone Monkey Coat Blue Pants White Shoes	New	7	0	7	0	0	0	0	USD	0	0.0	0	0.0	0	2	2	2	Low traffic	178.0	108.99	108.99	0.0	Lower price	1	108.99	0	0	0.0	0.6666666666666666	11.15625	Oversize
2018-08-24	DO-YULQ158-W0-22	X001PR0M47	B0795M2NML	Full Silicone Body Realistic Reborn Baby Dolls African Amrican Toddler with Curly Hair White Outfit 22 Inches	New	2	0	0	2	0	0	0	USD	0	0.0	0	0.0	0	1	3	4	Low traffic	89.6	89.6	89.6	0.0	Advertise listing	2	89.6	0	0	0.0	1.1111111111111112	0.916666	Standard
2018-08-24	DO-YULQ332-LGR-20	X001PZYR5T	B0792VHP6W	Sleeping Reborn Baby Dolls Boy Look Real Stripe Outfit with Panda Pattern 20 inches	New	9	0	9	0	0	0	0	USD	0	0.0	0	0.0	1	4	9	10	Low traffic	175.0	89.99	89.99	0.0	Lower price	9	89.99	0	0	0.0	1.3793103448275863	6.000003	Standard
