Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
DO-YCLQ001-PI-22	X001V9436H	B06XPJWWR4		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ005-PI-22	X001V96FGX	B079JQDDN7		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ007-R0-24	X001V984JT	B07D4D4876		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ008-PI-24	X001V984JJ	B07D4DRFYN		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ009-W0-24	X001V978BT	B07D4DC72D		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ010-W0-24	X001V97VIJ	B07D4D6Q9C		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ011-B0-24	X001V8VZ3R	B07D4DDT41		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ012-PI-16	X001VE08LL	B07DDB7VBP		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ013-W0-16	X001VDZXBH	B079NYR8GC		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ014-PI-22	X001VD05NN	B07CM9N213		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ015-W0-22	X001VDYOEJ	B0792VKCCR		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ016-NZ-22	X001VKDBZP	B079JXQJSM		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ017-PI-22	X001VKO1M7	B076J6949M		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ018-PI-22	X001VK7KJX	B076J2TBNG		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ019-R0-22	X001VK71SD	B07CN76YH9		Unknown					0	0	0	0	0		0	0	0
DO-YCLQ020-B7-22	X001VKO1MH	B07BFVYCH2		Unknown					0	0	0	0	0		0	0	0
DO-YULQ001-PI-22	X001OX6MZZ	B079JQCWQ6	Yesteria Real Looking Reborn Baby Dolls Girl Silicone Pink Outfit 22 Inches	New	159.99	No		Yes	91	78	7	6	91	0.6	0	0	0
DO-YULQ004-B7-11	X001QXUCB3	B078Y5BTZC	Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Light Blue Outfit Small 10 inches	New	125.00	No		Yes	64	64	0	0	64	0.14	0	0	0
DO-YULQ004-PI-11	X001QHK79L	B078Y2G7XW	Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Pink Outfit Small 10 inches	New	125.00	No		Yes	55	53	0	2	55	0.14	0	0	0
DO-YULQ005-W0-11	X001OXJIAL	B079JQGCBR	Black Full Body Silicone Reborn Baby Dolls Boy Cheap White Outfit 10 inches	New	179.00	No		Yes	12	12	0	0	12	0.11	0	0	0
