"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B079JQCWQ6","B079JQCWQ6","Real Looking Reborn Baby Dolls Girl Silicone Pink Outfit 22 Inches","551","5.21%","732","5.34%","100%","23","4.17%","US$2,115.77","23"
"B06XPJWWR4","B06XPJWWR4","Reborn Baby Doll Girl Look Real Silicone Pink Outfit 22 Inches","976","9.22%","1,288","9.39%","100%","21","2.15%","US$2,078.79","20"
"B07BFVYCH2","B07BFVYCH2","Silicone Reborn Baby Dolls Girl Look Real Lifelike Toddler Light Blue Rose Red Outfit with Toy Penguin 22 inches","519","4.90%","678","4.94%","99%","17","3.28%","US$1,529.83","17"
"B07CGCYBJK","B06XPKHVHC","Realistic Real Life Reborn Baby Dolls Girl Silicone Pink Outfit 22 inches","507","4.79%","671","4.89%","100%","10","1.97%","US$899.90","10"
"B079JRPXZ8","B079JRPXZ8","Real Life Silicone Reborn Baby Dolls Boy Look Real White Light Blue Outfit 22 Inches","713","6.74%","910","6.64%","100%","10","1.40%","US$899.90","10"
"B076J6949M","B076J6949M","Realistic Sleeping Reborn Baby Doll Girl Lifelike Silicone Pink 22 Inches","378","3.57%","476","3.47%","100%","9","2.38%","US$809.91","9"
"B076K5GD3V","B076KQB6X1","Reborn Baby Doll Outfits Girl Accessories for 20""- 22"" Rose Red and Cow Pattern","51","0.48%","73","0.53%","100%","9","17.65%","US$197.91","9"
"B0795M8J8G","B0795M8J8G","Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Dress 16 Inches","155","1.46%","221","1.61%","98%","8","5.16%","US$639.92","8"
"B076J2TBNG","B076J2TBNG","Real Looking Sleeping Reborn Baby Doll Girl Silicone Pink 22 Inches","298","2.82%","395","2.88%","100%","7","2.35%","US$629.93","7"
"B0792VZN9S","B0792VZN9S","Real Life Reborn Baby Dolls Boy Baseball Sport Style White and Blue Outfit 22 inches","452","4.27%","580","4.23%","100%","6","1.33%","US$539.94","6"
"B076Q7SNQ9","B076Q8RG21","Sleeping Reborn Baby Doll Look Real Full Silicone Body Pink Outfit 10 Inches","100","0.94%","126","0.92%","100%","5","5.00%","US$164.95","5"
"B07CGBF9HZ","B078XBDF6J","Real Looking Reborn Baby Dolls Twins Boy Silicone Light Blue 22 inches","105","0.99%","138","1.01%","100%","5","4.76%","US$449.95","5"
"B07CGCYBJK","B0794ZPQ8B","Real Life Reborn Baby Doll Girl Silicone Pink Outfit 15 inches","40","0.38%","48","0.35%","100%","5","12.50%","US$399.95","5"
"B07CM9N213","B07CM9N213","22 inches Silicone Reborn Baby Dolls Girl Look Real Rose Red Tutu Skirt with Striped Pants","124","1.17%","163","1.19%","99%","5","4.03%","US$464.95","5"
"B07D4DRFYN","B07D4DRFYN","24 inches Realistic Reborn Baby Doll Girl Silicone Pink Outfit White Shoes with Toy Giraffe","95","0.90%","120","0.88%","99%","5","5.26%","US$544.95","5"
"B079NYR8GC","B079NYR8GC","Silicone Reborn Baby Dolls Girl Look Real Lifelike Toddler White Outfit with Lovely Patterns 16 inches","81","0.77%","98","0.71%","99%","4","4.94%","US$319.96","4"
"B076K5GD3V","B074P4D14G","Reborn Baby Doll Outfits Girl Accessories for 20""- 22"" Pink","64","0.60%","96","0.70%","100%","3","4.69%","US$65.97","3"
"B076Q5PFD1","B076Q7DCP1","African American Sleeping Reborn Baby Doll Look Real Full Body Silicone Pink Outfit 10 Inches","124","1.17%","157","1.14%","100%","3","2.42%","US$80.97","3"
"B079JRDT89","B079JRDT89","Silicone Reborn Baby Dolls Girl Look Real Eye Closed Pink Outfit 22 inches","120","1.13%","178","1.30%","99%","3","2.50%","US$267.97","3"
"B079JXQJSM","B079JXQJSM","Silicone Reborn Baby Dolls Girl Look Real Denim Dress 22 Inches","312","2.95%","400","2.92%","100%","3","0.96%","US$251.97","3"
"B07BDDC5WH","B07BDDC5WH","Full Silicone Body Reborn Baby Doll Boy Light Blue Outfit with Hippo Pattern 22 inches","80","0.76%","117","0.85%","100%","3","3.75%","US$299.97","3"
"B07BSHY6ZL","B07BSHY6ZL","Full Silicone Body Reborn Baby Dolls Girl Eye Closed Lifelike Toddler Rose Red Outfit 22 inches","93","0.88%","125","0.91%","100%","3","3.23%","US$299.97","3"
"B07CM664M7","B07CM664M7","20 inches Real Looking Reborn Baby Dolls Girl Silicone Vinyl Eye Closed Pink Pajama","153","1.45%","219","1.60%","100%","3","1.96%","US$257.97","3"
"B07CM6R65H","B07CM6R65H","22 inches Full Silicone Body Reborn Baby Dolls Boy Hnadmade Toddler Eye Closed Red Outfit","351","3.32%","467","3.41%","98%","4","1.14%","US$399.96","3"
"B07DL5ZGP8","B07DL5ZGP8","10 inches Full Silicone Mini Palm Reborn Baby Doll Look Real Girl Toddler Eye Closed White Dress Flower Hair Band","41","0.39%","46","0.34%","98%","3","7.32%","US$98.97","3"
"B076J2H7FC","B076J2H7FC","Reborn Baby Doll Wig Baby Girl Look Real Silicone Pink 22 Inches","39","0.37%","44","0.32%","100%","2","5.13%","US$179.98","2"
"B07D7V6HXN","B076J4L24W","Sleeping Reborn Baby Doll Girl Look Real Silicone Pink with Cow Pattern 22 Inches","105","0.99%","131","0.96%","100%","2","1.90%","US$179.98","2"
"B076Q5PFD1","B076PDDZW9","African American Reborn Baby Doll Boy Look Real Full Body Silicone White Outfit 10 Inches","81","0.77%","100","0.73%","99%","2","2.47%","US$53.98","2"
"B077SGXYL6","B077SGXYL6","Reborn Baby Doll Girl Look Real Silicone Pink Tutu Skirt 22 Inches","136","1.28%","177","1.29%","92%","2","1.47%","US$199.20","2"
"B07CGBF9HZ","B078XBY1MZ","Real Looking Sleeping Reborn Baby Dolls Twins Girl Silicone Pink 22 inches","157","1.48%","214","1.56%","100%","2","1.27%","US$179.98","2"
"B0792VRZ89","B0792VRZ89","Reborn Baby Dolls Boy Look Real Silicone Grey Outfit 22 inches","34","0.32%","41","0.30%","100%","2","5.88%","US$179.98","2"
"B0795117ZD","B0795117ZD","Full Silicone Body Real Life Reborn Baby Dolls Boy Light Gray Outfit 22 Inches","88","0.83%","117","0.85%","93%","2","2.27%","US$179.20","2"
"B079NW9791","B079NW9791","Realistic Reborn Baby Dolls Boy Toddler with Toy Bear Blue Outfit 22 inches","46","0.43%","50","0.36%","100%","2","4.35%","US$191.98","2"
"B076K5GD3V","B079NXJZ52","Reborn Baby Doll Outfits Boy Accessories for 20""- 22"" White and Light Blue Pants","31","0.29%","40","0.29%","100%","2","6.45%","US$43.98","2"
"B07BFVWTFR","B07BFVXKTL","Full Silicone Reborn Baby Dolls Twins Girl Realistic Toddler Pink Outfit 22 inches","11","0.10%","14","0.10%","86%","2","18.18%","US$199.98","2"
"B076K5GD3V","B076K8YDNV","Reborn Baby Doll Outfits Girl Accessories for 20""- 22"" Pink and Cow Pattern","21","0.20%","23","0.17%","100%","1","4.76%","US$21.99","1"
"B076Q7SNQ9","B076Q71HXL","Sleeping Reborn Baby Doll Look Real Full Silicone Body Light Blue Outfit 10 Inches","24","0.23%","29","0.21%","100%","1","4.17%","US$32.99","1"
"B076Q5PFD1","B076Q79H79","African American Sleeping Reborn Baby Dolls Look Real Full Body Silicone Light Blue Outfit 10 Inches","44","0.42%","50","0.36%","98%","1","2.27%","US$29.99","1"
"B078RKMTYD","B077HNP6TL","Yesteria Full Silicone Body Reborn Baby Doll Elephant Outfit Look Real Gray 10 Inches","148","1.40%","170","1.24%","100%","1","0.68%","US$34.99","1"
"B078RKMTYD","B077HQRC9P","Reborn Baby Doll Girl Panda Outfit Look Real Black and White 17 Inches","31","0.29%","37","0.27%","100%","1","3.23%","US$79.99","1"
"B076K5GD3V","B077T29TYP","Reborn Baby Doll Outfits Girl Accessories for 20""- 22"" White and Cow Pattern","7","0.07%","7","0.05%","100%","1","14.29%","US$21.99","1"
"B077T29TYP","B077T29TYP","Reborn Baby Doll Outfits Girl Accessories for 20""- 22"" White and Cow Pattern","3","0.03%","4","0.03%","100%","1","33.33%","US$21.99","1"
"B077VNWLJW","B077VNWLJW","4 Pcs Reborn Baby Doll Supplies Accessories Magnet Dummy Pacifier Transparent Blue Green Pink","12","0.11%","22","0.16%","100%","1","8.33%","US$16.99","1"
"B077YXYVGX","B077Z6B9TS","4 Pcs Newborn Baby Outfits Set for Girl White with Cow Pattern M(6-12 Months)","2","0.02%","2","0.01%","50%","1","50.00%","US$19.99","1"
"B0784T23ZQ","B0784T23ZQ","Realistic Reborn Baby Doll Boy Full Silicone Body Light Blue Outfit with Hippo Pattern 22 Inches","33","0.31%","46","0.34%","87%","1","3.03%","US$79.99","1"
"B077YXYVGX","B0785S857P","Yesteria 4 Pcs Newborn Baby Outfits Set for Girl Pink with Cow Pattern M(6-12 Months)","10","0.09%","10","0.07%","100%","1","10.00%","US$19.99","1"
"B07CJHY4JT","B0788NF4TB","African American Reborn Baby Doll Boy Look Real Full Silicone Body Bohemia Style Orange Outfit 10 Inches","51","0.48%","71","0.52%","100%","1","1.96%","US$32.99","1"
"B07CJHY4JT","B0788P8DCG","African American Reborn Baby Doll Girl Look Real Full Silicone Body Bohemia Style Dress 10 Inches","52","0.49%","71","0.52%","100%","1","1.92%","US$32.99","1"
"B078X59HSZ","B078X59HSZ","African American Reborn Baby Dolls Girl Look Real Light Purple Outfit 22 Inches","43","0.41%","53","0.39%","100%","1","2.33%","US$89.99","1"
"B078X5DZRT","B078X5DZRT","Sleeping Silicone Reborn Baby Dolls Boy Look Real Light Gray Outfit 22 inches","63","0.60%","75","0.55%","100%","1","1.59%","US$94.60","1"
"B078XB1WC9","B078XB1WC9","Silicone Reborn Baby Dolls Girl Look Real Eye Closed Pink Outfit 22 inches","23","0.22%","28","0.20%","100%","1","4.35%","US$89.99","1"
"B07B8ZP35L","B078Y5BTZC","Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Light Blue Outfit Small 10 inches","17","0.16%","20","0.15%","100%","1","5.88%","US$32.99","1"
"B0792VG6VZ","B0792VG6VZ","Reborn Baby Dolls Boy Lifelike Toddler Silicone Vinyl Blue Baby Jumpsuit 18 inches","20","0.19%","25","0.18%","100%","1","5.00%","US$89.99","1"
"B0792VHP6W","B0792VHP6W","Sleeping Reborn Baby Dolls Boy Look Real Stripe Outfit with Panda Pattern 20 inches","8","0.08%","10","0.07%","100%","1","12.50%","US$89.99","1"
"B0792VKCCR","B0792VKCCR","Sleeping Reborn Baby Dolls Boy Look Real Lifelike Toddler Silicone Vinyl Panda Outfit 18 inches","67","0.63%","81","0.59%","100%","1","1.49%","US$89.99","1"
"B0793RW7P4","B0793RW7P4","Real Looking Reborn Baby Dolls Girl Silicone Rose Red Outfit 22 Inches","64","0.60%","87","0.63%","100%","1","1.56%","US$89.99","1"
"B079513H1Q","B079513H1Q","Reborn Baby Dolls Boy Look Real Lifelike Toddler Silicone Vinyl Dots Outfit With Toy Bear 22 Inches","8","0.08%","8","0.06%","100%","1","12.50%","US$79.99","1"
"B0795M2NML","B0795M2NML","Full Silicone Body Realistic Reborn Baby Dolls African Amrican Toddler with Curly Hair White Outfit 22 Inches","197","1.86%","252","1.84%","100%","1","0.51%","US$99.60","1"
"B0795PQJS1","B0795PQJS1","Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone Vinyl Light Pink Knitted Outfit 22 Inches","50","0.47%","66","0.48%","97%","1","2.00%","US$89.99","1"
"B079JQ6R99","B079JQ6R99","","47","0.44%","66","0.48%","95%","1","2.13%","US$85.99","1"
"B079JWNR6Z","B079JWNR6Z","Cheap Reborn Baby Dolls Silicone Full Body Girl Elephant Outfit 10 Inches","68","0.64%","86","0.63%","100%","1","1.47%","US$34.99","1"
"B076K5GD3V","B079NX5R9C","Reborn Baby Doll Outfits Boy Accessories for 20""- 22"" Light Blue Outfit","17","0.16%","21","0.15%","95%","1","5.88%","US$21.99","1"
"B076K5GD3V","B079P55XYW","Reborn Baby Doll Outfits Boy Accessories for 20""- 22"" Pink Outfit","12","0.11%","15","0.11%","93%","1","8.33%","US$21.99","1"
"B07B94SWTK","B07B9SLG9M","Silicone Reborn Baby Dolls Look Real Boy Knitted Outfit Green 10 Inches","14","0.13%","17","0.12%","100%","1","7.14%","US$32.99","1"
"B07BFVWTFR","B07BFVHDDP","Full Silicone Reborn Baby Dolls Twins Boy Realistic Toddler Light Gray Outfit with Dinosaur Patterns 22 Inches","12","0.11%","17","0.12%","94%","1","8.33%","US$99.99","1"
"B07BSN65PZ","B07BSN65PZ","Reborn Baby Dolls Girl Look Real Lifelike Toddler Silicone with Toy Watermelon Red Outfit 16 inches","91","0.86%","128","0.93%","99%","1","1.10%","US$79.99","1"
"B07CLYNY71","B07CLYNY71","20 inches Realistic Sleeping Reborn Baby Dolls Boy Silicone Vinyl Black and White Striped Outfit","20","0.19%","25","0.18%","100%","1","5.00%","US$85.99","1"
"B07CM347WF","B07CM347WF","22 inches Real Looking Reborn Baby Dolls Girl Realistic Toddler Silicone Vinyl Pink European Retro Nightdress","95","0.90%","142","1.04%","99%","1","1.05%","US$89.99","1"
"B07CM58KHK","B07CM58KHK","22 inches Full Silicone Body Reborn Baby Dolls Twins Girl Handmade Toddler Eye Closed Pink Outfit","262","2.48%","333","2.43%","100%","1","0.38%","US$99.99","1"
"B07CM67KDW","B07CM67KDW","20 inches Full Silicone Vinyl Body Reborn Baby Dolls Boy Real Looking Naked Toddler with Blue Blanket","49","0.46%","55","0.40%","100%","1","2.04%","US$106.99","1"
"B07CN274MC","B07CN274MC","22 inches Full Silicone Body Reborn Baby Dolls Girl Real Looking Toddler Tutu Skirt","37","0.35%","38","0.28%","100%","1","2.70%","US$99.99","1"
"B07CN4J1B2","B07CN4J1B2","22 inches Realistic Reborn Baby Dolls Girl Silicone with Toy Cow","59","0.56%","65","0.47%","100%","1","1.69%","US$89.99","1"
"B076J5RSFF","B076J5RSFF","Reborn Baby Doll Boy Look Real Silicone Blue Outfit 22 inches","63","0.60%","75","0.55%","100%","0","0.00%","US$0.00","0"
"B07DW3PG13","B076MT3BDS","Reborn Baby Doll Boy Look Real Silicone Light Blue Outfit 22 Inches","12","0.11%","22","0.16%","100%","0","0.00%","US$0.00","0"
"B07DW3PG13","B076MVRP3M","Reborn Baby Doll Boy Look Real Full Silicone Body Light Blue Outfit 10 Inches","33","0.31%","46","0.34%","100%","0","0.00%","US$0.00","0"
"B07DW3PG13","B076MW1Y4F","Sleeping Reborn Baby Doll Girl Look Real Silicone Pink Outfit 22 Inches","14","0.13%","18","0.13%","100%","0","0.00%","US$0.00","0"
"B076P99TGC","B076P99TGC","Sleeping Reborn Baby Doll Boy Look Real Full Silicone Body Red Outfit 22 inches","85","0.80%","106","0.77%","100%","0","0.00%","US$0.00","0"
"B0778BG3D8","B0778B83P8","3 Pcs Reborn Baby Doll Outfit Knitted for 20""- 22"" Green","2","0.02%","2","0.01%","100%","0","0.00%","US$0.00","0"
"B078RKMTYD","B077HPT67J","Reborn Baby Doll Girl Monkey Outfit Look Real Brown 17 Inches","13","0.12%","15","0.11%","100%","0","0.00%","US$0.00","0"
"B077SDPC6N","B077SDPC6N","Reborn Baby Doll Girl Look Real Silicone Denim Dress 22 Inches","37","0.35%","41","0.30%","100%","0","0.00%","US$0.00","0"
"B077SHDMC8","B077SHDMC8","Reborn Baby Dolls Boy Look Real White and Light Blue Outfit Crocodile Patterns 22 Inches","3","0.03%","3","0.02%","100%","0","0.00%","US$0.00","0"
"B077SNDT1X","B077SNDT1X","Reborn Baby Doll Boy Look Real Silicone Blue Outfit with Car Pattern 22 Inches","1","0.01%","1","0.01%","100%","0","0.00%","US$0.00","0"
"B077YXYVGX","B077Z474QH","Yesteria 4 Pcs Newborn Baby Outfits Set for Girl Rose Red with Cow Pattern M(6-12 Months)","2","0.02%","2","0.01%","100%","0","0.00%","US$0.00","0"
"B0788N4FMR","B0788N4FMR","Reborn Baby Doll Girl Look Real White Outfit with Cat Pattern 22 Inches","12","0.11%","13","0.09%","100%","0","0.00%","US$0.00","0"
"B0788N9R3H","B0788N9R3H","Realistic Reborn Baby Doll Girl Silicone Vinyl Rose Red Tutu Skirt 22 Inches","15","0.14%","21","0.15%","95%","0","0.00%","US$0.00","0"
"B078X5DJLB","B078X5DJLB","Realistic Reborn Baby Dolls Girl Look Real Toddler Silicone Light Purple Outfit with Cushion 16 Inches","5","0.05%","6","0.04%","83%","0","0.00%","US$0.00","0"
"B078X5HG51","B078X5HG51","Reborn Baby Doll Girl Look Real Rose Red Tutu Skirt 22 Inches","4","0.04%","4","0.03%","100%","0","0.00%","US$0.00","0"
"B078X6K4KJ","B078X6K4KJ","Yesteria Silicone Reborn Baby Dolls Girl Lifelike Toddler Look Real Vintage Style Pink Dress 22 Inches","10","0.09%","11","0.08%","100%","0","0.00%","US$0.00","0"
"B078XC1QQQ","B078XC1QQQ","Real Life Silicone Reborn Baby Dolls Boy Look Real Light Blue Outfit 22 Inches","8","0.08%","12","0.09%","100%","0","0.00%","US$0.00","0"
"B07B91NK9X","B078XZR24D","African American Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Pink Outfit Small 10 Inches","10","0.09%","11","0.08%","100%","0","0.00%","US$0.00","0"
"B07B8YB42P","B078XZRP4X","African American Reborn Baby Dolls Full Silicone Body Bohemia Outfit Boy Black 10 Inches","7","0.07%","8","0.06%","88%","0","0.00%","US$0.00","0"
"B07B8ZP35L","B078Y2G7XW","Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Pink Outfit Small 10 inches","7","0.07%","10","0.07%","100%","0","0.00%","US$0.00","0"
"B07B91NK9X","B078Y8Y5F7","Black Reborn Baby Dolls Full Silicone Body Real Looking Eye Closed Light Blue Outfit Small 10 Inches","12","0.11%","16","0.12%","100%","0","0.00%","US$0.00","0"
"B0792BKMP5","B07929YDZM","Full Silicone Body Reborn Baby Dolls Girl Look Real Pink Knitted Outfit 22 Inches","24","0.23%","30","0.22%","100%","0","0.00%","US$0.00","0"
"B07CJ9GLPY","B0793PS7QX","African American Reborn Baby Doll Boy Look Real Full Silicone Body Romper Vintage Style 10 Inches","21","0.20%","27","0.20%","100%","0","0.00%","US$0.00","0"
"B0793QLQ3Z","B0793QLQ3Z","African American Reborn Baby Dolls Curls Girl Real Looking Toddler Denim Dress 22 Inches","146","1.38%","177","1.29%","100%","0","0.00%","US$0.00","0"
