snapshot-date	Marketplace	sku	fnsku	ASIN	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest-price-new	lowest-price-used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal
2018-08-25	amazon.de	DO-YELQ904-B7-22	X000SW4P3V	B076J5RSFF	Yesteria Realistisch Aussehende Reborn Babypuppe Junge Silikon Blau Outfit 55 cm	New	108	0	108	0	0	0	0	EUR	9	EUR 62.41	0	EUR 0.0	1	3	12	21	Low conversion	EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	93	89.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ203-P4-22	X000UVOLFR	B07DGB6SHX	Reborn Baby Doll Fille en Silicone Poupée Nouveau-née Réaliste 55 cm Endormi avec Les Yeux Fermés Petit Tutu Violet Clair	New	8	0	8	0	0	0	0	EUR	8	EUR 70.75	0	EUR 0.0	0	2	3	3		EUR 89.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	8	89.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ812-W0-18	X000UEWMI7	B0792VKCCR	45 cm Realistico Rinato Bambino Bambola Reale in Silicone Ragazzo Vestito da Panda	New	17	0	17	0	0	0	0	EUR	10	EUR 79.64	0	EUR 0.0	2	3	7	8	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	13	89.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ985-B7-20	X000UEXC8V	B07CM67KDW	Yesteria 50 cm Voller Silikon Körper Realistische Reborn Baby Doll Junge Nacktes Kleinkind mit Blauer Decke	New	19	0	19	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	5	21	24	28	Low conversion	EUR 159.99	EUR 108.99	EUR 108.99	EUR 0.0	Update inventory settings for:	16	108.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ638-PI-20	X000TT213T	B07929YDZM	Tutto il Corpo in Silicone Pieno Bambola Rinato Gemelli Rgazza Vestito a Maglia Rosa 55 cm	New	8	0	8	0	0	0	0	EUR	8	EUR 26.88	0	EUR 0.0	0	2	4	6		EUR 99.99	EUR 99.99	EUR 99.99	EUR 0.0	Update inventory settings for:	8	99.99	0	0	0.0
2018-08-25	amazon.fr	DO-YELQ602-PI-22	X000SVPRIT	B076J4L24W	Yesteria Reborn poupée Qui Semble Vivant Réaliste Doux Vinyl Siliconé Fille Touché Doux 55 cm Tenue Rose	New	49	0	49	0	0	0	0	EUR	9	EUR 66.79	0	EUR 0.0	2	5	9	11	Low conversion	EUR 129.99	EUR 89.99	EUR 89.99	EUR 0.0	Update inventory settings for:	46	89.99	0	0	0.0
2018-08-25	amazon.de	DO-YELQ705-0R-10	X000T05C2F	B0788NF4TB	Yesteria Schwarz Reborn Babypuppe Junge Look Real Voller Silikonkörper Böhmischen Stil Outfit 27 cm	New	25	0	25	0	0	0	0	EUR	25	EUR 71.29	0	EUR 0.0	0	0	0	1	Low traffic	EUR 32.99	EUR 32.99	EUR 32.99	EUR 0.0	Advertise listing	24	30.84	35	0	50.412436
2018-08-25	amazon.es	DO-YELQ663-PI-15	X000UVFG2T	B07BRK2R83	Yesteria Muñeca Renacida Reborn Baby Doll Niña Mirar Real Lifelike Niñito Bebé Vinilo de Silicona Rosa Equipo 40 cm	New	10	0	10	0	0	0	0	EUR	10	EUR 71.61	0	EUR 0.0	0	0	0	0	Low conversion	EUR 79.99	EUR 79.99	EUR 79.99	EUR 0.0	Update inventory settings for:	10	79.99	0	0	0.0
2018-08-25	amazon.it	DO-YELQ705-BR-10	X000T0CPNT	B0788P8DCG	Yesteria Realistico Reborn Baby Bambola Ragazza Tutto il Corpo in Silicone Stile Bohémien Vestito Marrone 27 cm	New	25	0	25	0	0	0	0	EUR	0	EUR 0.0	0	EUR 0.0	0	0	4	13	Low conversion	EUR 32.99	EUR 32.99	EUR 32.99	EUR 0.0	Update inventory settings for:	18	32.99	0	0	0.0
2018-08-25	amazon.co.uk	DO-YELQ603-NZ-22	X000TT4ANN	B07BHMZT4Y	Yesteria Realistic Reborn Baby Doll Girl Silicone denim Tutu Dress 22 Inches	New	15	0	15	0	0	0	0	GBP	11	GBP 49.4	0	GBP 0.0	1	4	6	6		GBP 129.99	GBP 69.99	GBP 69.99	GBP 0.0	Update inventory settings for:	17	69.99	0	0	0.0
