Merchant SKU	Fulfillment Network SKU	ASIN	Title	Condition	Price	MFN Listing Exists	MFN Fulfillable Qty	AFN Listing Exists	AFN Warehouse Qty	AFN Fulfillable Qty	AFN Unsellable Qty	AFN Encumbered Qty	AFN Total Qty	Volume	AFN Inbound Working Qty	AFN Inbound Shipped Qty	AFN Inbound Receiving Qty
DO-YELQ001-PI-22	X000SW4KEP	B06XPJWWR4	Yesteria Reborn Baby Doll Girl Look Real Silicone Pink Outfit 22 Inches	New	129.99	No		Yes	102	85	0	17	112	10886.42	0	10	0
DO-YELQ004-B7-10	X000T05I1Z	B076Q71HXL	Yesteria Sleeping Reborn Baby Doll Look Real Full Silicone Body Light Blue Outfit 10 Inches	New	79.99	No		Yes	38	37	0	1	38	2100	0	0	0
DO-YELQ004-PI-10	X000T0CNXV	B076Q8RG21	Yesteria Sleeping Reborn Baby Doll Look Real Full Silicone Body Pink Outfit 10 Inches	New	79.99	No		Yes	43	39	0	4	43	4963.15	0	0	0
DO-YELQ010-PI-22	X000URMVIF	B079JQCWQ6	Yesteria Real Looking Reborn Baby Dolls Girl Silicone Pink Outfit 22 Inches	New	119.99	No		Yes	25	7	0	18	25	16896.05	0	0	0
DO-YELQ011-PI-22	X000TT213J	B077SGXYL6	Yesteria Reborn Baby Doll Girl Look Real Silicone Pink Tutu Skirt 22 Inches	New	129.99	No		Yes	28	28	0	0	28	12585.27	0	0	0
DO-YELQ011-W0-22	X000T0H5D9	B0788N4FMR	Reborn Baby Doll Girl Look Real White Outfit with Cat Pattern 22 Inches	New	129.99	No		Yes	30	23	0	7	39	18480.02	0	9	0
DO-YELQ012-PI-22	X000UUKXZ5	B076J2H7FC	Reborn Baby Doll Wig Baby Girl Look Real Silicone Pink 22 inches	New	119.99	No		Yes	15	14	0	1	15	16782.98	0	0	0
DO-YELQ018-B0-18	X000UE6BUH	B0792VG6VZ	Yesteria Real Looking Reborn Baby Dolls Boy Silicone Vinyl Blue Baby Jumpsuit 18 Inch	New	129.99	No		Yes	12	8	1	3	12	13664.03	0	0	0
DO-YELQ018-P4-16	X000TT1XQZ	B07BHMXQ7H	Yesteria Reborn Baby Dolls Girl Look Real Silicone Light Purple Outfit 16 Inches	New	109.99	No		Yes	15	15	0	0	30	15240.95	0	15	0
DO-YELQ039-R0-22	X000V6G9ZL	B07F73THXK	Yesteria Realistic Reborn Baby Doll Girl Toddler Plaid Princess Dress 24 Inches	New	256.00	No		Yes	0	0	0	0	0	34700.43	0	0	0
DO-YELQ062-PI-22	X000UV40NZ	B079JRDT89	Yesteria Silicone Reborn Baby Dolls Girl Look Real Eye Closed Pink Outfit 22 Inches	New	119.99	No		Yes	14	8	1	5	24	10435.28	0	10	0
DO-YELQ070-PI-16	X000UULE99	B079NYR8GC	Silicone Reborn Baby Dolls Girl Look Real White Outfit with Lovely Patterns 16 inches	New	109.99	No		Yes	10	10	0	0	10	9905.32	0	0	0
