"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B079JQCWQ6","B079JQCWQ6","Yesteria Reborn Baby Doll Mädchen Lebensechtes Kleinkind Silicone Rosa Outfit 55cm","319","5.34%","436","5.26%","98%","12","3.76%","€1,079.88","12"
"B06XPJWWR4","B06XPJWWR4","Yesteria Reborn Babypuppe Mädchen Silikon Weiß und Rosa Outfit 55 cm","785","13.15%","1,122","13.54%","100%","10","1.27%","€899.90","10"
"B07CM67KDW","B07CM67KDW","Yesteria 50 cm Voller Silikon Körper Realistische Reborn Baby Doll Junge Nacktes Kleinkind mit Blauer Decke","638","10.68%","919","11.09%","100%","6","0.94%","€653.94","6"
"B0792VRZ89","B0792VRZ89","Yesteria 55 cm Reborn Baby Doll Junge Realistische Wiedergeboren Babypuppen Echt Aussehende Grau Outfit","94","1.57%","147","1.77%","100%","3","3.19%","€269.97","3"
"B079JRPXZ8","B079JRPXZ8","Yesteria Reborn Baby Doll Junge Lebensechtes Kleinkind Silicone Weiß Outfit 55cm","589","9.86%","863","10.42%","100%","3","0.51%","€269.97","3"
"B07CM664M7","B07CM664M7","Yesteria Reborn Baby Doll Mädchen Lebensechtes Kleinkind Silicon Vinyl Augen-Geschlossen mit Rosa Schlafanzug 51 cm","236","3.95%","374","4.51%","100%","3","1.27%","€269.97","3"
"B079JP34CD","B076KQB6X1","Yesteria Reborn Babypuppe Kleidung Mädchen für 50-55 cm Rose Rot und Kuh-Muster","20","0.33%","28","0.34%","100%","2","10.00%","€43.98","2"
"B076P99TGC","B076P99TGC","Yesteria Schlafende Reborn Baby Puppe Junge Echt Aussehende Voller Silikon Körper Rot Outfit 57 cm","185","3.10%","278","3.36%","100%","2","1.08%","€199.98","2"
"B077SGXYL6","B077SGXYL6","Yesteria Reborn Baby Doll Mädchen Echt Aussehende Silikon Pink Tutu Skirt 55 cm","196","3.28%","261","3.15%","100%","2","1.02%","€179.98","2"
"B0788N4FMR","B0788N4FMR","Silikon Reborn Babypuppe Mädchen Look Echte Weiße Outfit mit Katze Muster 55 cm","253","4.24%","328","3.96%","100%","2","0.79%","€179.98","2"
"B0792VKCCR","B0792VKCCR","Yesteria 45 cm Realistische Wiedergeboren Babypuppen Junge Silikon Vinyl Panda Outfit","313","5.24%","428","5.17%","100%","2","0.64%","€179.98","2"
