"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07CM67KDW","B07CM67KDW","50 cm Realista Reborn Bebé Silicona de Cuerpo Completo Chico Desnudo con Manta Azul","976","13.86%","1,348","13.58%","100%","5","0.51%","€549.95","5"
"B0792VRZ89","B0792VRZ89","Yesteria 55 cm Muñeca Renacida Chico Que Parece Viva Vinilo Silicona Suave Realista Traje Gris","237","3.37%","364","3.67%","100%","4","1.69%","€359.96","4"
"B0792VG6VZ","B0792VG6VZ","Yesteria 45 cm Realista Reborn Bebé Chico Silicona Vinilo Suave Tacto Muñeca Traje Azul","465","6.61%","642","6.47%","100%","3","0.65%","€269.97","3"
"B0792VKCCR","B0792VKCCR","Yesteria 45 cm Realista Reborn Bebé Chico Silicona Vinilo Suave Tacto Muñeca Ojo Cerrado Traje de Panda","337","4.79%","462","4.65%","100%","3","0.89%","€269.97","3"
"B079JRPXZ8","B079JRPXZ8","Yesteria Muñeca Renacida Reborn Baby Doll Niño Real Lifelike Niñito Bebé Siliconas Blanco 55 cm","300","4.26%","474","4.78%","100%","3","1.00%","€269.97","3"
"B079L6Z431","B074P4D14G","Yesteria Renacer Muñeca Trajes Chica por 50-55 cm Modelo Rosa","58","0.82%","122","1.23%","100%","2","3.45%","€43.98","2"
"B076J2TBNG","B076J2TBNG","Realista Bebé Silicona Muñecas de Vinilo Ojo Cerrado 55 cm Vestir de Rosa","524","7.44%","775","7.81%","100%","2","0.38%","€179.98","2"
"B07BM7G52Z","B07BM7G52Z","Yesteria Realista Reborn Bebé Silicona Vinilo Suave Tacto Muñeca Muchacha 55 cm Traje Rojo Rosa","314","4.46%","468","4.72%","100%","2","0.64%","€179.98","2"
"B06XPJWWR4","B06XPJWWR4","Muñeca Reborn de Silicona Muñeca Realistica de 55 cm Vestimenta de Blanco y Rosa","157","2.23%","232","2.34%","100%","1","0.64%","€89.99","1"
"B079L6Z431","B076K8YDNV","Yesteria Renacer Muñeca Trajes Chica por 50-55 cm Patrón de Vaca Rosa","31","0.44%","45","0.45%","100%","1","3.23%","€21.99","1"
