"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B079JQCWQ6","B079JQCWQ6","Reborn Baby Doll Fille en Sillicone Bébé Poupée Nouveau-née Réaliste 55 cm Tenue Rose","186","3.97%","261","3.98%","100%","5","2.69%","€449.95","5"
"B06XPJWWR4","B06XPJWWR4","Yesteria Silicone Reborn Baby Doll Fille Poupée Réaliste DE 55 cm Tenue Blanche et Rose","316","6.74%","463","7.06%","100%","4","1.27%","€359.96","4"
"B07BHMZT4Y","B07BHMZT4Y","Yesteria Réaliste Reborn Baby Doll Fille Silicone Denim Tutu Robe 55 cm","162","3.46%","238","3.63%","99%","4","2.47%","€359.96","4"
"B07BM7G52Z","B07BM7G52Z","Yesteria Réaliste Reborn Bébé Poupée Fille en Silicone Vrai Bebe Poupee Tutu en Denim Robe 55 cm","591","12.61%","871","13.28%","100%","3","0.51%","€269.97","3"
"B079M34W3N","B076K8YDNV","Yesteria Tenue Reborn Bébé pour Poupée de 50-55 cm Modèles Vache, Rose","31","0.66%","34","0.52%","100%","2","6.45%","€43.98","2"
"B079BSC9YQ","B076MW1Y4F","Yesteria Nouveau-né Bébé Siliconé Reborn Baby Doll Poupée Réaliste Fille DE 55 cm Tenue Blanche avec Couvertures Rose","184","3.93%","253","3.86%","100%","2","1.09%","€179.98","2"
"B079MCJTPJ","B076Q8RG21","Yesteria Nouveau-né Bébé Silicone Reborn Baby Doll Poupée Réaliste Fille 100% Silicone Corps Entier 27 cm Tenue Rose","146","3.11%","187","2.85%","100%","2","1.37%","€65.98","2"
"B0792VKCCR","B0792VKCCR","Yesteria Bébé Reborn Réaliste en Vinyle Siliconé Garçon Tenue de Panda 45 cm","102","2.18%","138","2.10%","100%","2","1.96%","€179.98","2"
"B07CM9N213","B07CM9N213","Yesteria Reborn bébé Poupée Fille Silicone Vrai Bebe Poupee Nouveau-née Réaliste 55 cm Tutu Rose et Rouge avec Pantalon Rayé","160","3.41%","233","3.55%","100%","2","1.25%","€179.98","2"
"B076J2H7FC","B076J2H7FC","Yesteria Reborn Baby Doll Fille Silicone Poupée Nouveau-née Réaliste 55 cm avec Une Perruque Tenue Rose","68","1.45%","85","1.30%","100%","1","1.47%","€89.99","1"
"B076J4L24W","B076J4L24W","Yesteria Reborn poupée Qui Semble Vivant Réaliste Doux Vinyl Siliconé Fille Touché Doux 55 cm Tenue Rose","49","1.05%","66","1.01%","98%","1","2.04%","€89.99","1"
"B079BSC9YQ","B076MT3BDS","Yesteria Nouveau-né Bébé Siliconé Reborn Baby Doll Garçon Poupée Réaliste DE 55 cm Tenue Blanc avec Couvertures Bleu","183","3.90%","257","3.92%","100%","1","0.55%","€89.99","1"
"B079M34W3N","B077T29TYP","Yesteria Tenue Reborn Bébé pour Poupée de 50-55 cm Blanc et Motif de Vache","4","0.09%","4","0.06%","100%","1","25.00%","€21.99","1"
"B0788N4FMR","B0788N4FMR","Yesteria Poupée Réaliste en Vinyle Siliconé Toucher Doux 55 cm Tenue Blanc avec Motif de Chat","159","3.39%","202","3.08%","100%","1","0.63%","€89.99","1"
"B079JRPXZ8","B079JRPXZ8","Yesteria Reborn Baby Doll Garçon en Silicone Poupée Nouveau-Née Réaliste DE 55 cm avec Une Tenue Blanche","159","3.39%","256","3.90%","99%","1","0.63%","€89.99","1"
"B07CM67KDW","B07CM67KDW","Yesteria 100% Silicone Reborn Baby Doll Bébé Garçon Nouveau-né Nu avec Couverture Bleue 50 cm","409","8.73%","592","9.02%","100%","1","0.24%","€109.99","1"
