"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B079MCF1DS","B077T29TYP","Yesteria Vestiti Bambole per Bambole Reborn da 50-55 cm Modello di Mucca Rosa rossa","32","0.55%","46","0.55%","100%","4","12.50%","€76.22","3"
"B07D4DC72D","B07D4DC72D","60 cm Bambola Realistica Silicone Bambini Ragazza Vestito da Panda Pantaloni Neri con Scarpe","33","0.57%","60","0.72%","100%","3","9.09%","€326.97","3"
"B076J4L24W","B076J4L24W","Reale Rinato Bambino Bambola Femmina Occhi Chiusi Silicone Vinile Vestiti Mucca 55 cm","30","0.52%","56","0.67%","100%","2","6.67%","€179.98","2"
"B079MBQG2Q","B076Q8RG21","Reale Bambola Reborn Bambino Ragazza Silicone Vestito Rosa 27 cm","219","3.77%","319","3.84%","100%","2","0.91%","€65.98","2"
"B0792VKCCR","B0792VKCCR","45 cm Realistico Rinato Bambino Bambola Reale in Silicone Ragazzo Vestito da Panda","194","3.34%","268","3.23%","100%","2","1.03%","€179.98","2"
"B07BQP2FJH","B07B7G22RT","Tutto il Corpo in Silicone Pieno Bambola Rinato Gemelli Ragazzo Vestito a Maglia Blu Chiaro 55 cm","178","3.07%","272","3.28%","100%","2","1.12%","€199.98","2"
"B07BHMXQ7H","B07BHMXQ7H","Realistico Reborn Baby Bambola Ragazza con Cuscino Vestito Viola Chiaro 40 cm","300","5.17%","448","5.40%","100%","2","0.67%","€159.98","2"
"B07BHMZT4Y","B07BHMZT4Y","Yesteria Bambola Realistica Silicone Bambini Ragazza Gonna di Jeans 55 cm","203","3.50%","307","3.70%","100%","2","0.99%","€179.98","2"
"B06XPJWWR4","B06XPJWWR4","Reale Rinato Bambole Reborn Femmine Silicone Vestiti Bianco e Rosa 55 cm","621","10.70%","958","11.54%","100%","1","0.16%","€89.99","1"
"B079MCF1DS","B074P4D14G","Yesteria Vestiti Bambole per Bambole Reborn da 50-55 cm Rosa","73","1.26%","101","1.22%","100%","1","1.37%","€21.99","1"
"B076J2H7FC","B076J2H7FC","55 cm Bambola Realistica Silicone Bambini Ragazza Capelli Fibre Chimiche Vestito Rosa Chiaro","37","0.64%","52","0.63%","100%","1","2.70%","€89.99","1"
"B076J5RSFF","B076J5RSFF","Reale Rinato Bambola Bambino Ragazzo Maschio Silicone Vestiti Blu 55 cm","73","1.26%","95","1.14%","100%","1","1.37%","€89.99","1"
"B076J6949M","B076J6949M","Realistico Rinato Bambino Bambola Ragazza Occhi Chiusi Silicone Vestiti Rosa 55 cm","85","1.46%","125","1.51%","100%","1","1.18%","€89.99","1"
"B079MCF1DS","B076KQB6X1","Yesteria Vestiti Bambole per Bambole Reborn da 50-55 cm Modello di Mucca Rosa rossa","90","1.55%","111","1.34%","100%","1","1.11%","€21.99","1"
"B077SHDMC8","B077SHDMC8","Realistico Reborn Baby Bambola Ragazzo Silicone Vestito Bianco e Blu Chiaro 55 cm","94","1.62%","131","1.58%","100%","1","1.06%","€89.99","1"
"B0792VG6VZ","B0792VG6VZ","Yesteria 45 cm Realistico Reborn Baby Bambola Ragazzo in Silicone Camicia da Notte Blu","128","2.21%","180","2.17%","100%","1","0.78%","€89.99","1"
"B079MCF1DS","B079P55XYW","Yesteria Vestiti Bambole per Bambole Reborn da 50-55 cm Modello di Mucca Rosa","22","0.38%","28","0.34%","100%","1","4.55%","€19.01","1"
"B07BHNQ7QC","B07BHNQ7QC","Yesteria Realistico Reborn Baby Bambola Ragazza Gonna Tutu Rosa Rossa 55 cm","75","1.29%","103","1.24%","100%","1","1.33%","€89.99","1"
"B07CM67KDW","B07CM67KDW","Yesteria 50 cm Tutto il Corpo in Silicone Pieno Bambola Rinato Ragazzo Bambino Nudo Reale con Coperta Blu","695","11.97%","1,029","12.40%","100%","1","0.14%","€109.99","1"
"B07DGB6SHX","B07DGB6SHX","55 cm Bambole in Silicone Reborn Baby Doll Ragazza Capelli Fibre Chimiche Vestito Viola Chiaro","117","2.02%","183","2.21%","100%","1","0.85%","€89.99","1"
