"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订单商品数量转化率","已订购商品销售额","订单商品种类数"
"B07D4DRFYN","B07D4DRFYN","Realistic Reborn Toddler Baby Doll Girl Silicone Pink Outfit White Shoes with Toy Giraffe 24 inches","47","2.25%","84","2.98%","87%","4","8.51%","£355.96","4"
"B07F73THXK","B07F73THXK","Yesteria Realistic Reborn Baby Doll Girl Toddler Plaid Princess Dress 24 Inches","93","4.45%","126","4.47%","98%","4","4.30%","£379.96","4"
"B076J2H7FC","B076J2H7FC","Reborn Baby Doll Wig Baby Girl Look Real Silicone Pink 22 inches","33","1.58%","48","1.70%","100%","2","6.06%","£139.98","2"
"B079HS82MW","B076K8YDNV","Reborn Baby Doll Outfits Girl for 20""- 22"" Pink and Cow Pattern","20","0.96%","28","0.99%","100%","2","10.00%","£31.96","2"
"B0788N4FMR","B0788N4FMR","Reborn Baby Doll Girl Look Real White Outfit with Cat Pattern 22 Inches","271","12.95%","372","13.20%","100%","2","0.74%","£139.98","2"
"B07BNPCNBF","B07929YDZM","Yesteria Full Silicone Body Reborn Baby Doll Girl Look Real Pink Knitted Outfit 18 Inches","13","0.62%","21","0.74%","100%","2","15.38%","£159.98","2"
"B079HS82MW","B079NXJZ52","Reborn Baby Doll Outfits Boy Accessories for 20""- 22"" White and Light Blue Pants","5","0.24%","6","0.21%","100%","2","40.00%","£31.96","2"
"B07CM664M7","B07CM664M7","Real Looking Reborn Baby Dolls Girl Silicone Vinyl Eye Closed Pink Pajama 20 inches","45","2.15%","57","2.02%","100%","2","4.44%","£139.98","2"
"B07D4D6Q9C","B07D4D6Q9C","Realistic Reborn Toddler Baby Silicone Monkey Coat Blue Pants White Shoes 24 inches","67","3.20%","96","3.41%","100%","2","2.99%","£177.98","2"
"B076J5RSFF","B076J5RSFF","Yesteria Reborn Baby Doll Boy Look Real Silicone Blue Outfit 22 Inches","45","2.15%","50","1.77%","100%","1","2.22%","£69.99","1"
"B076J6949M","B076J6949M","Yesteria Realistic Sleeping Reborn Baby Doll Girl Lifelike Silicone Pink 22 Inches","68","3.25%","100","3.55%","100%","1","1.47%","£69.99","1"
"B079HQF3TB","B076Q71HXL","Yesteria Sleeping Reborn Baby Doll Look Real Full Silicone Body Light Blue Outfit 10 Inches","28","1.34%","43","1.53%","100%","1","3.57%","£24.98","1"
