amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-7688026-0595423	xi6f2zp363	2018-06-15T02:35:26+00:00	2018-06-20T20:16:15+00:00	Shipped	Amazon	Non-Amazon			Standard	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XXL	MY71107K0XXL	B0761NLN4R	Unshipped	1															false		
S01-4367805-3321061	xi682yg958	2018-06-08T02:34:18+00:00	2018-06-20T17:17:12+00:00	Shipped	Amazon	Non-Amazon			Standard	Gratiae Organics Facial Cleansing Lotion, 6.8 Ounce	KN-2B5X-YB0L	B003CEA88U	Unshipped	1															false		
S01-5822894-7363452	xi612Os639	2018-06-01T02:50:30+00:00	2018-06-05T09:57:22+00:00	Shipped	Amazon	Non-Amazon			Standard	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XXL	MY71107K0XXL	B0761NLN4R	Unshipped	1															false		
S01-5603207-4137030	xi5p2H5184	2018-05-25T02:43:06+00:00	2018-06-06T08:44:16+00:00	Shipped	Amazon	Non-Amazon			Standard	ZAIAI Womens Hooded Warm Winter Faux Fur Lined Parkas Anoraks Long Coats Black L	MY16055K0L	B0761V7L2R	Unshipped	1															false		
113-8067043-3816216	113-8067043-3816216	2018-06-18T04:39:15+00:00	2018-06-19T04:19:19+00:00	Shipped	Amazon	Amazon.com			SecondDay	Gratiae AHA Cleansing and Peeling Foam	KN-QWP1-D5XB	B004OF9EPO	Shipped	1	USD	23.5								BERKELEY	CA	94705-2334	US		false		
111-4401882-0438623	111-4401882-0438623	2018-06-18T02:25:30+00:00	2018-06-18T05:05:16+00:00	Cancelled	Amazon	Amazon.com			SecondDay	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black L	MY71107K0L	B0761PSPTJ	Cancelled	0										SACRAMENTO	CA	95838-2301	US		false		
114-5572571-1529864	114-5572571-1529864	2018-06-18T02:22:06+00:00	2018-06-19T07:22:02+00:00	Shipped	Amazon	Amazon.com			Standard	ZAIAI Women's Coat With Fur Hood With 90% Down Parka Puffer Jacket Beige M	MY71115MSM	B0761PV952	Shipped	1	USD	34.39		7.96						STATEN ISLAND	NY	10307-1158	US		false		
113-1686291-9274618	113-1686291-9274618	2018-06-18T00:48:29+00:00	2018-06-18T10:32:20+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Para-pharmaceutical Exfoliating Facial Gel, Brown, 4.3958-Fluid Ounce	HF-a69e-PEFG	B00BD3OU72	Shipped	1	USD	25.69								MC FARLAND	WI	53558-8421	US		false		
112-1899068-7244235	112-1899068-7244235	2018-06-17T23:57:37+00:00	2018-06-19T20:28:35+00:00	Shipped	Amazon	Amazon.com			Standard	Premier Dead Sea Essential Face Cleanser for Men	06-LI7A-IZ44	B0052K03KA	Shipped	1	USD	15.97		2.92					2.92	JACKSONVILLE	FL	32222-2817	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
111-9906908-8305868	111-9906908-8305868	2018-06-17T22:32:30+00:00	2018-06-18T21:43:17+00:00	Shipped	Amazon	Amazon.com			SecondDay	Dead Sea Premier Beautifying Nail Kit Milk and Honey - Body Lotion,Cuticle Oil,Nail File,Buffing Block	HF-n2ae-NBNK	B004H02GDI	Shipped	1	USD	15.99								BLOOMINGTON	IL	61701-7300	US		false		
