amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation 
S01-2187047-1661006	xi6m2zh425	2018-06-22T02:35:19+00:00	2018-06-22T02:35:54+00:00	Shipping	Amazon	Non-Amazon			Standard	Gratiae Organics Facial Cleansing Lotion, 6.8 Ounce	KN-2B5X-YB0L	B003CEA88U	Unshipped	1															false		
S01-7688026-0595423	xi6f2zp363	2018-06-15T02:35:26+00:00	2018-06-20T20:16:15+00:00	Shipped	Amazon	Non-Amazon			Standard	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XXL	MY71107K0XXL	B0761NLN4R	Unshipped	1															false		
S01-4367805-3321061	xi682yg958	2018-06-08T02:34:18+00:00	2018-06-20T17:17:12+00:00	Shipped	Amazon	Non-Amazon			Standard	Gratiae Organics Facial Cleansing Lotion, 6.8 Ounce	KN-2B5X-YB0L	B003CEA88U	Unshipped	1															false		
S01-5822894-7363452	xi612Os639	2018-06-01T02:50:30+00:00	2018-06-05T09:57:22+00:00	Shipped	Amazon	Non-Amazon			Standard	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black XXL	MY71107K0XXL	B0761NLN4R	Unshipped	1															false		
111-3893898-6816267	111-3893898-6816267	2018-06-25T02:53:36+00:00	2018-06-25T03:01:11+00:00	Pending	Amazon	Amazon.com		http://www.amazon.com	Standard	Premier Dead Sea Mineral Body Treatment - Salt Scrub - Lemon Aroma	HF-a6e-LASS	B002DYY35Y	Unshipped	1	USD	17.39								Edison	NJ	08817-3332	US		false		
111-7571527-5761867	111-7571527-5761867	2018-06-25T02:17:16+00:00	2018-06-25T02:17:52+00:00	Pending	Amazon	Amazon.com			Standard	Premier Dead Sea Miracle Noir Mask, 2.04 Fluid Ounce	HF-a10e-MINM	B0010BBCFK	Unshipped	1	USD	40.98								AVENTURA	FLORIDA	33180-2680	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
111-5774585-0890607	111-5774585-0890607	2018-06-25T01:45:50+00:00	2018-06-25T01:45:59+00:00	Pending	Amazon	Amazon.com			Standard	Premier Dead Sea Instant Stretching and Revitalizing Lifting Mask - 2.04 oz Ounce	YI-LW70-5D1O	B003Y7CMF2	Unshipped	1	USD	38.59								POINT LOOKOUT	NY	11569-3020	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
113-7310236-6914629	113-7310236-6914629	2018-06-24T23:15:21+00:00	2018-06-26T00:44:21+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Beige S	MY71107MSS	B0761NM3SZ	Shipped	1	USD	42.99								PT CHARLOTTE	FL	33952	US		false		
112-6257263-1402635	112-6257263-1402635	2018-06-24T22:59:31+00:00	2018-06-25T21:16:07+00:00	Shipped	Amazon	Amazon.com			SecondDay	Dead Sea Premier Beautifying Nail Kit Milk and Honey - Body Lotion,Cuticle Oil,Nail File,Buffing Block	HF-n2ae-NBNK	B004H02GDI	Shipped	1	USD	15.49								ONONDAGA	MI	49264-9618	US		false		
111-6374409-7357004	111-6374409-7357004	2018-06-24T22:47:59+00:00	2018-06-25T19:54:02+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Usa Dead Sea shaving Cream for Men All Skin	IM-YEIX-VVX8	B0016VW618	Shipped	4	USD	43.96								DANVERS	MA	01923	US		false		
111-4519641-4531469	111-4519641-4531469	2018-06-24T22:40:30+00:00	2018-06-25T20:36:33+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier by Dead Sea Premier Luxury Collection Milk Cleanser, 8.5 fl oz	HF-a1e-LCMC	B000VF5WVG	Shipped	1	USD	29.0								Steamboat springs	CO	80487-1051	US		false		
111-4519641-4531469	111-4519641-4531469	2018-06-24T22:40:30+00:00	2018-06-25T20:36:33+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Miracle Noir Mask, 2.04 Fluid Ounce	HF-a10e-MINM	B0010BBCFK	Shipped	1	USD	40.98								Steamboat springs	CO	80487-1051	US		false		
113-6750780-2313037	113-6750780-2313037	2018-06-24T21:50:23+00:00	2018-06-26T14:05:31+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Body Butter Herbal Scent	DW-MG8E-BMQG	B00157ZFC0	Shipped	1	USD	19.99								CORONA	CA	92882-5945	US		false		
114-3460179-7327445	114-3460179-7327445	2018-06-24T21:34:04+00:00	2018-06-26T21:02:20+00:00	Shipped	Amazon	Amazon.com			SecondDay	Dead Sea Premier Beautifying Nail Kit Milk and Honey - Body Lotion,Cuticle Oil,Nail File,Buffing Block	HF-n2ae-NBNK	B004H02GDI	Shipped	2	USD	30.98								NEWTOWN	CT	06470-2205	US		false		
113-2905001-4241820	113-2905001-4241820	2018-06-24T21:10:07+00:00	2018-06-26T22:40:14+00:00	Shipped	Amazon	Amazon.com			SecondDay	ZAIAI Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy L	MY16055ZQL	B0761PXTK8	Shipped	1	USD	42.49	3.27							BOTHELL	WA	98012-5458	US		false		
113-0071839-4444213	113-0071839-4444213	2018-06-24T20:29:42+00:00	2018-06-25T22:40:16+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Intensive Biox Thermal Beauty Mask**NEW IN BOX**SAME IN MALL**	HF-T9QA-X3JZ	B001561M00	Shipped	1	USD	53.49								PLANO	TX	75024-7438	US		false		
113-3684379-3043433	113-3684379-3043433	2018-06-24T19:47:37+00:00	2018-06-26T08:08:19+00:00	Shipped	Amazon	Amazon.com			SecondDay	Womens Hooded Warm Coats Parkas With Fax Fur Jackets Navy XXL	MY16055ZQXXL	B0761NGYTK	Shipped	1	USD	42.49								HOUSTON	TX	77045-4053	US		false		
112-8090429-2056214	112-8090429-2056214	2018-06-24T19:44:48+00:00	2018-06-25T05:54:11+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier Dead Sea Luxurious Anti-aging Neck Cream, 2.04 oz	HF-c7e-LANC	B002DL9M2G	Shipped	1	USD	39.21								OAKLEY	CA	94561-1670	US		false		
112-8090429-2056214	112-8090429-2056214	2018-06-24T19:44:48+00:00	2018-06-25T05:54:11+00:00	Shipped	Amazon	Amazon.com			SecondDay	Premier by Dead Sea Premier Luxury Collection Milk Cleanser, 8.5 fl oz	HF-a1e-LCMC	B000VF5WVG	Shipped	1	USD	29.0								OAKLEY	CA	94561-1670	US		false		
113-5895232-2221808	113-5895232-2221808	2018-06-24T19:40:34+00:00	2018-06-26T03:30:32+00:00	Pending	Amazon	Amazon.com			Standard	Gratiae AHA Cleansing and Peeling Foam	KN-QWP1-D5XB	B004OF9EPO	Unshipped	2	USD	32.0								Hockley	Texas	77447	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
113-5895232-2221808	113-5895232-2221808	2018-06-24T19:40:34+00:00	2018-06-26T03:30:32+00:00	Pending	Amazon	Amazon.com			Standard	Silky Body Butter (Apple, Green Tea, and Ginger)5.95 ounces	HF-f9a-GSBB	B004OF47N8	Shipping	2	USD	19.0		2.49					2.49	Hockley	Texas	77447	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	false		
