snapshot-date	sku	fnsku	asin	product-name	condition	avaliable-quantity(sellable)	qty-with-removals-in-progress	inv-age-0-to-90-days	inv-age-91-to-180-days	inv-age-181-to-270-days	inv-age-271-to-365-days	inv-age-365-plus-days	currency	qty-to-be-charged-ltsf-6-mo	projected-ltsf-6-mo	qty-to-be-charged-ltsf-12-mo	projected-ltsf-12-mo	units-shipped-last-7-days	units-shipped-last-30-days	units-shipped-last-60-days	units-shipped-last-90-days	alert	your-price	sales_price	lowest_price_new	lowest_price_used	Recommended action	Healthy Inventory Level	Recommended sales price	Recommended sale duration (days)	Recommended Removal Quantity	Estimated cost savings of removal
2018-06-13	MY71107K0S	B0761PDMGN	B0761PDMGN	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black S	New	15	0	0	15	0	0	0	USD	15	189.54	0	0.0	0	0	0	0	Low conversion	39.05	39.05	39.05	0.0	Create Sale	0	34.55	63	0	2065.169626
2018-06-13	HF-a136e-MHBB	X001S7U39D	B0012IVH2O	premier dead sea body butter milk & honey scent Plastic Jar	New	2	0	2	0	0	0	0	USD	0	0.0	0	0.0	11	15	15	15	Low traffic	15.98	15.98	15.98	0.0	Advertise listing	6	17.98	0	0	0.0
2018-06-13	MY71107ZQM	B0761P4LK2	B0761P4LK2	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy M	New	5	0	0	5	0	0	0	USD	5	56.99	0	0.0	0	2	3	3		42.99	42.99	42.99	0.0	Improve recommendations	5	42.99	0	0	0.0
2018-06-13	MY71115MSS	B0761NHB1Y	B0761NHB1Y	ZAIAI Women's Coat with Fur Hood with 90% Down Parka Puffer Jacket Beige XS	New	7	0	0	7	0	0	0	USD	7	61.51	0	0.0	0	0	0	1	Low conversion	42.99	42.99	42.99	0.0	Create Sale	0	40.31	63	0	742.166135
2018-06-13	MY16055MSM	B0761NM1NH	B0761NM1NH	ZAIAI Womens Wool Jacket Coat Outwear Parka Overcoat Beige M	New	8	0	1	7	0	0	0	USD	7	44.31	0	0.0	0	0	1	1	Low conversion	38.39	38.39	38.39	0.0	Improve recommendations	7	38.39	0	0	0.0
2018-06-13	HF-b3e-PWCC	X001Q09JSN	B003Y7D0HQ	Premier Dead Sea Pearl White Cream Complex, 2.04-Fluid Ounce	New	48	0	48	0	0	0	0	USD	0	0.0	0	0.0	0	0	0	0	Low traffic	62.39	62.39	62.39	0.0	Advertise listing	20	40.69	364	0	261.906265
2018-06-13	MY71107ZQL	B0761NJH9L	B0761NJH9L	ZAIAI Women's Parka Winter Coat Overcoat Long Down Jacket Outwear Navy L	New	1	0	1	0	0	0	0	USD	0	0.0	0	0.0	0	2	6	10		42.99	42.99	42.99	0.0	Improve recommendations	0	0.0	0	0	0.0
2018-06-13	MY71107K0L	B0761PSPTJ	B0761PSPTJ	ZAIAI Women's Parkas Anoraks Long Coats with Removable Faux Fur Trim Hood Black L	New	12	0	0	12	0	0	0	USD	12	154.76	0	0.0	0	1	3	4		38.99	38.99	38.99	0.0	Create Sale	0	31.27	63	0	43.619186
2018-06-13	KP-1178-XPKV	X001K6ASLP	B00158196K	Premier Dead Sea Body Butter Passion Fruit Scent	New	57	0	1	3	3	50	0	USD	55	10.3	0	0.0	2	22	43	76	Low traffic	20.99	20.99	20.99	0.0	Advertise listing	58	20.99	0	0	0.0
2018-06-13	R0-9P3N-MM7G	X001B57XHH	B0016VW618	Premier Usa Dead Sea shaving Cream for Men All Skin	New	163	0	0	163	0	0	0	USD	163	1.64	0	0.0	2	3	5	10	Low traffic	15.49	15.49	15.49	0.0	Advertise listing	164	15.99	0	0	0.0
