"(父） ASIN","（子）ASIN","商品名称","买家访问次数","买家访问次数百分比","页面浏览次数","页面浏览次数百分比","购买按钮赢得率","已订购商品数量","订购数量 – B2B","订单商品数量转化率","商品转化率 – B2B","已订购商品销售额","已订购商品的销售额 – B2B","订单商品种类数","订单商品总数 – B2B"
"B003CEA88U","B003CEA88U","Gratiae Organics Facial Cleansing Lotion, 6.8 Ounce","86","1.28%","117","1.33%","46%","18","2","20.93%","2.33%","US$370.62","US$41.18","16","2"
"B0010BBCFK","B0010BBCFK","Premier Dead Sea Miracle Noir Mask, 2.04 Fluid Ounce","397","5.91%","569","6.48%","41%","17","1","4.28%","0.25%","US$742.24","US$42.48","17","1"
"B00115TXRE","B00115TXRE","Dead Sea Premier Eye Serum.","472","7.02%","660","7.51%","2%","6","1","1.27%","0.21%","US$285.43","US$46.99","6","1"
"B07DPF9KVS","B004H02GDI","Dead Sea Premier Beautifying Nail Kit Milk and Honey - Body Lotion,Cuticle Oil,Nail File,Buffing Block","72","1.07%","77","0.88%","96%","7","1","9.72%","1.39%","US$113.43","US$16.99","7","1"
"B00022AUVA","B00022AUVA","Premier Dead Sea Age Defying/Anti Age Cream","8","0.12%","12","0.14%","50%","1","0","12.50%","0.00%","US$33.99","US$0.00","1","0"
"B000V7DONW","B000V7DONW","Dead Sea Premier Collagen, Beta-Carotene & Seaweed Mask","40","0.60%","59","0.67%","68%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B000VER1RU","B000VER1RU","Premier Dead Sea Biox Intensive Age Cream/Anti-age Complex, 2.0400-Fluid Ounce","24","0.36%","35","0.40%","0%","1","0","4.17%","0.00%","US$91.38","US$0.00","1","0"
"B000VF5WVG","B000VF5WVG","Premier by Dead Sea Premier Luxury Collection Milk Cleanser, 8.5 fl oz","211","3.14%","279","3.18%","28%","19","0","9.00%","0.00%","US$416.05","US$0.00","19","0"
"B07DPF2HWG","B000VF5WVG","Premier by Dead Sea Premier Luxury Collection Milk Cleanser, 8.5 fl oz","54","0.80%","71","0.81%","7%","2","0","3.70%","0.00%","US$57.95","US$0.00","2","0"
"B0010OMN4G","B0010OMN4G","Premier Dead Sea Shaving Cream for Men, Tube, 4.2268-Fluid Ounce","55","0.82%","61","0.69%","0%","1","0","1.82%","0.00%","US$15.69","US$0.00","1","0"
"B00117D9MW","B00117D9MW","Premier Dead Sea Night Cream Complex, 2.04 Fluid Ounce","75","1.12%","90","1.02%","58%","7","0","9.33%","0.00%","US$247.73","US$0.00","7","0"
"B00117F5PG","B00117F5PG","Premier Dead Sea Vitamin Concentrated Facial Serum, Vitamin E and C, 1.7-Fluid Ounce","321","4.78%","414","4.71%","26%","22","0","6.85%","0.00%","US$1,430.00","US$0.00","15","0"
"B07DPF1KJW","B00117F5PG","Premier Dead Sea Vitamin Concentrated Facial Serum, Vitamin E and C, 1.7-Fluid Ounce","87","1.29%","106","1.21%","25%","4","0","4.60%","0.00%","US$258.36","US$0.00","4","0"
"B07DPGGY7T","B001278VEW","Dead Sea Premier Professional Peeling Mask","12","0.18%","20","0.23%","100%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B001278VEW","B001278VEW","Dead Sea Premier Professional Peeling Mask","28","0.42%","31","0.35%","61%","0","0","0.00%","0.00%","US$0.00","US$0.00","0","0"
"B07DPFY6JH","B0012IVH2O","premier dead sea body butter milk & honey scent Plastic Jar","15","0.22%","21","0.24%","67%","4","0","26.67%","0.00%","US$67.92","US$0.00","3","0"
"B0012IVH2O","B0012IVH2O","premier dead sea body butter milk & honey scent Plastic Jar","61","0.91%","85","0.97%","48%","20","0","32.79%","0.00%","US$357.20","US$0.00","14","0"
"B001561M00","B001561M00","Premier Dead Sea Intensive Biox Thermal Beauty Mask**NEW IN BOX**SAME IN MALL**","89","1.32%","108","1.23%","98%","12","0","13.48%","0.00%","US$641.88","US$0.00","10","0"
"B07DPF1NLN","B001561M00","Premier Dead Sea Intensive Biox Thermal Beauty Mask**NEW IN BOX**SAME IN MALL**","21","0.31%","26","0.30%","96%","3","0","14.29%","0.00%","US$160.47","US$0.00","3","0"
"B00157XFNQ","B00157XFNQ","Premier Active Moisture Complex - Normal to Dry Skin","38","0.57%","51","0.58%","98%","25","0","65.79%","0.00%","US$1,049.75","US$0.00","22","0"
